badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-136489554,Hinchinbrook,NSW,2168,335 Hoxton Park Road,"335 Hoxton Park Road, Hinchinbrook, NSW 2168",2211000,"$2,211,000",house,1,1,0,,,1435.0,m²,XCELIV,Century 21 Combined - Liverpool,,,17 Jul 2021,house,,1435.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-141857956,Hinchinbrook,NSW,2168,3 Duck Place,"3 Duck Place, Hinchinbrook, NSW 2168",885000,"$885,000",house,3,1,1,,,545.0,m²,XRWGRC,Ray White - Green Valley,,,29 Apr 2023,house,,545.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-141810588,Hinchinbrook,NSW,2168,13 Angledool Avenue,"13 Angledool Avenue, Hinchinbrook, NSW 2168",710000,"$710,000",house,3,1,1,,,-1.0,,AUAQUA,Australian Real Estate | Kellyville Ridge - Quakers Hill,,,18 Apr 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-141791220,Hinchinbrook,NSW,2168,6 Rottnest Avenue,"6 Rottnest Avenue, Hinchinbrook, NSW 2168",800000,"$800,000",house,3,2,1,,,331.0,m²,YHOLQM,Ray White Carnes Hill - HOXTON PARK,,,15 Apr 2023,house,,331.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-141574072,Hinchinbrook,NSW,2168,5b Antares Avenue,"5b Antares Avenue, Hinchinbrook, NSW 2168",826000,"$826,000",house,3,2,1,,,-1.0,,XCEFAI,Century 21 - Fairfield,,,05 Apr 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-141568860,Hinchinbrook,NSW,2168,4 Melville Close,"4 Melville Close, Hinchinbrook, NSW 2168",1060000,"$1,060,000",house,3,2,3,,,649.0,m²,EQMGZA,United Agents Property Group - WEST HOXTON,,,21 Mar 2023,house,,649.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-141566728,Hinchinbrook,NSW,2168,137 Wilson Road,"137 Wilson Road, Hinchinbrook, NSW 2168",920000,"$920,000",house,3,1,1,,,617.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,14 Mar 2023,house,,617.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-141446952,Hinchinbrook,NSW,2168,63 Cormorant Avenue,"63 Cormorant Avenue, Hinchinbrook, NSW 2168",900000,"$900,000",house,3,2,13,,,1128.0,m²,XRWGRC,Ray White - Green Valley,,,04 Mar 2023,house,,1128.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-140857828,Hinchinbrook,NSW,2168,13 Dotterel Street,"13 Dotterel Street, Hinchinbrook, NSW 2168",860000,"$860,000",house,3,1,1,,,-1.0,,MVRODC,Andrew Partners Real Estate - FAIRFIELD,,,02 Feb 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-141181800,Hinchinbrook,NSW,2168,27 Corvus Road,"27 Corvus Road, Hinchinbrook, NSW 2168",825000,"$825,000",house,3,1,1,,,490.0,m²,XRWGRC,Ray White - Green Valley,,,02 Feb 2023,house,,490.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-140638147,Hinchinbrook,NSW,2168,2a Stannum Close,"2a Stannum Close, Hinchinbrook, NSW 2168",820000,"$820,000",house,3,2,1,,,-1.0,,YHOLQM,Ray White Carnes Hill - HOXTON PARK,,,28 Nov 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-140723659,Hinchinbrook,NSW,2168,4 Lacepede Place,"4 Lacepede Place, Hinchinbrook, NSW 2168",825000,"$825,000",house,3,1,1,,,560.0,m²,EQMGZA,United Agents Property Group - WEST HOXTON,,,21 Nov 2022,house,,560.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-140524023,Hinchinbrook,NSW,2168,2/89 Lord Howe Drive,"2/89 Lord Howe Drive, Hinchinbrook, NSW 2168",744500,"$744,500",house,3,1,1,,,362.0,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,01 Nov 2022,house,,362.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-140198935,Hinchinbrook,NSW,2168,8 Hinchinbrook Drive,"8 Hinchinbrook Drive, Hinchinbrook, NSW 2168",1028888,"$1,028,888",house,3,2,4,,,614.6,m²,YHOLQM,Ray White Carnes Hill - HOXTON PARK,,,28 Oct 2022,house,,614.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-140415503,Hinchinbrook,NSW,2168,26 Guyra Road,"26 Guyra Road, Hinchinbrook, NSW 2168",735000,"$735,000",house,3,1,1,,,302.0,m²,XRWGRC,Ray White - Green Valley,,,19 Oct 2022,house,,302.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-140552275,Hinchinbrook,NSW,2168,11 Stilt Close,"11 Stilt Close, Hinchinbrook, NSW 2168",805000,"$805,000",house,3,1,2,,,473.0,m²,VFNACK,Property Market Realty,,,08 Oct 2022,house,,473.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-139949875,Hinchinbrook,NSW,2168,6 Grawin Close,"6 Grawin Close, Hinchinbrook, NSW 2168",860000,"$860,000",house,3,1,2,,,514.4,m²,SOCLIV,Starr Partners - Liverpool,,,19 Sep 2022,house,,514.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-140090379,Hinchinbrook,NSW,2168,18 Duck Place,"18 Duck Place, Hinchinbrook, NSW 2168",820000,"$820,000",house,3,1,1,,,451.0,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,14 Sep 2022,house,,451.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-140224731,Hinchinbrook,NSW,2168,3 Stilt Close,"3 Stilt Close, Hinchinbrook, NSW 2168",755000,"$755,000",house,3,1,1,,,450.7,m²,STALIL,Prudential Real Estate - Liverpool,,,12 Sep 2022,house,,450.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-139664591,Hinchinbrook,NSW,2168,20 Coucal Avenue,"20 Coucal Avenue, Hinchinbrook, NSW 2168",982000,"$982,000",house,3,2,1,,,626.0,m²,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,16 Jul 2022,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-139243819,Hinchinbrook,NSW,2168,26A Tropic-Bird Crescent,"26A Tropic-Bird Crescent, Hinchinbrook, NSW 2168",817000,"$817,000",house,3,1,2,,,265.9,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,28 May 2022,house,,265.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-hinchinbrook-138798059,Hinchinbrook,NSW,2168,30 Corvus Road,"30 Corvus Road, Hinchinbrook, NSW 2168",870000,"$870,000",house,3,2,1,,,479.0,m²,XCEBOS,Century 21 - The Parks Realty,,,26 Apr 2022,house,,479.0
