badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-wentworth+point-106414743,Wentworth Point,NSW,2127,"247-248, 30 BAYWATER DRIVE","247-248, 30 BAYWATER DRIVE, Wentworth Point, NSW 2127",500000,"$500,000",residential-other,0,2,2,120,m²,-1.0,,RMRTVE,Chidiac Realty - WENTWORTH POINT,,,13 Jun 2010,house,120,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworth+point-138787119,Wentworth Point,NSW,2127,419/6 Baywater Dr,"419/6 Baywater Dr, Wentworth Point, NSW 2127",547000,"$547,000",house,1,1,1,,,62.0,m²,KEYNOR,Asset Advantage - Crows Nest,,,23 Apr 2022,house,,62.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworth+point-121998454,Wentworth Point,NSW,2127,683/4 The Crescent,"683/4 The Crescent, Wentworth Point, NSW 2127",716000,"$716,000",house,2,2,2,,,110.0,m²,BAMSIL,Morton  - Newington,,,18 Mar 2016,house,,110.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworth+point-114040243,Wentworth Point,NSW,2127,206/3 Stromboli Strait,"206/3 Stromboli Strait, Wentworth Point, NSW 2127",490000,"$490,000",house,2,2,1,,,-1.0,,XRWBAU,Ray White - Baulkham Hills,,,16 Jun 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworth+point-106610979,Wentworth Point,NSW,2127,803 Sorrento (Stromboli Strait),"803 Sorrento (Stromboli Strait), Wentworth Point, NSW 2127",505000,"$505,000",house,2,2,2,,,-1.0,,EXLCON,Exclusive Real Estate - Concord,,,20 Jul 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworth+point-128865678,Wentworth Point,NSW,2127,26/27 Bennelong Parkway,"26/27 Bennelong Parkway, Wentworth Point, NSW 2127",810000,"$810,000",house,2,2,1,,,-1.0,,XRWNYR,Ray White - North Ryde | Macquarie Park,,,08 Aug 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wentworth+point-114743575,Wentworth Point,NSW,2127,41 The Promenade,"41 The Promenade, Wentworth Point, NSW 2127",1050000,"$1,050,000",house,3,3,3,222,m²,-1.0,,CMFSEV,Ray White - Wentworth Point,,,27 Nov 2013,house,222,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-wentworth+point-141586332,Wentworth Point,NSW,2127,711/21 Hill Road,"711/21 Hill Road, Wentworth Point, NSW 2127",470000,"$470,000",apartment,0,1,1,,,-1.0,,BAMSIL,Morton  - Newington,,,30 Mar 2023,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-studio-nsw-wentworth+point-127741606,Wentworth Point,NSW,2127,202/10 Burroway Road,"202/10 Burroway Road, Wentworth Point, NSW 2127",,Contact agent,studio,0,1,1,,,-1.0,,,,,,04 Jun 2018,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-wentworth+point-105298923,Wentworth Point,NSW,2127,342/2 THE CRESCENT,"342/2 THE CRESCENT, Wentworth Point, NSW 2127",,Contact agent,apartment,0,1,1,55,m²,-1.0,,,,,,10 Nov 2008,unit apartment,55,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-wentworth+point-141697980,Wentworth Point,NSW,2127,808/57 Hill Road,"808/57 Hill Road, Wentworth Point, NSW 2127",582000,"$582,000",apartment,1,1,1,,,-1.0,,MTIIZV,JW Real Estate - Chatswood,,,24 Apr 2023,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-wentworth+point-141896772,Wentworth Point,NSW,2127,703/48 Amalfi Drive,"703/48 Amalfi Drive, Wentworth Point, NSW 2127",557000,"$557,000",apartment,1,1,1,,,-1.0,,RMRTVE,Chidiac Realty - WENTWORTH POINT,,,24 Apr 2023,unit apartment,,-1.0
