badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-warehouse-nsw-homebush-107242984,Homebush,NSW,2140,64-66 Parramatta Road,"64-66 Parramatta Road, Homebush, NSW 2140",818000,"$818,000",warehouse,1,1,0,,,450.0,m²,ELDENF,Elders Inner West,,,09 Jun 2011,house,,450.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-homebush-128011334,Homebush,NSW,2140,10 Coleman Avenue,"10 Coleman Avenue, Homebush, NSW 2140",1240000,"$1,240,000",house,2,2,2,,,495.0,m²,TRYCAM,True Property - LEICHHARDT,,,13 Jul 2018,house,,495.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-homebush-126345038,Homebush,NSW,2140,17 Ismay Avenue,"17 Ismay Avenue, Homebush, NSW 2140",1900000,"$1,900,000",house,2,1,3,,,512.2,m²,XLJCON,Horwood Nolan,,,28 Sep 2017,house,,512.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-homebush-121060886,Homebush,NSW,2140,60 Ismay Avenue,"60 Ismay Avenue, Homebush, NSW 2140",1660000,"$1,660,000",house,2,1,1,,,-1.0,,XLJCON,Horwood Nolan,,,12 Nov 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-homebush-124509294,Homebush,NSW,2140,3 ISMAY AVENUE,"3 ISMAY AVENUE, Homebush, NSW 2140",1950000,"$1,950,000",house,2,1,1,,,-1.0,,XNTSTR,Richardson & Wrench - Strathfield,,,15 Feb 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-homebush-119332371,Homebush,NSW,2140,66 Ismay Avenue,"66 Ismay Avenue, Homebush, NSW 2140",1450000,"$1,450,000",house,2,1,1,,,-1.0,,XLJCON,Horwood Nolan,,,18 Apr 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-homebush-118034239,Homebush,NSW,2140,4 Rochester Street,"4 Rochester Street, Homebush, NSW 2140",2090000,"$2,090,000",residential-other,2,2,0,,,-1.0,,NQVFKX,RE/MAX - KRG,,,03 Nov 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-homebush-117802047,Homebush,NSW,2140,22 Ismay Avenue,"22 Ismay Avenue, Homebush, NSW 2140",950000,"$950,000",house,2,1,2,,,-1.0,,WYJPPB,CENTURY 21 - Inner West,,,10 Oct 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-homebush-117575899,Homebush,NSW,2140,64 Ismay Avenue,"64 Ismay Avenue, Homebush, NSW 2140",1200000,"$1,200,000",house,2,1,1,,,-1.0,,XLJCON,Horwood Nolan,,,30 Aug 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-homebush-117387159,Homebush,NSW,2140,24 Ismay Avenue,"24 Ismay Avenue, Homebush, NSW 2140",858500,"$858,500",duplex-semi-detached,2,1,1,,,417.0,m²,WYJPPB,CENTURY 21 - Inner West,,,02 Aug 2014,house,,417.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-homebush-115432655,Homebush,NSW,2140,20 Wentworth Road South,"20 Wentworth Road South, Homebush, NSW 2140",810000,"$810,000",house,2,1,1,,,-1.0,,ELDENF,Elders Inner West,,,14 Dec 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-homebush-112317515,Homebush,NSW,2140,G06/8-12 Station Street,"G06/8-12 Station Street, Homebush, NSW 2140",530000,"$530,000",house,2,2,1,,,-1.0,,ZLGAZO,McGrath - Epping,,,20 Dec 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-homebush-109414166,Homebush,NSW,2140,55 Ismay Ave,"55 Ismay Ave, Homebush, NSW 2140",765000,"$765,000",house,2,1,2,,,-1.0,,EXLCON,Exclusive Real Estate - Concord,,,21 Feb 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-homebush-105944467,Homebush,NSW,2140,51 Underwood Road,"51 Underwood Road, Homebush, NSW 2140",557000,"$557,000",house,2,1,1,,,-1.0,,RAOCON,Raine & Horne - Concord | Strathfield ,,,02 Nov 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-homebush-139188283,Homebush,NSW,2140,54 Ismay Avenue,"54 Ismay Avenue, Homebush, NSW 2140",1830000,"$1,830,000",house,2,1,2,,,564.0,m²,XFNRTF,Forsyth - Willoughby,,,21 May 2022,house,,564.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-homebush-133215630,Homebush,NSW,2140,44/52-58 Parramatta Rd,"44/52-58 Parramatta Rd, Homebush, NSW 2140",,Contact agent,residential-other,2,1,1,,,-1.0,,ZKGLAG,Wel Realty,,,03 Jul 2020,house,,-1.0
