badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-smithfield-140366711,Smithfield,NSW,2164,7 Reserve Street,"7 Reserve Street, Smithfield, NSW 2164",772000,"$772,000",house,0,1,0,,,556.0,m²,BGZGRE,LJ Hooker - Greystanes  ,,,08 Oct 2022,house,,556.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-smithfield-105326923,Smithfield,NSW,2164,,,280000,"$280,000",residential-other,0,1,0,,,-1.0,,XCEFAI,Century 21 - Fairfield,,,11 Mar 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-wetherill+park-104872446,Wetherill Park,NSW,2164,,,,Contact agent,residential-other,0,1,0,,,-1.0,,XCEFAI,Century 21 - Fairfield,,,23 Jun 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-horsley+park-124641826,Horsley Park,NSW,2175,33-43 Redmayne Road,"33-43 Redmayne Road, Horsley Park, NSW 2175",3000000,"$3,000,000",acreage,1,1,1,,,1.78,ha,HGMDBV,Laing+Simmons - Campsie,,,04 Mar 2017,house,,17800.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-smithfield-122546730,Smithfield,NSW,2164,74A Market Street,"74A Market Street, Smithfield, NSW 2164",585000,"$585,000",house,1,1,0,,,900.0,m²,XNBZVH,LJ Hooker - Fairfield,,,13 May 2016,house,,900.0
Sold,https://www.realestate.com.au/sold/property-warehouse-nsw-wetherill+park-117267083,Wetherill Park,NSW,2164,18/276-278 Victoria Street,"18/276-278 Victoria Street, Wetherill Park, NSW 2164",246000,"$246,000",warehouse,1,1,0,140,m²,-1.0,,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,16 Jul 2014,house,140,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-wetherill+park-105785475,Wetherill Park,NSW,2164,,,357500,"$357,500",house,1,1,0,,,564.0,m²,XCEFAI,Century 21 - Fairfield,,,08 Feb 2010,house,,564.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-horsley+park-138414719,Horsley Park,NSW,2175,65 Delaware Road,"65 Delaware Road, Horsley Park, NSW 2175",1800000,"$1,800,000",acreage,1,1,1,,,9712.46,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,20 Nov 2022,house,,9712.46
Sold,https://www.realestate.com.au/sold/property-house-nsw-smithfield-125960254,Smithfield,NSW,2164,60 Charles Street,"60 Charles Street, Smithfield, NSW 2164",1300000,"$1,300,000",house,1,1,0,,,-1.0,,XNBZVH,LJ Hooker - Fairfield,,,22 Dec 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-smithfield-110190429,Smithfield,NSW,2164,,,690000,"$690,000",residential-other,1,1,0,,,-1.0,,XCEBOS,Century 21 - The Parks Realty,,,05 Nov 2012,house,,-1.0
