badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-hoxton+park-107429679,Hoxton Park,NSW,2171,,,,Contact agent,residential-other,1,1,0,,,-1.0,,XRHCAF,Raine & Horne - Cabramatta,,,30 May 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-hoxton+park-106225218,Hoxton Park,NSW,2171,,,,Contact agent,residential-other,1,1,0,167,m²,-1.0,,XRHCAF,Raine & Horne - Cabramatta,,,27 Sep 2010,house,167,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hoxton+park-135426862,Hoxton Park,NSW,2171,2/84 Nineteenth Avenue,"2/84 Nineteenth Avenue, Hoxton Park, NSW 2171",605000,"$605,000",house,2,1,1,,,-1.0,,PMCTLJ,Marando Real Estate South West - South West,,,24 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hoxton+park-127365846,Hoxton Park,NSW,2171,,,800000,"$800,000",house,2,1,1,,,689.2,m²,KUWQEI,Richardson & Wrench Hinchinbrook/Hoxton Park,,,19 Dec 2017,house,,689.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-hoxton+park-119627487,Hoxton Park,NSW,2171,11 Twentieth Avenue,"11 Twentieth Avenue, Hoxton Park, NSW 2171",650000,"$650,000",house,2,1,2,,,929.5,m²,,,,,16 May 2015,house,,929.5
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-hoxton+park-119181011,Hoxton Park,NSW,2171,1/84 Nineteenth Avenue,"1/84 Nineteenth Avenue, Hoxton Park, NSW 2171",459000,"$459,000",duplex-semi-detached,2,1,1,,,-1.0,,YHOLQM,Ray White Carnes Hill - HOXTON PARK,,,02 Mar 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hoxton+park-108519846,Hoxton Park,NSW,2171,66 Coffs Harbour Avenue,"66 Coffs Harbour Avenue, Hoxton Park, NSW 2171",340000,"$340,000",house,2,2,1,,,-1.0,,XRWGRC,Ray White - Green Valley,,,16 Nov 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hoxton+park-104720711,Hoxton Park,NSW,2171,,,,Contact agent,house,2,1,1,,,-1.0,,,,,,07 Nov 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hoxton+park-122757318,Hoxton Park,NSW,2171,11 Twentieth Avenue,"11 Twentieth Avenue, Hoxton Park, NSW 2171",,Contact agent,house,2,1,1,,,930.0,m²,COILIV,Community First Real Estate - Liverpool,,,,house,,930.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hoxton+park-141654352,Hoxton Park,NSW,2171,41 Coffs Harbour Avenue,"41 Coffs Harbour Avenue, Hoxton Park, NSW 2171",770000,"$770,000",house,3,2,1,,,268.0,m²,YHOLQM,Ray White Carnes Hill - HOXTON PARK,,,18 Mar 2023,house,,268.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hoxton+park-140905460,Hoxton Park,NSW,2171,10 Wilcannia Way,"10 Wilcannia Way, Hoxton Park, NSW 2171",850000,"$850,000",house,3,1,3,,,548.0,m²,EQMGZA,United Agents Property Group - WEST HOXTON,,,10 Jan 2023,house,,548.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hoxton+park-140161803,Hoxton Park,NSW,2171,53 Nineteenth Avenue,"53 Nineteenth Avenue, Hoxton Park, NSW 2171",938000,"$938,000",house,3,2,2,,,405.0,m²,YHOLQM,Ray White Carnes Hill - HOXTON PARK,,,10 Sep 2022,house,,405.0
