badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-huntleys+point-141592436,Huntleys Point,NSW,2111,38 Huntleys Point Road,"38 Huntleys Point Road, Huntleys Point, NSW 2111",3410000,"$3,410,000",house,2,1,1,,,645.0,m²,CDFPQO,McGrath - Hunters Hill,,,25 Mar 2023,house,,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-huntleys+point-133387342,Huntleys Point,NSW,2111,48 Huntleys Point Road,"48 Huntleys Point Road, Huntleys Point, NSW 2111",3300000,"$3,300,000",house,3,2,4,251,m²,923.0,m²,STRSTR,Strathfield Partners - Strathfield,,,21 Dec 2020,house,251,923.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-huntleys+point-134457662,Huntleys Point,NSW,2111,24 Huntleys Point Road,"24 Huntleys Point Road, Huntleys Point, NSW 2111",2610000,"$2,610,000",house,3,2,2,,,584.0,m²,XWDHHI,Ward Partners,,,17 Oct 2020,house,,584.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-huntleys+point-118260539,Huntleys Point,NSW,2111,48 Huntleys Point Road,"48 Huntleys Point Road, Huntleys Point, NSW 2111",2600000,"$2,600,000",house,3,2,2,,,923.0,m²,JXPQAN,Ben Giang Real Estate,,,01 Feb 2015,house,,923.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-huntleys+point-116627055,Huntleys Point,NSW,2111,1 HUNTLEYS POINT ROAD,"1 HUNTLEYS POINT ROAD, Huntleys Point, NSW 2111",2400000,"$2,400,000",house,3,3,2,,,500.0,m²,ULLOBQ,Leaders Estate Agents - Gladesville,,,14 May 2014,house,,500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-huntleys+point-116978495,Huntleys Point,NSW,2111,3 Huntleys Point Road,"3 Huntleys Point Road, Huntleys Point, NSW 2111",3550000,"$3,550,000",house,4,2,1,,,992.0,m²,ULLOBQ,Leaders Estate Agents - Gladesville,,,23 Dec 2014,house,,992.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-huntleys+point-115927867,Huntleys Point,NSW,2111,36 Huntleys Point Road,"36 Huntleys Point Road, Huntleys Point, NSW 2111",2180000,"$2,180,000",house,4,2,2,,,563.0,m²,CDFPQO,McGrath - Hunters Hill,,,22 Feb 2014,house,,563.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-huntleys+point-108392731,Huntleys Point,NSW,2111,8 Huntleys Point Road,"8 Huntleys Point Road, Huntleys Point, NSW 2111",2150000,"$2,150,000",house,4,3,3,,,-1.0,,WJTUOM,Belle Property - Annandale,,,28 Oct 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-huntleys+point-140297799,Huntleys Point,NSW,2111,15 Huntleys Point Road,"15 Huntleys Point Road, Huntleys Point, NSW 2111",11500000,"$11,500,000",house,4,3,3,,,1195.0,m²,USYEJF,The Agency - Hunters Hill,,,08 Oct 2022,house,,1195.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-huntleys+point-130447190,Huntleys Point,NSW,2111,20 Huntleys Point Road,"20 Huntleys Point Road, Huntleys Point, NSW 2111",2165000,"$2,165,000",house,4,4,4,,,-1.0,,FUAXHK,Belle Property - Hunters Hill,,,13 Apr 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-huntleys+point-137737122,Huntleys Point,NSW,2111,71 Huntleys Point Road,"71 Huntleys Point Road, Huntleys Point, NSW 2111",9800000,"$9,800,000",house,5,6,4,,,1384.0,m²,USYEJF,The Agency - Hunters Hill,,,04 Dec 2021,house,,1384.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-huntleys+point-118504975,Huntleys Point,NSW,2111,31 HUNTLEYS POINT ROAD,"31 HUNTLEYS POINT ROAD, Huntleys Point, NSW 2111",4388000,"$4,388,000",house,5,5,3,,,-1.0,,ULLOBQ,Leaders Estate Agents - Gladesville,,,10 Jan 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-huntleys+point-137902334,Huntleys Point,NSW,2111,16 Huntleys Point Road,"16 Huntleys Point Road, Huntleys Point, NSW 2111",,Contact agent,house,5,4,2,,,765.0,m²,XWDHHI,Ward Partners,,,06 May 2022,house,,765.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-huntleys+point-137367858,Huntleys Point,NSW,2111,13 Huntleys Point Road,"13 Huntleys Point Road, Huntleys Point, NSW 2111",8150000,"$8,150,000",house,5,4,3,,,-1.0,,IYUHPC,BresicWhitney - Hunters Hill,,,28 Sep 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-huntleys+point-135771146,Huntleys Point,NSW,2111,28 Huntleys Point Road,"28 Huntleys Point Road, Huntleys Point, NSW 2111",4810000,"$4,810,000",house,5,3,2,,,-1.0,,HMQCWU,Raine & Horne - Lower North Shore,,,24 Feb 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-huntleys+point-120463261,Huntleys Point,NSW,2111,33 Huntleys Point Road,"33 Huntleys Point Road, Huntleys Point, NSW 2111",5350000,"$5,350,000",house,5,5,2,,,1416.0,m²,ULLOBQ,Leaders Estate Agents - Gladesville,,,01 Sep 2015,house,,1416.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-huntleys+point-106321900,Huntleys Point,NSW,2111,49 Huntleys Point Road,"49 Huntleys Point Road, Huntleys Point, NSW 2111",,Contact agent,house,5,4,4,,,-1.0,,,,,,01 May 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-huntleys+point-121000730,Huntleys Point,NSW,2111,63 Huntleys Point Road,"63 Huntleys Point Road, Huntleys Point, NSW 2111",8780000,"$8,780,000",house,7,6,10,,,1922.0,m²,CDFPQO,McGrath - Hunters Hill,,,15 Nov 2015,house,,1922.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-huntleys+point-105520415,Huntleys Point,NSW,2111,5 Huntleys Point Road,"5 Huntleys Point Road, Huntleys Point, NSW 2111",3600000,"$3,600,000",house,7,4,2,,,871.0,m²,XWDHHI,Ward Partners,,,13 Aug 2009,house,,871.0
Sold,https://www.realestate.com.au/sold/property-townhouse-nsw-huntleys+point-116433339,Huntleys Point,NSW,2111,26 Mortimer Lewis Drive,"26 Mortimer Lewis Drive, Huntleys Point, NSW 2111",1200000,"$1,200,000",townhouse,3,2,2,,,-1.0,,TCMLHR,Sydney Sotheby's International Realty - Double Bay,,,11 Apr 2014,townhouse,,-1.0
