badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-hurlstone+park-123711882,Hurlstone Park,NSW,2193,82 Floss Street,"82 Floss Street, Hurlstone Park, NSW 2193",2075000,"$2,075,000",house,1,1,0,,,191.8,m²,RILCRO,Rich and Oliva - Real Estate ,,,26 Nov 2016,house,,191.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-hurlstone+park-119163507,Hurlstone Park,NSW,2193,65-69 DUNTROON ST,"65-69 DUNTROON ST, Hurlstone Park, NSW 2193",2205000,"$2,205,000",house,1,8,6,,,-1.0,,PJBPXW,Bobb Property Group - Punchbowl,,,16 Apr 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hurlstone+park-105361989,Hurlstone Park,NSW,2193,"Apt 7, 2-4 Sugar House Road","Apt 7, 2-4 Sugar House Road, Hurlstone Park, NSW 2193",382500,"$382,500",house,1,1,1,65,m²,-1.0,,XFNSUM,Harris Tripp - Summer Hill,,,16 Jan 2009,house,65,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hurlstone+park-113963847,Hurlstone Park,NSW,2193,7 Crinan Street,"7 Crinan Street, Hurlstone Park, NSW 2193",,Contact agent,house,1,1,1,,,-1.0,,XFNSUM,Harris Tripp - Summer Hill,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hurlstone+park-138905623,Hurlstone Park,NSW,2193,111 Crinan Street,"111 Crinan Street, Hurlstone Park, NSW 2193",1550000,"$1,550,000",house,2,1,3,,,-1.0,,XNTMAB,Richardson & Wrench - Marrickville,,,02 Apr 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hurlstone+park-135562954,Hurlstone Park,NSW,2193,42 Tennent Parade,"42 Tennent Parade, Hurlstone Park, NSW 2193",1490000,"$1,490,000",house,2,1,0,,,284.5,m²,GMAXJI,Devine Real Estate - Marrickville | Dulwich Hill,,,20 Mar 2021,house,,284.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-hurlstone+park-134581298,Hurlstone Park,NSW,2193,24 Railway Street,"24 Railway Street, Hurlstone Park, NSW 2193",1460000,"$1,460,000",house,2,1,2,,,-1.0,,XNTMAB,Richardson & Wrench - Marrickville,,,31 Oct 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hurlstone+park-130856814,Hurlstone Park,NSW,2193,5 Mount Street,"5 Mount Street, Hurlstone Park, NSW 2193",1126000,"$1,126,000",house,2,1,1,,,341.4,m²,CAZANN,Callagher Estate Agents - Annandale,,,27 Apr 2019,house,,341.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-hurlstone+park-126812646,Hurlstone Park,NSW,2193,88 Garnet Street,"88 Garnet Street, Hurlstone Park, NSW 2193",1450000,"$1,450,000",house,2,1,1,,,309.6,m²,XMHLEI,McGrath Estate Agents Inner West - Leichhardt,,,25 Nov 2017,house,,309.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-hurlstone+park-129864398,Hurlstone Park,NSW,2193,42 Melford Street,"42 Melford Street, Hurlstone Park, NSW 2193",1220000,"$1,220,000",house,2,1,1,,,613.0,m²,YOYWNU,Raine & Horne - Marrickville,,,08 Dec 2018,house,,613.0
