badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-hurstville+grove-139257591,Hurstville Grove,NSW,2220,133  Laycock Road,"133  Laycock Road, Hurstville Grove, NSW 2220",1820000,"$1,820,000",house,2,1,1,,,531.0,m²,IQPBVO,Ausrealty -  South Hurstville,,,23 May 2022,house,,531.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hurstville+grove-138610175,Hurstville Grove,NSW,2220,44 Seymour Street,"44 Seymour Street, Hurstville Grove, NSW 2220",2700000,"$2,700,000",house,2,1,0,,,790.0,m²,XLJSAO,McGrath - Sans Souci,,,17 Mar 2022,house,,790.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hurstville+grove-131394002,Hurstville Grove,NSW,2220,11 The Crescent,"11 The Crescent, Hurstville Grove, NSW 2220",1406000,"$1,406,000",house,2,1,1,,,613.0,m²,OPAIDV,Laing+Simmons - St George   ,,,06 Jul 2019,house,,613.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hurstville+grove-130473506,Hurstville Grove,NSW,2220,39 Waitara Parade,"39 Waitara Parade, Hurstville Grove, NSW 2220",1390000,"$1,390,000",house,2,1,1,,,670.0,m²,GAZMOR,Gavan Property - SOUTH HURSTVILLE,,,15 Feb 2019,house,,670.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hurstville+grove-121802010,Hurstville Grove,NSW,2220,53 Seymour Street,"53 Seymour Street, Hurstville Grove, NSW 2220",1400000,"$1,400,000",house,2,1,1,,,690.0,m²,ARKENS,McGrath - South Hurstville,,,28 Feb 2016,house,,690.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hurstville+grove-120297257,Hurstville Grove,NSW,2220,15 The Crescent,"15 The Crescent, Hurstville Grove, NSW 2220",1311000,"$1,311,000",house,2,1,1,,,-1.0,,PRNOAT,PRD - Harvey Oatley,,,17 Aug 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hurstville+grove-120564265,Hurstville Grove,NSW,2220,63 West Crescent,"63 West Crescent, Hurstville Grove, NSW 2220",1510000,"$1,510,000",house,2,1,2,,,803.0,m²,,,,,12 Sep 2015,house,,803.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hurstville+grove-118391143,Hurstville Grove,NSW,2220,50 Godfrey Street,"50 Godfrey Street, Hurstville Grove, NSW 2220",939900,"$939,900",house,2,1,2,,,-1.0,,JVRSMT,Luxe Agency by Maurice Maroon,,,10 Dec 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hurstville+grove-116811743,Hurstville Grove,NSW,2220,65 Hillcrest Avenue,"65 Hillcrest Avenue, Hurstville Grove, NSW 2220",925000,"$925,000",house,2,1,2,,,680.0,m²,ARKENS,McGrath - South Hurstville,,,24 May 2014,house,,680.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hurstville+grove-116007147,Hurstville Grove,NSW,2220,74 East Cres,"74 East Cres, Hurstville Grove, NSW 2220",957000,"$957,000",house,2,1,1,,,800.0,m²,GAZMOR,Gavan Property - SOUTH HURSTVILLE,,,07 Mar 2014,house,,800.0
