badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-ingleburn-119152583,Ingleburn,NSW,2565,5/24 Lagonda Dr,"5/24 Lagonda Dr, Ingleburn, NSW 2565",,Contact agent,residential-other,0,1,0,,,-1.0,,,,,,06 Sep 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-ingleburn-120660213,Ingleburn,NSW,2565,1/24 Lagonda dve,"1/24 Lagonda dve, Ingleburn, NSW 2565",,Contact agent,residential-other,0,1,0,,,-1.0,,,,,,16 Jul 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-ingleburn-120660221,Ingleburn,NSW,2565,2/24 Lagondda Dve,"2/24 Lagondda Dve, Ingleburn, NSW 2565",,Contact agent,residential-other,0,1,0,,,-1.0,,,,,,16 Jul 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-123548082,Ingleburn,NSW,2565,3/43-45 Cumberland Road,"3/43-45 Cumberland Road, Ingleburn, NSW 2565",421000,"$421,000",house,1,1,1,,,-1.0,,HBGYTR,Ray White Macarthur Group,,,27 Sep 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-135674826,Ingleburn,NSW,2565,8/81 Oxford Road,"8/81 Oxford Road, Ingleburn, NSW 2565",425000,"$425,000",house,1,1,1,,,-1.0,,STAMAC,Prudential Real Estate - Macquarie Fields,,,16 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-128073266,Ingleburn,NSW,2565,1/81-83 Oxford rd,"1/81-83 Oxford rd, Ingleburn, NSW 2565",400000,"$400,000",house,1,1,1,,,-1.0,,STAMAC,Prudential Real Estate - Macquarie Fields,,,09 May 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-ingleburn-118321799,Ingleburn,NSW,2565,8E Louise Avenue,"8E Louise Avenue, Ingleburn, NSW 2565",317000,"$317,000",residential-other,1,1,0,,,-1.0,,XIYWHQ,Stone Real Estate Macarthur,,,22 Apr 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-117753135,Ingleburn,NSW,2565,42 Belford St,"42 Belford St, Ingleburn, NSW 2565",420000,"$420,000",house,1,1,0,,,-1.0,,ZCKPDB,All Property People - Ingleburn - Austral,,,17 Jan 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-117528399,Ingleburn,NSW,2565,,,850000,"$850,000",house,1,1,2,,,676.0,m²,ZCKPDB,All Property People - Ingleburn - Austral,,,02 Sep 2014,house,,676.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-ingleburn-106118134,Ingleburn,NSW,2565,,,445000,"Range: $375,000 - $445,000",residential-other,1,2,2,,,1020.0,m²,DHIING,Dhillon Real Estate - Ingleburn,,,28 Jun 2010,house,,1020.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-109854446,Ingleburn,NSW,2565,,,,Contact agent,house,1,1,0,,,500.0,m²,TVLSRQ,Ray White - Macarthur Group,,,,house,,500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-141422524,Ingleburn,NSW,2565,3/55 Chester Road,"3/55 Chester Road, Ingleburn, NSW 2565",557000,"$557,000",house,2,1,1,,,-1.0,,LHYAVR,Ray White Macarthur Group - Ingleburn,,,27 Feb 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-141227428,Ingleburn,NSW,2565,24 Liverpool Street,"24 Liverpool Street, Ingleburn, NSW 2565",962000,"$962,000",house,2,1,1,,,562.8,m²,CCCVCO,The Agency South West Sydney - LIVERPOOL,,,11 Feb 2023,house,,562.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-140421599,Ingleburn,NSW,2565,20/17 Lagonda Drive,"20/17 Lagonda Drive, Ingleburn, NSW 2565",520000,"$520,000",house,2,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,17 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-139744563,Ingleburn,NSW,2565,88 Ingleburn Road,"88 Ingleburn Road, Ingleburn, NSW 2565",720000,"$720,000",house,2,1,1,,,556.0,m²,SOTFJA,Century 21 Pereira Group - HARRINGTON PARK,,,15 Jul 2022,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-139603883,Ingleburn,NSW,2565,4 Jaclyn Street,"4 Jaclyn Street, Ingleburn, NSW 2565",780000,"$780,000",house,2,1,2,,,560.0,m²,TVLSRQ,Ray White - Macarthur Group,,,04 Jul 2022,house,,560.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-139254239,Ingleburn,NSW,2565,21 Renault Place,"21 Renault Place, Ingleburn, NSW 2565",930000,"$930,000",house,2,1,4,,,913.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,28 May 2022,house,,913.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-138831335,Ingleburn,NSW,2565,86 Carlisle Street,"86 Carlisle Street, Ingleburn, NSW 2565",850000,"$850,000",house,2,1,1,,,651.0,m²,MUUNKW,CENTURY 21 MINTO - MINTO,,,30 Apr 2022,house,,651.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-138683251,Ingleburn,NSW,2565,4/59 Carlisle Street,"4/59 Carlisle Street, Ingleburn, NSW 2565",535000,"$535,000",house,2,1,1,,,-1.0,,MUUNKW,CENTURY 21 MINTO - MINTO,,,05 Apr 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-ingleburn-138610759,Ingleburn,NSW,2565,4/23 Bronzewing Street,"4/23 Bronzewing Street, Ingleburn, NSW 2565",622000,"$622,000",duplex-semi-detached,2,1,1,,,263.0,m²,TVLSRQ,Ray White - Macarthur Group,,,01 Mar 2022,house,,263.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-137877650,Ingleburn,NSW,2565,3/68-70 Macquarie road,"3/68-70 Macquarie road, Ingleburn, NSW 2565",522000,"$522,000",house,2,1,1,,,-1.0,,EJLJDU,LJ Hooker Ingleburn - INGLEBURN,,,02 Dec 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-137629466,Ingleburn,NSW,2565,4/7 Shrike Place,"4/7 Shrike Place, Ingleburn, NSW 2565",495000,"$495,000",house,2,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,16 Nov 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-137257410,Ingleburn,NSW,2565,2/103 Cumberland Road,"2/103 Cumberland Road, Ingleburn, NSW 2565",480000,"$480,000",house,2,1,1,,,-1.0,,IDYOQG,Miriam Roberts Property - MINTO,,,01 Oct 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-136795298,Ingleburn,NSW,2565,2/51-53 Carlisle Street,"2/51-53 Carlisle Street, Ingleburn, NSW 2565",476000,"$476,000",house,2,1,1,,,128.0,m²,TVLSRQ,Ray White - Macarthur Group,,,10 Aug 2021,house,,128.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-ingleburn-136674518,Ingleburn,NSW,2565,3/22 James Street,"3/22 James Street, Ingleburn, NSW 2565",520000,"$520,000",duplex-semi-detached,2,1,1,,,-1.0,,LHYAVR,Ray White Macarthur Group - Ingleburn,,,21 Jul 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-135765322,Ingleburn,NSW,2565,5 Blue Gum Avenue,"5 Blue Gum Avenue, Ingleburn, NSW 2565",762567,"$762,567",house,2,2,1,,,588.0,m²,TVLSRQ,Ray White - Macarthur Group,,,15 Apr 2021,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-134823954,Ingleburn,NSW,2565,13 Memorial Avenue,"13 Memorial Avenue, Ingleburn, NSW 2565",705000,"$705,000",house,2,1,4,,,651.3,m²,XIYWHQ,Stone Real Estate Macarthur,,,16 Nov 2020,house,,651.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-131250258,Ingleburn,NSW,2565,,,470000,"$470,000",house,2,1,1,,,410.1,m²,LHYAVR,Ray White Macarthur Group - Ingleburn,,,05 Jul 2019,house,,410.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-128733214,Ingleburn,NSW,2565,1 Park Street,"1 Park Street, Ingleburn, NSW 2565",505000,"$505,000",house,2,1,3,,,556.0,m²,WEHVXR,Premiere Estate Agents,,,29 Aug 2018,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-128832874,Ingleburn,NSW,2565,12/17 Lagonda Drive,"12/17 Lagonda Drive, Ingleburn, NSW 2565",425000,"$425,000",house,2,1,1,,,-1.0,,LHYAVR,Ray White Macarthur Group - Ingleburn,,,29 Jun 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleburn-128061818,Ingleburn,NSW,2565,4/23 Chester Road,"4/23 Chester Road, Ingleburn, NSW 2565",510000,"$510,000",house,2,1,1,,,-1.0,,,,,,16 Apr 2018,house,,-1.0
