badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-112366635,Ingleside,NSW,2101,,,2610000,"$2,610,000",house,1,1,0,,,-1.0,,XRWTEH,Sydney Country Living - TERREY HILLS,,,20 Feb 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-115138127,Ingleside,NSW,2101,162 Mona Vale Rd,"162 Mona Vale Rd, Ingleside, NSW 2101",1130000,"$1,130,000",house,2,1,4,,,-1.0,,FCSWMW,RE/MAX Property Specialists - Dee Why & Narrabeen ,,,17 Dec 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-134240050,Ingleside,NSW,2101,162 Mona Vale Road,"162 Mona Vale Road, Ingleside, NSW 2101",1760000,"$1,760,000",house,2,1,4,,,2321.0,m²,MZTELA,D & S Hunter Estate Agents - Elanora Heights,,,21 Aug 2020,house,,2321.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-119331496,Ingleside,NSW,2101,1 Chiltern Road,"1 Chiltern Road, Ingleside, NSW 2101",1841500,"$1,841,500",house,2,1,0,,,-1.0,,XRWTEH,Sydney Country Living - TERREY HILLS,,,13 May 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-140680391,Ingleside,NSW,2101,22 Cicada Glen Road,"22 Cicada Glen Road, Ingleside, NSW 2101",2305000,"$2,305,000",house,3,2,4,,,1617.0,m²,ABCMON,LJ Hooker - Mona Vale,,,10 Nov 2022,house,,1617.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-137782882,Ingleside,NSW,2101,16 Cicada Glen Road,"16 Cicada Glen Road, Ingleside, NSW 2101",2040000,"$2,040,000",house,3,1,1,,,860.0,m²,ABCMON,LJ Hooker - Mona Vale,,,08 Dec 2021,house,,860.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-137560674,Ingleside,NSW,2101,3 Wilson Avenue,"3 Wilson Avenue, Ingleside, NSW 2101",2800000,"$2,800,000",house,3,1,2,,,3037.0,m²,ZRADGM,Stone Real Estate Forest - BELROSE,,,07 Dec 2021,house,,3037.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-136146134,Ingleside,NSW,2101,13-15 Ingleside Road,"13-15 Ingleside Road, Ingleside, NSW 2101",3155000,"$3,155,000",house,3,3,3,,,1453.0,m²,QJWEGU,Clarke & Humel Property - Manly,,,22 May 2021,house,,1453.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-125265662,Ingleside,NSW,2101,16 Cicada Glen Road,"16 Cicada Glen Road, Ingleside, NSW 2101",1510000,"$1,510,000",house,3,1,1,130,m²,860.0,m²,ABCMON,LJ Hooker - Mona Vale,,,13 May 2017,house,130,860.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-117000515,Ingleside,NSW,2101,13 Chiltern Road,"13 Chiltern Road, Ingleside, NSW 2101",5000000,"$5,000,000",house,3,2,10,,,2.2,ha,JXFRWY,Belle Property Dee Why | Mona Vale | Terrey Hills,,,17 Mar 2017,house,,22000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-134315094,Ingleside,NSW,2101,,,6600000,"$6,600,000",house,3,2,2,183,m²,2.02,ha,ABCMON,LJ Hooker - Mona Vale,,,24 Mar 2020,house,183,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-133674222,Ingleside,NSW,2101,3 Manor Road,"3 Manor Road, Ingleside, NSW 2101",1800000,"$1,800,000",house,3,1,6,,,2007.0,m²,NOFYNB,Stone Real Estate - Mona Vale,,,18 Jul 2020,house,,2007.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-130565570,Ingleside,NSW,2101,292 Powderworks Road,"292 Powderworks Road, Ingleside, NSW 2101",2200000,"$2,200,000",house,3,2,6,,,1941.0,m²,NOFYNB,Stone Real Estate - Mona Vale,,,23 Mar 2019,house,,1941.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-111253011,Ingleside,NSW,2101,11 Ingleside Road,"11 Ingleside Road, Ingleside, NSW 2101",990000,"$990,000",house,3,2,7,,,-1.0,,PZQDEE,First National Real Estate Caputo - Dee Why,,,02 Apr 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-110388617,Ingleside,NSW,2101,162 Mona Vale Road,"162 Mona Vale Road, Ingleside, NSW 2101",,Contact agent,house,3,1,2,,,2321.0,m²,XVAXEJ,McGrath - Collaroy | Dee Why,,,19 Jun 2012,house,,2321.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-136748166,Ingleside,NSW,2101,166 Mona Vale Road,"166 Mona Vale Road, Ingleside, NSW 2101",3505000,"$3,505,000",house,4,2,6,278,m²,2131.0,m²,CLHQPJ,Raine & Horne Mona Vale,,,29 Nov 2021,house,278,2131.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-137162882,Ingleside,NSW,2101,35 Ingleside  Road,"35 Ingleside  Road, Ingleside, NSW 2101",2400000,"$2,400,000",house,4,2,1,,,505.9,m²,MZTELA,D & S Hunter Estate Agents - Elanora Heights,,,15 Oct 2021,house,,505.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-134935042,Ingleside,NSW,2101,4 Mccowen Road,"4 Mccowen Road, Ingleside, NSW 2101",1600000,"$1,600,000",house,4,3,5,,,-1.0,,MZTELA,D & S Hunter Estate Agents - Elanora Heights,,,12 Dec 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-129845586,Ingleside,NSW,2101,Lot 36 McLean Street,"Lot 36 McLean Street, Ingleside, NSW 2101",2860000,"$2,860,000",house,4,2,3,,,7369.0,m²,MZTELA,D & S Hunter Estate Agents - Elanora Heights,,,19 Jul 2019,house,,7369.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-120542293,Ingleside,NSW,2101,11 Wirreanda Road,"11 Wirreanda Road, Ingleside, NSW 2101",4750000,"$4,750,000",house,4,2,2,,,3.44,ha,XRWTEH,Sydney Country Living - TERREY HILLS,,,29 Sep 2015,house,,34400.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-119017543,Ingleside,NSW,2101,17 Ingleside Road,"17 Ingleside Road, Ingleside, NSW 2101",1325000,"$1,325,000",house,4,2,5,,,677.0,m²,MZTELA,D & S Hunter Estate Agents - Elanora Heights,,,06 Mar 2015,house,,677.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-ingleside-140189007,Ingleside,NSW,2101,10 Manor Road,"10 Manor Road, Ingleside, NSW 2101",,Contact agent,acreage,4,2,2,,,2.35,ha,NOFYNB,Stone Real Estate - Mona Vale,,,19 Apr 2023,house,,23500.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-ingleside-137401282,Ingleside,NSW,2101,5 Addison Road,"5 Addison Road, Ingleside, NSW 2101",,Contact agent,acreage,4,3,3,,,1.86,ha,XRWTEH,Sydney Country Living - TERREY HILLS,,,10 Apr 2022,house,,18600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-137657022,Ingleside,NSW,2101,10 Cicada Glen Road,"10 Cicada Glen Road, Ingleside, NSW 2101",7150000,"$7,150,000",house,4,3,4,,,3.04,ha,TYJZDG,LJ Hooker - Newport,,,25 Mar 2022,house,,30400.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ingleside-138363251,Ingleside,NSW,2101,47 McLean Street,"47 McLean Street, Ingleside, NSW 2101",4155000,"$4,155,000",house,4,3,4,,,4388.0,m²,NOFYNB,Stone Real Estate - Mona Vale,,,18 Feb 2022,house,,4388.0
