badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-138559903,Jannali,NSW,2226,8 Mary Street,"8 Mary Street, Jannali, NSW 2226",1150000,"$1,150,000",house,1,1,1,,,354.0,m²,XFNJAN,Sanders Property Agents -   ,,,09 Mar 2022,house,,354.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-119462979,Jannali,NSW,2226,10 Warrigal Street,"10 Warrigal Street, Jannali, NSW 2226",790000,"$790,000",house,1,1,0,,,613.0,m²,XFNJAN,Sanders Property Agents -   ,,,06 May 2015,house,,613.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-119602303,Jannali,NSW,2226,1 Lenna Place,"1 Lenna Place, Jannali, NSW 2226",820000,"$820,000",house,1,1,1,,,600.1,m²,EMRLGJ,Hill & Viteri Property - Sutherland,,,30 Apr 2015,house,,600.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-119447647,Jannali,NSW,2226,17 Jannali Crescent,"17 Jannali Crescent, Jannali, NSW 2226",670000,"$670,000",house,1,1,1,,,619.7,m²,XFNJAN,Sanders Property Agents -   ,,,29 Apr 2015,house,,619.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-114274787,Jannali,NSW,2226,20 Jannali Crescent,"20 Jannali Crescent, Jannali, NSW 2226",500000,"$500,000",house,1,1,0,,,-1.0,,,,,,24 Jul 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-107602684,Jannali,NSW,2226,36 Rossford Avenue,"36 Rossford Avenue, Jannali, NSW 2226",475000,"$475,000",house,1,1,0,,,689.0,m²,XFNJAN,Sanders Property Agents -   ,,,22 Sep 2011,house,,689.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-107602532,Jannali,NSW,2226,34 Rossford Avenue,"34 Rossford Avenue, Jannali, NSW 2226",375000,"$375,000",house,1,1,0,,,550.0,m²,XFNJAN,Sanders Property Agents -   ,,,22 Sep 2011,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-134068158,Jannali,NSW,2226,8 Alberta Street,"8 Alberta Street, Jannali, NSW 2226",749950,"$749,950",house,1,1,1,,,354.1,m²,EMRLGJ,Hill & Viteri Property - Sutherland,,,13 Aug 2020,house,,354.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-128145378,Jannali,NSW,2226,8 Mary Street,"8 Mary Street, Jannali, NSW 2226",750000,"$750,000",house,1,1,1,,,-1.0,,XNFSYL,McGrath Sutherland Shire - Sylvania,,,24 Jul 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-106181576,Jannali,NSW,2226,121-123 Novara Crescent,"121-123 Novara Crescent, Jannali, NSW 2226",,Contact agent,house,1,1,0,,,530.0,m²,XFNJAN,Sanders Property Agents -   ,,,06 Jul 2010,house,,530.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-106297975,Jannali,NSW,2226,97 Soldiers Road,"97 Soldiers Road, Jannali, NSW 2226",715000,"$715,000",house,1,1,0,,,1600.0,m²,XFNJAN,Sanders Property Agents -   ,,,06 Mar 2010,house,,1600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-105718025,Jannali,NSW,2226,26a Lincoln Cres,"26a Lincoln Cres, Jannali, NSW 2226",500000,"$500,000",house,1,1,0,,,1050.0,m²,XFNJAN,Sanders Property Agents -   ,,,28 Aug 2009,house,,1050.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-140250479,Jannali,NSW,2226,55 The Circle,"55 The Circle, Jannali, NSW 2226",960000,"$960,000",house,2,1,1,,,200.0,m²,TQDTIH,Pulse Property Agents - Sutherland Shire,,,04 Oct 2022,house,,200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-139423583,Jannali,NSW,2226,9 Wybalena Place,"9 Wybalena Place, Jannali, NSW 2226",1400000,"$1,400,000",house,2,2,1,,,701.0,m²,XFNJAN,Sanders Property Agents -   ,,,14 Jun 2022,house,,701.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-138492355,Jannali,NSW,2226,10 Seventh Avenue,"10 Seventh Avenue, Jannali, NSW 2226",1405000,"$1,405,000",house,2,2,2,,,-1.0,,EMRLGJ,Hill & Viteri Property - Sutherland,,,05 Mar 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-137929134,Jannali,NSW,2226,101 Wattle Road,"101 Wattle Road, Jannali, NSW 2226",1300000,"$1,300,000",house,2,1,2,,,537.5,m²,TQDTIH,Pulse Property Agents - Sutherland Shire,,,07 Dec 2021,house,,537.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-136446062,Jannali,NSW,2226,98 Wattle Road,"98 Wattle Road, Jannali, NSW 2226",1700000,"$1,700,000",house,2,1,1,,,-1.0,,XFNJAN,Sanders Property Agents -   ,,,28 Jun 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-jannali-136116698,Jannali,NSW,2226,100A Novara Crescent,"100A Novara Crescent, Jannali, NSW 2226",1170000,"$1,170,000",duplex-semi-detached,2,1,1,210,m²,-1.0,,TQDTIH,Pulse Property Agents - Sutherland Shire,,,04 May 2021,house,210,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-135209598,Jannali,NSW,2226,3 Skillcorn Avenue,"3 Skillcorn Avenue, Jannali, NSW 2226",1250000,"$1,250,000",house,2,1,1,,,-1.0,,BWZQTE,Highland - Sutherland Shire & St George,,,06 Feb 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-134456466,Jannali,NSW,2226,25 Rossford Avenue,"25 Rossford Avenue, Jannali, NSW 2226",1100000,"$1,100,000",house,2,1,2,,,626.0,m²,EMRLGJ,Hill & Viteri Property - Sutherland,,,17 Oct 2020,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-132016646,Jannali,NSW,2226,17 Jannali Crescent,"17 Jannali Crescent, Jannali, NSW 2226",845000,"$845,000",house,2,1,1,,,619.7,m²,XFNJAN,Sanders Property Agents -   ,,,27 Sep 2019,house,,619.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-jannali-131323466,Jannali,NSW,2226,56 Sutherland Road,"56 Sutherland Road, Jannali, NSW 2226",820000,"$820,000",house,2,2,1,,,923.0,m²,XFNJAN,Sanders Property Agents -   ,,,14 Jun 2019,house,,923.0
