badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-jilliby-133454426,Jilliby,NSW,2259,145 Bloomfield Road,"145 Bloomfield Road, Jilliby, NSW 2259",1280000,"$1,280,000",acreage,1,1,0,,,23.88,ha,YDNNTE,Raine & Horne  -  Wyong,,,29 Sep 2020,house,,238800.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-jilliby-106671105,Jilliby,NSW,2259,242 Jilliby Road,"242 Jilliby Road, Jilliby, NSW 2259",735000,"$735,000",acreage,1,1,3,,,16.19,ha,KATWYO,McGrath - Gosford,,,03 Nov 2010,house,,161900.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-jilliby-118166851,Jilliby,NSW,2259,315 Jilliby Road,"315 Jilliby Road, Jilliby, NSW 2259",1200000,"$1,200,000",acreage,2,1,10,,,20.23,ha,XFNWYO,Coastwide First National -   ,,,03 Sep 2015,house,,202300.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-jilliby-114550515,Jilliby,NSW,2259,9 Watagan Forest Drive,"9 Watagan Forest Drive, Jilliby, NSW 2259",790000,"$790,000",acreage,2,1,1,,,19.02,ha,CAYGOR,Capital One Real Estate - Central Coast,,,21 Sep 2013,house,,190200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-jilliby-106635781,Jilliby,NSW,2259,669 Dickson Road,"669 Dickson Road, Jilliby, NSW 2259",,Contact agent,house,2,1,2,,,11.11,ha,,,,,15 Jul 2010,house,,111100.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-jilliby-138928919,Jilliby,NSW,2259,140 Durren Road,"140 Durren Road, Jilliby, NSW 2259",1600000,"$1,600,000",acreage,3,2,6,,,1.98,ha,XFNWYO,Coastwide First National -   ,,,13 Aug 2022,house,,19800.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-jilliby-138331086,Jilliby,NSW,2259,222 Durren Road,"222 Durren Road, Jilliby, NSW 2259",1835000,"$1,835,000",house,3,1,3,,,12.55,ha,RCYGQP,The Property Market - Central Coast,,,14 Apr 2022,house,,125500.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-jilliby-136781894,Jilliby,NSW,2259,200 Woods Road,"200 Woods Road, Jilliby, NSW 2259",1700000,"$1,700,000",acreage,3,1,2,,,20.0,ha,NFIAKY,Stone Real Estate - Wyong,,,12 Oct 2021,house,,200000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-jilliby-134521278,Jilliby,NSW,2259,27 Treelands Drive,"27 Treelands Drive, Jilliby, NSW 2259",960000,"$960,000",house,3,2,2,,,5665.6,m²,RCYGQP,The Property Market - Central Coast,,,25 Jan 2021,house,,5665.6
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-jilliby-131441286,Jilliby,NSW,2259,583 Dicksons Road,"583 Dicksons Road, Jilliby, NSW 2259",1500000,"$1,500,000",acreage,3,2,5,,,16.19,ha,BSYZJT,Capital One Real Estate - Lifestyle,,,10 Dec 2019,house,,161900.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-jilliby-132086254,Jilliby,NSW,2259,27 Treelands Drive,"27 Treelands Drive, Jilliby, NSW 2259",900000,"$900,000",acreage,3,2,2,,,5665.6,m²,RCYGQP,The Property Market - Central Coast,,,31 Oct 2019,house,,5665.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-jilliby-128221922,Jilliby,NSW,2259,671 Jilliby Road,"671 Jilliby Road, Jilliby, NSW 2259",815000,"$815,000",house,3,2,1,,,2093.0,m²,RCYGQP,The Property Market - Central Coast,,,06 Jun 2018,house,,2093.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-jilliby-125999398,Jilliby,NSW,2259,653 Dicksons Road,"653 Dicksons Road, Jilliby, NSW 2259",925000,"$925,000",house,3,2,2,,,10.93,ha,BSYZJT,Capital One Real Estate - Lifestyle,,,04 Aug 2017,house,,109300.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-jilliby-121551878,Jilliby,NSW,2259,505 Jilliby Road,"505 Jilliby Road, Jilliby, NSW 2259",575000,"$575,000",acreage,3,1,1,,,2023.43,m²,RCYGQP,The Property Market - Central Coast,,,12 Jan 2016,house,,2023.43
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-jilliby-114590775,Jilliby,NSW,2259,10 Francis Byrnes Road,"10 Francis Byrnes Road, Jilliby, NSW 2259",815000,"$815,000",acreage,3,2,4,,,1.01,ha,RCYGQP,The Property Market - Central Coast,,,10 Sep 2013,house,,10100.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-jilliby-113701595,Jilliby,NSW,2259,27 Treelands Drive,"27 Treelands Drive, Jilliby, NSW 2259",540000,"$540,000",acreage,3,2,2,,,5665.6,m²,RCYGQP,The Property Market - Central Coast,,,12 Aug 2013,house,,5665.6
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-jilliby-136395546,Jilliby,NSW,2259,532 Jilliby Road,"532 Jilliby Road, Jilliby, NSW 2259",1915000,"$1,915,000",acreage,3,2,2,,,9.96,ha,XFNWYO,Coastwide First National -   ,,,20 Aug 2021,house,,99600.00000000001
