badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-kangy+angy-141299396,Kangy Angy,NSW,2258,28/115 Pacific Highway,"28/115 Pacific Highway, Kangy Angy, NSW 2258",125000,"$125,000",house,1,1,1,,,-1.0,,TUGTUG,Tuggerah Realty - Tuggerah,,,12 Apr 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kangy+angy-134931698,Kangy Angy,NSW,2258,93/115 Pacific Highway,"93/115 Pacific Highway, Kangy Angy, NSW 2258",115000,"$115,000",house,1,1,1,,,-1.0,,TUGTUG,Tuggerah Realty - Tuggerah,,,02 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kangy+angy-132373766,Kangy Angy,NSW,2258,,,45000,"$45,000",house,1,1,2,,,-1.0,,TUGTUG,Tuggerah Realty - Tuggerah,,,26 Feb 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kangy+angy-131385050,Kangy Angy,NSW,2258,,,115000,"$115,000",house,1,1,1,,,-1.0,,TUGTUG,Tuggerah Realty - Tuggerah,,,01 Aug 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kangy+angy-128008450,Kangy Angy,NSW,2258,,,119000,"$119,000",house,1,1,0,,,-1.0,,TUGTUG,Tuggerah Realty - Tuggerah,,,12 Nov 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kangy+angy-135254090,Kangy Angy,NSW,2258,12/115 Pacific Highway,"12/115 Pacific Highway, Kangy Angy, NSW 2258",,Contact agent,house,1,1,1,90,m²,180.0,m²,DWNPCX,No Agent Property - BRIGHTON EAST,,,10 Aug 2021,house,90,180.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-kangy+angy-138799459,Kangy Angy,NSW,2258,110 Orchard Road,"110 Orchard Road, Kangy Angy, NSW 2258",1500000,"$1,500,000",acreage,2,1,1,,,3.88,ha,NFIAKY,Stone Real Estate - Wyong,,,24 Oct 2022,house,,38800.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kangy+angy-139287467,Kangy Angy,NSW,2258,33/115 Pacific Highway,"33/115 Pacific Highway, Kangy Angy, NSW 2258",210000,"$210,000",house,2,1,1,,,-1.0,,TUGTUG,Tuggerah Realty - Tuggerah,,,15 Jul 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kangy+angy-133999422,Kangy Angy,NSW,2258,24/115 Pacific Highway,"24/115 Pacific Highway, Kangy Angy, NSW 2258",220000,"$220,000",house,2,1,2,,,-1.0,,TUGTUG,Tuggerah Realty - Tuggerah,,,25 Feb 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kangy+angy-133123266,Kangy Angy,NSW,2258,,,247000,"$247,000",house,2,1,2,,,-1.0,,TUGTUG,Tuggerah Realty - Tuggerah,,,09 Jul 2020,house,,-1.0
