badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-kellyville-114985771,Kellyville,NSW,2155,,,410000,"$410,000",house,0,1,0,,,450.0,m²,FGIVJJ,Zarzar Property - Rouse  Hill,,,14 Jun 2014,house,,450.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kellyville-122302730,Kellyville,NSW,2155,,,810000,"Range: $690,000 - $810,000",house,0,1,0,,,-1.0,,WRYSHJ,First National Hills Direct - The Ponds ,,,10 Aug 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-kellyville-105559985,Kellyville,NSW,2155,,,,Contact agent,acreage,0,1,0,,,-1.0,,XLJDUR,LJ Hooker - Dural,,,05 Sep 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kellyville-128289138,Kellyville,NSW,2155,2/Lot 2 Mossop Way,"2/Lot 2 Mossop Way, Kellyville, NSW 2155",590000,"$590,000",house,1,1,1,,,-1.0,,XGRDUR,Guardian Realty - Dural,,,06 Jun 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kellyville-121550086,Kellyville,NSW,2155,"Lot 7, 40 Bruhn Circuit","Lot 7, 40 Bruhn Circuit, Kellyville, NSW 2155",850000,"$850,000",house,1,1,1,,,752.0,m²,RAOCON,Raine & Horne - Concord | Strathfield ,,,03 Mar 2016,house,,752.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kellyville-121493806,Kellyville,NSW,2155,Lot 4 Butler Avenue,"Lot 4 Butler Avenue, Kellyville, NSW 2155",838000,"$838,000",house,1,1,1,,,731.0,m²,RAOCON,Raine & Horne - Concord | Strathfield ,,,22 Dec 2015,house,,731.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-kellyville-121541618,Kellyville,NSW,2155,Lot 17 Bruhn Cct,"Lot 17 Bruhn Cct, Kellyville, NSW 2155",920000,"$920,000",residential-other,1,1,0,,,700.5,m²,ODNTFA,Listed RE - BAULKHAM HILLS,,,22 Dec 2018,house,,700.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-kellyville-118348311,Kellyville,NSW,2155,6 (Lot 16) Swift Parrot Close,"6 (Lot 16) Swift Parrot Close, Kellyville, NSW 2155",820000,"$820,000",house,1,1,1,,,842.0,m²,LOACAS,Louis Carr Glenhaven - Castle Hill,,,16 Feb 2015,house,,842.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kellyville-117774239,Kellyville,NSW,2155,3 Caladenia Place,"3 Caladenia Place, Kellyville, NSW 2155",685000,"$685,000",house,1,1,0,,,711.6,m²,LOACAS,Louis Carr Glenhaven - Castle Hill,,,26 Aug 2014,house,,711.6
Sold,https://www.realestate.com.au/sold/property-other-nsw-kellyville-124718226,Kellyville,NSW,2155,,,955000,"Range: $815,000 - $955,000",residential-other,1,1,0,,,-1.0,,HXBSAB,Express Commercial Re,,,14 Sep 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-kellyville-123944910,Kellyville,NSW,2155,LOT 607/27-31 FOXALL ROAD,"LOT 607/27-31 FOXALL ROAD, Kellyville, NSW 2155",,Contact agent,residential-other,1,1,0,,,450.0,m²,HGMSVA,Ray White - Blacktown City,,,10 Nov 2016,house,,450.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kellyville-121820078,Kellyville,NSW,2155,"Lot 9, 38 Bruhn Circuit","Lot 9, 38 Bruhn Circuit, Kellyville, NSW 2155",775000,"$775,000",house,1,1,1,,,742.0,m²,RAOCON,Raine & Horne - Concord | Strathfield ,,,03 May 2016,house,,742.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kellyville-106006504,Kellyville,NSW,2155,16 Woodstream Cr,"16 Woodstream Cr, Kellyville, NSW 2155",360000,"$360,000",house,1,1,0,,,521.0,m²,ANDBLA,Andrew Merton Real Estate - Quakers Hill,,,20 Oct 2009,house,,521.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-kellyville-104753856,Kellyville,NSW,2155,,,,Contact agent,residential-other,1,1,0,,,-1.0,,XRWCAS,Ray White - Castle Hill ,,,24 Jul 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kellyville-131278262,Kellyville,NSW,2155,1 Greenwood Road,"1 Greenwood Road, Kellyville, NSW 2155",750000,"$750,000",house,2,1,2,,,476.0,m²,XELCAA,Gilmour Property Agents,,,01 Jul 2019,house,,476.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kellyville-124593618,Kellyville,NSW,2155,48 Green Road,"48 Green Road, Kellyville, NSW 2155",1085000,"$1,085,000",house,2,1,0,,,1144.0,m²,DHAHCA,Greenwood Group Realtors - Kellyville,,,21 Mar 2017,house,,1144.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kellyville-133965078,Kellyville,NSW,2155,18 Greenwood Road,"18 Greenwood Road, Kellyville, NSW 2155",992500,"$992,500",house,2,1,1,,,1037.0,m²,XRWCAS,Ray White - Castle Hill ,,,10 Jul 2020,house,,1037.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kellyville-109635456,Kellyville,NSW,2155,19 Janamba Avenue,"19 Janamba Avenue, Kellyville, NSW 2155",540000,"$540,000",house,2,1,1,,,-1.0,,TXHPPF,Response Real Estate Kellyville Sales - KELLYVILLE,,,27 Mar 2012,house,,-1.0
