badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-kembla+grange-140814219,Kembla Grange,NSW,2526,24B Neeson Road,"24B Neeson Road, Kembla Grange, NSW 2526",780000,"$780,000",house,3,2,1,,,230.0,m²,NZNCFT,Betschwar & Co - Wollongong ,,,20 Jan 2023,house,,230.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-137777614,Kembla Grange,NSW,2526,10 Farrier Place,"10 Farrier Place, Kembla Grange, NSW 2526",800000,"$800,000",duplex-semi-detached,3,2,1,125,m²,227.0,m²,JCEWMY,One Agency Elite Property Group,,,02 Dec 2021,house,125,227.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-137147814,Kembla Grange,NSW,2526,54B Saddleback Crescent,"54B Saddleback Crescent, Kembla Grange, NSW 2526",745000,"$745,000",duplex-semi-detached,3,2,1,,,-1.0,,OCOWOL,McGrath - Wollongong,,,16 Sep 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-135435242,Kembla Grange,NSW,2526,5 Sapphire Road,"5 Sapphire Road, Kembla Grange, NSW 2526",650000,"$650,000",duplex-semi-detached,3,2,1,124.21,m²,248.48,m²,NCOFLL,The Agency - Illawarra,,,13 May 2021,house,124.21,248.48
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-135435246,Kembla Grange,NSW,2526,31 Stewards Drive,"31 Stewards Drive, Kembla Grange, NSW 2526",680000,"$680,000",duplex-semi-detached,3,2,1,124.08,m²,248.72,m²,NCOFLL,The Agency - Illawarra,,,21 Apr 2021,house,124.08,248.72
Sold,https://www.realestate.com.au/sold/property-house-nsw-kembla+grange-135410778,Kembla Grange,NSW,2526,1 Bentley Road,"1 Bentley Road, Kembla Grange, NSW 2526",710000,"$710,000",house,3,2,1,,,-1.0,,NZNCFT,Betschwar & Co - Wollongong ,,,03 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-135140514,Kembla Grange,NSW,2526,28A Bentley Road,"28A Bentley Road, Kembla Grange, NSW 2526",565000,"$565,000",duplex-semi-detached,3,1,1,,,-1.0,,GOQKOF,Knock Knock Real Estate - DAPTO,,,26 Feb 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-135370210,Kembla Grange,NSW,2526,26B Bentley Road,"26B Bentley Road, Kembla Grange, NSW 2526",560000,"$560,000",duplex-semi-detached,3,1,1,,,-1.0,,GOQKOF,Knock Knock Real Estate - DAPTO,,,29 Jan 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-135140358,Kembla Grange,NSW,2526,26A Bentley Road,"26A Bentley Road, Kembla Grange, NSW 2526",560000,"$560,000",duplex-semi-detached,3,1,1,,,-1.0,,GOQKOF,Knock Knock Real Estate - DAPTO,,,23 Dec 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-134484726,Kembla Grange,NSW,2526,74A Saddleback Crescent,"74A Saddleback Crescent, Kembla Grange, NSW 2526",610000,"$610,000",duplex-semi-detached,3,2,1,119.75,m²,240.0,m²,PFSWOL,Stone Real Estate - Illawarra,,,21 Oct 2020,house,119.75,240.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-134027910,Kembla Grange,NSW,2526,39b Saddleback Crescent,"39b Saddleback Crescent, Kembla Grange, NSW 2526",595000,"$595,000",duplex-semi-detached,3,2,2,,,-1.0,,MZKWOM,MMJ Wollongong - WOLLONGONG,,,24 Aug 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-133669954,Kembla Grange,NSW,2526,54B Saddleback Crescent,"54B Saddleback Crescent, Kembla Grange, NSW 2526",570000,"$570,000",duplex-semi-detached,3,2,1,,,-1.0,,OCOWOL,McGrath - Wollongong,,,26 Jun 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kembla+grange-132058486,Kembla Grange,NSW,2526,15A Saddleback Cres,"15A Saddleback Cres, Kembla Grange, NSW 2526",566000,"$566,000",house,3,2,1,,,243.0,m²,,,,,22 Oct 2019,house,,243.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kembla+grange-123117266,Kembla Grange,NSW,2526,17B Abbey Street,"17B Abbey Street, Kembla Grange, NSW 2526",580000,"$580,000",house,3,2,2,,,-1.0,,PFSWOL,Stone Real Estate - Illawarra,,,21 Nov 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kembla+grange-141561472,Kembla Grange,NSW,2526,27A Bentley Road,"27A Bentley Road, Kembla Grange, NSW 2526",820000,"$820,000",house,3,2,1,,,-1.0,,XRWDAP,Ray White - Dapto & Horsley,,,26 Apr 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kembla+grange-140430731,Kembla Grange,NSW,2526,8 Vivian Street,"8 Vivian Street, Kembla Grange, NSW 2526",810000,"$810,000",house,3,2,1,,,-1.0,,XRWDAP,Ray White - Dapto & Horsley,,,21 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-138688263,Kembla Grange,NSW,2526,2/26 Stewards Drive,"2/26 Stewards Drive, Kembla Grange, NSW 2526",849000,"$849,000",duplex-semi-detached,3,2,1,,,-1.0,,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,15 Jul 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kembla+grange-139376607,Kembla Grange,NSW,2526,7 Rainbird Drive,"7 Rainbird Drive, Kembla Grange, NSW 2526",865000,"$865,000",house,3,2,2,,,405.0,m²,XRHDAP,PRD Real Estate - Dapto,,,23 May 2022,house,,405.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kembla+grange-137544194,Kembla Grange,NSW,2526,Unit 1/37 Saddleback Crescent,"Unit 1/37 Saddleback Crescent, Kembla Grange, NSW 2526",799000,"$799,000",house,3,2,1,,,-1.0,,YUYTFY,Urban Land Housing - BELLA VISTA ,,,11 Mar 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-135500654,Kembla Grange,NSW,2526,28B Bentley Road,"28B Bentley Road, Kembla Grange, NSW 2526",565000,"$565,000",duplex-semi-detached,3,1,1,,,-1.0,,GOQKOF,Knock Knock Real Estate - DAPTO,,,16 Feb 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-133943798,Kembla Grange,NSW,2526,24B Stewards Drive,"24B Stewards Drive, Kembla Grange, NSW 2526",615000,"$615,000",duplex-semi-detached,3,2,1,,,-1.0,,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,25 Nov 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-134354898,Kembla Grange,NSW,2526,39a Saddleback Crescent,"39a Saddleback Crescent, Kembla Grange, NSW 2526",595000,"$595,000",duplex-semi-detached,3,2,2,,,-1.0,,MZKWOM,MMJ Wollongong - WOLLONGONG,,,25 Aug 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kembla+grange-132848846,Kembla Grange,NSW,2526,Lot 117 Proposed Road,"Lot 117 Proposed Road, Kembla Grange, NSW 2526",572900,"$572,900",house,3,2,2,167.23,m²,321.4,m²,,,,,01 Apr 2020,house,167.23,321.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-kembla+grange-131498770,Kembla Grange,NSW,2526,Lot 124 Road 2,"Lot 124 Road 2, Kembla Grange, NSW 2526",511900,"$511,900",house,3,2,1,138.09,m²,306.5,m²,,,,,11 Sep 2019,house,138.09,306.5
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-132555926,Kembla Grange,NSW,2526,8a Saddleback Crescent,"8a Saddleback Crescent, Kembla Grange, NSW 2526",565000,"$565,000",duplex-semi-detached,3,2,1,,,-1.0,,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,06 Sep 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kembla+grange-118228559,Kembla Grange,NSW,2526,8 Trifecta Place,"8 Trifecta Place, Kembla Grange, NSW 2526",800000,"$800,000",house,3,2,2,,,2010.0,m²,BGLDAP,Harcourts - Dapto | Albion Park | Shellharbour,,,12 Nov 2014,house,,2010.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kembla+grange-112831639,Kembla Grange,NSW,2526,6 Trifecta Place,"6 Trifecta Place, Kembla Grange, NSW 2526",785000,"$785,000",house,3,3,12,,,2018.0,m²,MBUDAP,Richardson and Wrench - Dapto,,,20 May 2013,house,,2018.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kembla+grange-141213672,Kembla Grange,NSW,2526,1 Neeson Road,"1 Neeson Road, Kembla Grange, NSW 2526",872500,"$872,500",house,3,2,1,,,245.0,m²,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,02 Mar 2023,house,,245.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kembla+grange-139156199,Kembla Grange,NSW,2526,6 Trifecta Place,"6 Trifecta Place, Kembla Grange, NSW 2526",1425000,"$1,425,000",house,3,3,9,,,2018.0,m²,BGLDAP,Harcourts - Dapto | Albion Park | Shellharbour,,,11 May 2022,house,,2018.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-138107382,Kembla Grange,NSW,2526,1/26 Stewards Drive,"1/26 Stewards Drive, Kembla Grange, NSW 2526",,Contact agent,duplex-semi-detached,3,2,1,,,-1.0,,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,21 Apr 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kembla+grange-138340034,Kembla Grange,NSW,2526,12 Rosina Street,"12 Rosina Street, Kembla Grange, NSW 2526",860000,"$860,000",house,3,2,1,189,m²,382.0,m²,MBUDAP,Richardson and Wrench - Dapto,,,03 Mar 2022,house,189,382.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-137201606,Kembla Grange,NSW,2526,,,,Contact agent,duplex-semi-detached,3,2,1,,,-1.0,,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,07 Oct 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-137080814,Kembla Grange,NSW,2526,1/63 Saddleback Crescent,"1/63 Saddleback Crescent, Kembla Grange, NSW 2526",,Contact agent,duplex-semi-detached,3,2,1,,,-1.0,,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,14 Sep 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-135138810,Kembla Grange,NSW,2526,51B Neeson Road,"51B Neeson Road, Kembla Grange, NSW 2526",,Contact agent,duplex-semi-detached,3,2,1,,,225.0,m²,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,28 Jan 2021,house,,225.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-135282178,Kembla Grange,NSW,2526,45B Saddleback Crescent,"45B Saddleback Crescent, Kembla Grange, NSW 2526",,Contact agent,duplex-semi-detached,3,2,1,,,225.0,m²,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,22 Dec 2020,house,,225.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-135221022,Kembla Grange,NSW,2526,180A Sheaffes Road,"180A Sheaffes Road, Kembla Grange, NSW 2526",,Contact agent,duplex-semi-detached,3,2,1,,,-1.0,,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,17 Dec 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-135305770,Kembla Grange,NSW,2526,,,,Contact agent,duplex-semi-detached,3,2,1,,,225.0,m²,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,11 Dec 2020,house,,225.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-134717754,Kembla Grange,NSW,2526,178B Sheaffes Road,"178B Sheaffes Road, Kembla Grange, NSW 2526",,Contact agent,duplex-semi-detached,3,1,1,,,-1.0,,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,11 Dec 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-135584802,Kembla Grange,NSW,2526,180B Sheaffes Road,"180B Sheaffes Road, Kembla Grange, NSW 2526",,Contact agent,duplex-semi-detached,3,2,1,,,-1.0,,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,08 Dec 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kembla+grange-134355626,Kembla Grange,NSW,2526,41A Neeson Road,"41A Neeson Road, Kembla Grange, NSW 2526",,Contact agent,house,3,2,1,,,-1.0,,XRWDAP,Ray White - Dapto & Horsley,,,07 Dec 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-135289830,Kembla Grange,NSW,2526,1/103 Neeson Road,"1/103 Neeson Road, Kembla Grange, NSW 2526",,Contact agent,duplex-semi-detached,3,2,1,,,-1.0,,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,12 Nov 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-134652318,Kembla Grange,NSW,2526,51A Neeson Road,"51A Neeson Road, Kembla Grange, NSW 2526",,Contact agent,duplex-semi-detached,3,2,1,,,-1.0,,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,11 Nov 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-134730982,Kembla Grange,NSW,2526,35B Emila Road,"35B Emila Road, Kembla Grange, NSW 2526",,Contact agent,duplex-semi-detached,3,2,1,,,225.0,m²,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,27 Oct 2020,house,,225.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-134281882,Kembla Grange,NSW,2526,178A Sheaffes Road,"178A Sheaffes Road, Kembla Grange, NSW 2526",,Contact agent,duplex-semi-detached,3,1,1,,,-1.0,,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,23 Oct 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-134467542,Kembla Grange,NSW,2526,,,,Contact agent,duplex-semi-detached,3,2,1,,,-1.0,,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,21 Oct 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-134717790,Kembla Grange,NSW,2526,74B Saddleback Crescent,"74B Saddleback Crescent, Kembla Grange, NSW 2526",,Contact agent,duplex-semi-detached,3,2,1,120.2,m²,240.0,m²,PFSWOL,Stone Real Estate - Illawarra,,,14 Oct 2020,house,120.2,240.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-134389250,Kembla Grange,NSW,2526,35A Emila Road,"35A Emila Road, Kembla Grange, NSW 2526",,Contact agent,duplex-semi-detached,3,2,1,,,-1.0,,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,12 Oct 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-134259434,Kembla Grange,NSW,2526,51B Saddleback Crescent,"51B Saddleback Crescent, Kembla Grange, NSW 2526",,Contact agent,duplex-semi-detached,3,2,2,,,-1.0,,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,30 Sep 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kembla+grange-134326062,Kembla Grange,NSW,2526,51A Saddleback Crescent,"51A Saddleback Crescent, Kembla Grange, NSW 2526",,Contact agent,duplex-semi-detached,3,2,1,,,-1.0,,NNHSKN,Right Choice Real Estate Albion Park   - Shellharbour  ,,,30 Sep 2020,house,,-1.0
