badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-138690283,Kilaben Bay,NSW,2283,40A Kilaben Road,"40A Kilaben Road, Kilaben Bay, NSW 2283",2325000,"$2,325,000",house,1,2,2,,,3392.0,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,11 Apr 2022,house,,3392.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-132191182,Kilaben Bay,NSW,2283,140 Kilaben Road,"140 Kilaben Road, Kilaben Bay, NSW 2283",392500,"$392,500",house,1,1,0,,,626.0,m²,XFNTOT,Avery Property Professionals  -   ,,,20 Jan 2020,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-112479199,Kilaben Bay,NSW,2283,128 Kilaben Road,"128 Kilaben Road, Kilaben Bay, NSW 2283",700000,"$700,000",house,1,1,4,,,1110.0,m²,XFNTOT,Avery Property Professionals  -   ,,,16 Jan 2013,house,,1110.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-105115649,Kilaben Bay,NSW,2283,128 Kilaben Road,"128 Kilaben Road, Kilaben Bay, NSW 2283",660000,"$660,000",house,1,1,3,,,1113.0,m²,XFNTOT,Avery Property Professionals  -   ,,,25 Mar 2009,house,,1113.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-130319034,Kilaben Bay,NSW,2283,183 Kilaben Road,"183 Kilaben Road, Kilaben Bay, NSW 2283",617500,"$617,500",house,2,2,2,,,556.0,m²,JSUAAV,"Altitude Real Estate - Newcastle, Lake Macquarie & Hunter Valley",,,11 Feb 2019,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-125623430,Kilaben Bay,NSW,2283,102 Kilaben Road,"102 Kilaben Road, Kilaben Bay, NSW 2283",510000,"$510,000",house,2,1,1,,,665.7,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,22 Jun 2017,house,,665.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-132742210,Kilaben Bay,NSW,2283,133 Kilaben Road,"133 Kilaben Road, Kilaben Bay, NSW 2283",520000,"$520,000",house,2,1,0,,,632.0,m²,XRWTOR,Ray White - Toronto,,,24 Nov 2020,house,,632.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-129828662,Kilaben Bay,NSW,2283,175 Kilaben Road,"175 Kilaben Road, Kilaben Bay, NSW 2283",570000,"$570,000",house,2,1,0,,,1644.0,m²,XFNTOT,Avery Property Professionals  -   ,,,06 Dec 2019,house,,1644.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-127914586,Kilaben Bay,NSW,2283,8 Avery close,"8 Avery close, Kilaben Bay, NSW 2283",485000,"$485,000",house,2,2,2,,,746.0,m²,XRWTOR,Ray White - Toronto,,,03 Aug 2018,house,,746.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-126017114,Kilaben Bay,NSW,2283,110 Ridge Road,"110 Ridge Road, Kilaben Bay, NSW 2283",449000,"$449,000",house,2,1,2,,,-1.0,,XRWTOR,Ray White - Toronto,,,08 Aug 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-120191749,Kilaben Bay,NSW,2283,77 Kilaben Road,"77 Kilaben Road, Kilaben Bay, NSW 2283",550000,"$550,000",house,2,2,2,,,1950.0,m²,XFNTOT,Avery Property Professionals  -   ,,,25 Jan 2016,house,,1950.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-117238183,Kilaben Bay,NSW,2283,10 Ridge Road,"10 Ridge Road, Kilaben Bay, NSW 2283",449000,"$449,000",house,2,1,4,,,5081.0,m²,XCETON,Century 21 Gallery - Rathmines,,,07 Aug 2014,house,,5081.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-107209836,Kilaben Bay,NSW,2283,,,340000,"$340,000",house,2,1,1,,,816.0,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,09 Mar 2011,house,,816.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-106705572,Kilaben Bay,NSW,2283,41 Ridge Road,"41 Ridge Road, Kilaben Bay, NSW 2283",395000,"$395,000",house,2,1,1,,,1.02,ha,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,18 Aug 2010,house,,10200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-113952459,Kilaben Bay,NSW,2283,78 Ridge Road,"78 Ridge Road, Kilaben Bay, NSW 2283",465000,"$465,000",house,2,1,2,,,8789.0,m²,XCETON,Century 21 Gallery - Rathmines,,,26 Sep 2013,house,,8789.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-109927196,Kilaben Bay,NSW,2283,,,,Contact agent,house,2,2,2,,,-1.0,,XRWTOR,Ray White - Toronto,,,28 Nov 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-108358346,Kilaben Bay,NSW,2283,,,,Contact agent,house,2,1,1,,,566.0,m²,NTWOYA,Love Realty - Newcastle/ Lake Macquarie,,,30 Jan 2012,house,,566.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-107291723,Kilaben Bay,NSW,2283,,,495000,"$495,000",house,2,2,3,,,5541.0,m²,XRWTOR,Ray White - Toronto,,,06 May 2011,house,,5541.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-106044228,Kilaben Bay,NSW,2283,4 Kilaben Road,"4 Kilaben Road, Kilaben Bay, NSW 2283",265000,"$265,000",house,2,1,0,,,300.0,m²,PRDNEW,"PRD Presence - Newcastle, Lake Macquarie & Central Coast -     ",,,12 Feb 2010,house,,300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-107035670,Kilaben Bay,NSW,2283,164A Kilaben Road,"164A Kilaben Road, Kilaben Bay, NSW 2283",,Contact agent,house,2,1,1,,,963.0,m²,XFNTOT,Avery Property Professionals  -   ,,,,house,,963.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-141011760,Kilaben Bay,NSW,2283,95 Kilaben Road,"95 Kilaben Road, Kilaben Bay, NSW 2283",687750,"$687,750",house,3,1,1,,,1315.0,m²,XRWTOR,Ray White - Toronto,,,05 Apr 2023,house,,1315.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-140423299,Kilaben Bay,NSW,2283,173a Kilaben Road,"173a Kilaben Road, Kilaben Bay, NSW 2283",885000,"$885,000",house,3,2,2,,,470.0,m²,XFNTOT,Avery Property Professionals  -   ,,,02 Dec 2022,house,,470.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-140433419,Kilaben Bay,NSW,2283,1/34 Wyera Crescent,"1/34 Wyera Crescent, Kilaben Bay, NSW 2283",735000,"$735,000",house,3,2,1,,,-1.0,,XFNTOT,Avery Property Professionals  -   ,,,23 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-139081807,Kilaben Bay,NSW,2283,1 Ralfe Crescent,"1 Ralfe Crescent, Kilaben Bay, NSW 2283",900000,"$900,000",house,3,2,2,,,613.0,m²,XRWTOR,Ray White - Toronto,,,05 Sep 2022,house,,613.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kilaben+bay-139641827,Kilaben Bay,NSW,2283,63 Lake View Rd,"63 Lake View Rd, Kilaben Bay, NSW 2283",699000,"$699,000",house,3,2,4,,,578.0,m²,XRWTOR,Ray White - Toronto,,,23 Aug 2022,house,,578.0
