badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-kingsford-137700290,Kingsford,NSW,2032,423 Anzac Parade,"423 Anzac Parade, Kingsford, NSW 2032",1350000,"$1,350,000",house,1,1,6,,,247.0,m²,NGGKIN,NGFarah,,,26 Nov 2021,house,,247.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kingsford-112980283,Kingsford,NSW,2032,9/117 Bunnerong Road,"9/117 Bunnerong Road, Kingsford, NSW 2032",395000,"$395,000",house,1,1,0,,,-1.0,,XLSKIO,Laing+Simmons - Kingsford,,,22 Mar 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kingsford-105872299,Kingsford,NSW,2032,3/255 Anzac Parade,"3/255 Anzac Parade, Kingsford, NSW 2032",,Contact agent,house,1,1,2,77,m²,-1.0,,,,,,15 Aug 2009,house,77,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kingsford-107490231,Kingsford,NSW,2032,439 Anzac Parade,"439 Anzac Parade, Kingsford, NSW 2032",,Contact agent,house,1,1,0,,,-1.0,,XNTBON,Richardson & Wrench - Bondi Junction,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-kingsford-114306823,Kingsford,NSW,2032,,,,Contact agent,residential-other,1,1,2,,,-1.0,,,,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kingsford-141654696,Kingsford,NSW,2032,257 Doncaster Avenue,"257 Doncaster Avenue, Kingsford, NSW 2032",1975000,"$1,975,000",house,2,1,2,,,266.0,m²,MRPQXY,McGrath - Maroubra,,,22 Mar 2023,house,,266.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kingsford-138565183,Kingsford,NSW,2032,579 Anzac Parade,"579 Anzac Parade, Kingsford, NSW 2032",1813000,"$1,813,000",house,2,2,2,,,-1.0,,NGGKIN,NGFarah,,,07 Mar 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kingsford-137630110,Kingsford,NSW,2032,104 Gardeners Road,"104 Gardeners Road, Kingsford, NSW 2032",1700000,"$1,700,000",house,2,1,1,105,m²,304.0,m²,XRHROW,Robert Allan Property - ROSEBERY,,,08 Dec 2021,house,105,304.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kingsford-136597990,Kingsford,NSW,2032,320 Doncaster Avenue,"320 Doncaster Avenue, Kingsford, NSW 2032",1976000,"$1,976,000",house,2,2,0,,,-1.0,,NGGKIN,NGFarah,,,17 Jul 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kingsford-136442918,Kingsford,NSW,2032,18 Irvine Street,"18 Irvine Street, Kingsford, NSW 2032",2705000,"$2,705,000",house,2,2,2,,,-1.0,,NGGKIN,NGFarah,,,25 Jun 2021,house,,-1.0
