badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-kingswood-141260508,Kingswood,NSW,2747,5/9-13 Rodgers Street,"5/9-13 Rodgers Street, Kingswood, NSW 2747",285000,"$285,000",house,1,1,1,,,-1.0,,XRWPEN,Ray White - Nepean Group,,,09 Feb 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kingswood-116225831,Kingswood,NSW,2747,2/20 Bringelly Road,"2/20 Bringelly Road, Kingswood, NSW 2747",220000,"$220,000",house,1,1,1,,,-1.0,,,,,,11 Apr 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kingswood-140709071,Kingswood,NSW,2747,22 Glebe Place,"22 Glebe Place, Kingswood, NSW 2747",560000,"$560,000",house,2,1,0,,,518.0,m²,XRXPEP,Property Central - Penrith,,,10 Feb 2023,house,,518.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kingswood-140299511,Kingswood,NSW,2747,4 Walter Street,"4 Walter Street, Kingswood, NSW 2747",630000,"$630,000",house,2,1,2,76,m²,461.6,m²,EILTFA,Morton - Penrith,,,12 Nov 2022,house,76,461.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-kingswood-137323722,Kingswood,NSW,2747,30 Cosgrove Crescent,"30 Cosgrove Crescent, Kingswood, NSW 2747",725000,"$725,000",house,2,1,2,,,-1.0,,RZCPEN,Response Real Estate - Penrith ,,,04 Oct 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kingswood-136854326,Kingswood,NSW,2747,12 Anthony Crescent,"12 Anthony Crescent, Kingswood, NSW 2747",718000,"$718,000",house,2,1,0,,,620.0,m²,XNFPEN,PRD - PENRITH,,,19 Aug 2021,house,,620.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kingswood-136638446,Kingswood,NSW,2747,34 Cosgrove Crescent,"34 Cosgrove Crescent, Kingswood, NSW 2747",645000,"$645,000",house,2,1,1,,,556.0,m²,JIAPEN,Jim Aitken + Partners - Penrith,,,17 Aug 2021,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kingswood-136501266,Kingswood,NSW,2747,14/66 Park Avenue,"14/66 Park Avenue, Kingswood, NSW 2747",306000,"$306,000",house,2,1,1,,,-1.0,,XRWPEN,Ray White - Nepean Group,,,15 Jul 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kingswood-136197358,Kingswood,NSW,2747,,,1000000,"$1,000,000",house,2,1,1,,,916.0,m²,RZCPEN,Response Real Estate - Penrith ,,,07 Jun 2021,house,,916.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kingswood-135922834,Kingswood,NSW,2747,14 Jamison Road,"14 Jamison Road, Kingswood, NSW 2747",655000,"$655,000",house,2,1,1,,,556.0,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,29 Apr 2021,house,,556.0
