badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-114823919,Kirrawee,NSW,2232,51 Acacia Road,"51 Acacia Road, Kirrawee, NSW 2232",585000,"$585,000",house,1,1,0,,,670.0,m²,XFNJAN,Sanders Property Agents -   ,,,04 Dec 2013,house,,670.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-126750286,Kirrawee,NSW,2232,35-37 Fauna Place,"35-37 Fauna Place, Kirrawee, NSW 2232",,Contact agent,house,1,1,1,,,-1.0,,STRSTR,Strathfield Partners - Strathfield,,,13 Nov 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-140998572,Kirrawee,NSW,2232,193 Oak Road,"193 Oak Road, Kirrawee, NSW 2232",1081000,"$1,081,000",house,2,1,3,,,619.0,m²,HNAYKL,Cripps & Cripps Property - Cronulla,,,21 Dec 2022,house,,619.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-141020808,Kirrawee,NSW,2232,29 Kenneth Avenue,"29 Kenneth Avenue, Kirrawee, NSW 2232",950000,"$950,000",house,2,1,1,,,236.0,m²,SBENIM,Ray White Sutherland Shire - Sylvania,,,07 Dec 2022,house,,236.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-138649655,Kirrawee,NSW,2232,362 The Boulevarde,"362 The Boulevarde, Kirrawee, NSW 2232",1470000,"$1,470,000",house,2,1,1,,,601.0,m²,UWIGMI,Highland - Sutherland,,,24 Mar 2022,house,,601.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-132931406,Kirrawee,NSW,2232,31 Wylie Street,"31 Wylie Street, Kirrawee, NSW 2232",1004250,"$1,004,250",house,2,2,1,,,607.0,m²,TQDTIH,Pulse Property Agents - Sutherland Shire,,,28 Feb 2020,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-129751670,Kirrawee,NSW,2232,117a Oak Road,"117a Oak Road, Kirrawee, NSW 2232",755000,"$755,000",house,2,1,2,,,353.0,m²,XFNJAN,Sanders Property Agents -   ,,,20 Nov 2018,house,,353.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-127453122,Kirrawee,NSW,2232,589 Princes Highway,"589 Princes Highway, Kirrawee, NSW 2232",1025000,"$1,025,000",house,2,1,1,,,-1.0,,XFNGYM,Strong Property - GYMEA,,,06 Mar 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-127451402,Kirrawee,NSW,2232,4 Haymet Street,"4 Haymet Street, Kirrawee, NSW 2232",1160000,"$1,160,000",house,2,1,1,,,607.0,m²,TQDTIH,Pulse Property Agents - Sutherland Shire,,,23 Feb 2018,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-127190402,Kirrawee,NSW,2232,6 Putland Close,"6 Putland Close, Kirrawee, NSW 2232",1150000,"$1,150,000",house,2,1,1,,,651.0,m²,UWIGMI,Highland - Sutherland,,,21 Dec 2017,house,,651.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-124108038,Kirrawee,NSW,2232,1 Peppercorn Place,"1 Peppercorn Place, Kirrawee, NSW 2232",1120000,"$1,120,000",house,2,1,2,,,-1.0,,TQDTIH,Pulse Property Agents - Sutherland Shire,,,03 Dec 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-123416898,Kirrawee,NSW,2232,9 Minerva Street,"9 Minerva Street, Kirrawee, NSW 2232",1050000,"$1,050,000",house,2,1,1,,,626.0,m²,EMRLGJ,Hill & Viteri Property - Sutherland,,,26 Sep 2016,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-118295567,Kirrawee,NSW,2232,4 Milner Avenue,"4 Milner Avenue, Kirrawee, NSW 2232",791000,"$791,000",house,2,1,3,,,575.0,m²,THNMEN,Ray White Sutherland Shire - Menai,,,22 Nov 2014,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-118134867,Kirrawee,NSW,2232,13 Churchill Avenue,"13 Churchill Avenue, Kirrawee, NSW 2232",1061000,"$1,061,000",house,2,1,2,,,909.0,m²,,,,,24 Oct 2014,house,,909.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-117193151,Kirrawee,NSW,2232,15 Moona Road,"15 Moona Road, Kirrawee, NSW 2232",750000,"$750,000",house,2,1,1,,,710.0,m²,RIJMIR,Shire Living Property - Kirrawee,,,10 Sep 2014,house,,710.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-113964083,Kirrawee,NSW,2232,207 Oak Road,"207 Oak Road, Kirrawee, NSW 2232",681000,"$681,000",house,2,1,2,,,607.0,m²,WAISUT,Watkins Real Estate - Sutherland,,,11 Jun 2013,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-111960911,Kirrawee,NSW,2232,13 Tea Gardens Avenue,"13 Tea Gardens Avenue, Kirrawee, NSW 2232",578000,"$578,000",house,2,1,2,,,570.0,m²,,,,,22 Jan 2013,house,,570.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-112243571,Kirrawee,NSW,2232,18 Durbar Avenue,"18 Durbar Avenue, Kirrawee, NSW 2232",610000,"$610,000",house,2,1,1,,,562.0,m²,XCEGYN,JRE Property,,,08 Dec 2012,house,,562.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-109900141,Kirrawee,NSW,2232,279 Forest Road,"279 Forest Road, Kirrawee, NSW 2232",707077,"$707,077",house,2,2,1,,,-1.0,,,,,,22 Mar 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-107666896,Kirrawee,NSW,2232,34 Marshall Road,"34 Marshall Road, Kirrawee, NSW 2232",560000,"$560,000",house,2,1,1,,,575.0,m²,XCEGYN,JRE Property,,,18 Oct 2011,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-107352485,Kirrawee,NSW,2232,128 Acacia Road,"128 Acacia Road, Kirrawee, NSW 2232",500600,"$500,600",house,2,1,0,,,620.0,m²,XMHCRO,McGrath Sutherland Shire - Cronulla,,,17 May 2011,house,,620.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-106380244,Kirrawee,NSW,2232,15 Moona Road,"15 Moona Road, Kirrawee, NSW 2232",510000,"$510,000",house,2,1,0,,,-1.0,,RIJMIR,Shire Living Property - Kirrawee,,,15 Jun 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-106366506,Kirrawee,NSW,2232,5 Weemala Avenue,"5 Weemala Avenue, Kirrawee, NSW 2232",590000,"$590,000",house,2,1,2,,,594.0,m²,,,,,09 Mar 2010,house,,594.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-106245095,Kirrawee,NSW,2232,17 Moona Road,"17 Moona Road, Kirrawee, NSW 2232",520000,"$520,000",house,2,1,0,,,-1.0,,RIJMIR,Shire Living Property - Kirrawee,,,22 Feb 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-106140822,Kirrawee,NSW,2232,38 Hunter Street,"38 Hunter Street, Kirrawee, NSW 2232",540000,"$540,000",house,2,1,1,,,-1.0,,,,,,07 Dec 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-105875467,Kirrawee,NSW,2232,11 Minerva Street,"11 Minerva Street, Kirrawee, NSW 2232",530000,"$530,000",house,2,1,1,,,632.0,m²,XCEGYN,JRE Property,,,08 Aug 2009,house,,632.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-105503737,Kirrawee,NSW,2232,24 Corella Road,"24 Corella Road, Kirrawee, NSW 2232",655000,"$655,000",house,2,1,1,,,1100.0,m²,WUGANK,McDonald Partners,,,27 Mar 2009,house,,1100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-105315766,Kirrawee,NSW,2232,,,479950,"$479,950",house,2,1,1,,,-1.0,,,,,,20 Dec 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-104464229,Kirrawee,NSW,2232,93 Oak Road,"93 Oak Road, Kirrawee, NSW 2232",485000,"$485,000",house,2,1,1,,,-1.0,,XFNGYM,Strong Property - GYMEA,,,08 Jan 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-139701787,Kirrawee,NSW,2232,118/6 Village Place,"118/6 Village Place, Kirrawee, NSW 2232",,Contact agent,house,2,2,1,715.35,m²,121.0,m²,JHIIVT,Johnson and Company Estate Agents - SYDNEY,,,18 Nov 2022,house,715.35,121.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kirrawee-136265834,Kirrawee,NSW,2232,114 Acacia Road,"114 Acacia Road, Kirrawee, NSW 2232",1090000,"$1,090,000",house,2,2,1,,,506.0,m²,EMRLGJ,Hill & Viteri Property - Sutherland,,,09 Jun 2021,house,,506.0
