badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-kogarah-111358163,Kogarah,NSW,2217,Lot 11/14-18 Regent Street,"Lot 11/14-18 Regent Street, Kogarah, NSW 2217",,Contact agent,residential-other,0,1,2,,,-1.0,,,,,,05 Jul 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-139236711,Kogarah,NSW,2217,910/15 Garrigarrang Avenue,"910/15 Garrigarrang Avenue, Kogarah, NSW 2217",650000,"$650,000",house,1,1,1,,,-1.0,,XFNBEO,LJ Hooker - Belmore,,,22 Apr 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-119772019,Kogarah,NSW,2217,1 Paine Street,"1 Paine Street, Kogarah, NSW 2217",920000,"$920,000",house,1,1,2,96,m²,240.0,m²,CWLBWW,Sutherland Shire Property Agents,,,13 Jun 2015,house,96,240.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-107562196,Kogarah,NSW,2217,2 Austral Street,"2 Austral Street, Kogarah, NSW 2217",490000,"$490,000",house,1,1,0,,,273.0,m²,THNKOG,Belle Property - St George,,,23 Sep 2011,house,,273.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-136875454,Kogarah,NSW,2217,118 Railway Parade,"118 Railway Parade, Kogarah, NSW 2217",,Contact agent,house,1,1,2,,,-1.0,,XFNMAX,Firmstone Pappas Properties - ROSEBERY,,,30 Aug 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-kogarah-117618263,Kogarah,NSW,2217,10 Regent Street,"10 Regent Street, Kogarah, NSW 2217",,Contact agent,terrace,1,1,2,"1,347.09",m²,190.0,m²,THNKOG,Belle Property - St George,,,12 Aug 2014,house,"1,347.09",190.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-113291327,Kogarah,NSW,2217,100 Railway Parade,"100 Railway Parade, Kogarah, NSW 2217",700000,"$700,000",house,1,1,0,,,-1.0,,XRWBON,Ray White Unlimited - BONDI BEACH,,,11 Jun 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-111462575,Kogarah,NSW,2217,12/50 Warialda Street,"12/50 Warialda Street, Kogarah, NSW 2217",321000,"$321,000",house,1,1,0,,,-1.0,,THNKOG,Belle Property - St George,,,12 Sep 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-107391082,Kogarah,NSW,2217,8/56 Warialda Street,"8/56 Warialda Street, Kogarah, NSW 2217",319000,"$319,000",house,1,1,1,,,-1.0,,THNKOG,Belle Property - St George,,,20 May 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-104608125,Kogarah,NSW,2217,132 Railway Parade,"132 Railway Parade, Kogarah, NSW 2217",,Contact agent,house,1,1,0,,,-1.0,,,,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-136825570,Kogarah,NSW,2217,46 Bowns Road,"46 Bowns Road, Kogarah, NSW 2217",1620000,"$1,620,000",house,2,1,2,,,-1.0,,HEETEE,Belle Property - St George,,,30 Jul 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-136364714,Kogarah,NSW,2217,70 Warialda Street,"70 Warialda Street, Kogarah, NSW 2217",1633000,"$1,633,000",house,2,1,1,,,-1.0,,LGCXPP,Raine & Horne - Kogarah,,,19 Jun 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-134546438,Kogarah,NSW,2217,26 Rocky Point Road,"26 Rocky Point Road, Kogarah, NSW 2217",880000,"$880,000",house,2,1,2,,,-1.0,,SPZZET,MGM MARTIN,,,29 Dec 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kogarah-131756770,Kogarah,NSW,2217,672A Princes Highway,"672A Princes Highway, Kogarah, NSW 2217",760000,"$760,000",duplex-semi-detached,2,1,2,,,252.9,m²,HEETEE,Belle Property - St George,,,14 Sep 2019,house,,252.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-129226294,Kogarah,NSW,2217,8 Toomevara Street,"8 Toomevara Street, Kogarah, NSW 2217",935000,"$935,000",house,2,1,1,,,507.0,m²,CORRAM,Complete Home Realty - Ramsgate,,,25 Mar 2019,house,,507.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-130007870,Kogarah,NSW,2217,37 Hillpine Avenue,"37 Hillpine Avenue, Kogarah, NSW 2217",1075000,"$1,075,000",house,2,1,1,,,467.0,m²,HEETEE,Belle Property - St George,,,13 Dec 2018,house,,467.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-127840126,Kogarah,NSW,2217,32 Bowns Road,"32 Bowns Road, Kogarah, NSW 2217",966000,"$966,000",house,2,1,0,,,289.0,m²,MDCXAH,McGrath - Brighton Le Sands,,,07 Apr 2018,house,,289.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-127379730,Kogarah,NSW,2217,90 Ocean Street,"90 Ocean Street, Kogarah, NSW 2217",1050000,"$1,050,000",house,2,1,1,,,-1.0,,HEETEE,Belle Property - St George,,,15 Feb 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kogarah-126679974,Kogarah,NSW,2217,60 Green Street,"60 Green Street, Kogarah, NSW 2217",960000,"$960,000",duplex-semi-detached,2,1,1,,,-1.0,,HEETEE,Belle Property - St George,,,08 Nov 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-126419370,Kogarah,NSW,2217,457 West Botany Street,"457 West Botany Street, Kogarah, NSW 2217",1205000,"$1,205,000",house,2,1,3,,,-1.0,,FWYTEU,PRD -  Kingsgrove | Bexley North,,,07 Oct 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-121182238,Kogarah,NSW,2217,21 Toomevara Street,"21 Toomevara Street, Kogarah, NSW 2217",1025000,"$1,025,000",house,2,1,4,,,365.0,m²,ACOKOG,Argy Property - Kogarah,,,25 Nov 2015,house,,365.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-131310526,Kogarah,NSW,2217,14 Madrers Avenue,"14 Madrers Avenue, Kogarah, NSW 2217",1145000,"$1,145,000",house,2,1,1,,,-1.0,,YOYWNU,Raine & Horne - Marrickville,,,03 Jul 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-127572106,Kogarah,NSW,2217,11 Bellevue Street,"11 Bellevue Street, Kogarah, NSW 2217",1050000,"$1,050,000",house,2,2,2,,,-1.0,,RDNXHA,Chase Property Group - Sydney Wide,,,07 Apr 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-126637246,Kogarah,NSW,2217,2 Ferry St,"2 Ferry St, Kogarah, NSW 2217",1265000,"$1,265,000",house,2,1,2,,,533.0,m²,,,,,10 Nov 2017,house,,533.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-123911954,Kogarah,NSW,2217,48 Gray Street,"48 Gray Street, Kogarah, NSW 2217",1290000,"$1,290,000",house,2,2,1,,,-1.0,,ALZKOG,PRD - Kogarah,,,01 Nov 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-121263218,Kogarah,NSW,2217,17 High Street,"17 High Street, Kogarah, NSW 2217",1060000,"$1,060,000",house,2,1,0,,,290.0,m²,,,,,01 Feb 2016,house,,290.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-120317533,Kogarah,NSW,2217,12  Ocean Street,"12  Ocean Street, Kogarah, NSW 2217",1400000,"$1,400,000",house,2,1,1,,,-1.0,,RDNXHA,Chase Property Group - Sydney Wide,,,22 Aug 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-120007405,Kogarah,NSW,2217,11 Warialda Street,"11 Warialda Street, Kogarah, NSW 2217",1208000,"$1,208,000",house,2,1,1,,,-1.0,,HTXHUR,HT Wills Real Estate St George - Hurstville,,,24 Jul 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-116077703,Kogarah,NSW,2217,75 Regent Street,"75 Regent Street, Kogarah, NSW 2217",720000,"$720,000",house,2,1,0,,,-1.0,,LGCXPP,Raine & Horne - Kogarah,,,08 Mar 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-116075363,Kogarah,NSW,2217,82 Warialda St,"82 Warialda St, Kogarah, NSW 2217",830000,"$830,000",house,2,1,0,,,-1.0,,ABCHUR,Good View Properties - Hurstville,,,27 Feb 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-116044115,Kogarah,NSW,2217,6 Margaret Street,"6 Margaret Street, Kogarah, NSW 2217",815000,"$815,000",house,2,1,2,,,392.0,m²,THNKOG,Belle Property - St George,,,17 Feb 2014,house,,392.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-115336383,Kogarah,NSW,2217,84 Warialda St,"84 Warialda St, Kogarah, NSW 2217",700000,"$700,000",house,2,1,0,,,-1.0,,ABCHUR,Good View Properties - Hurstville,,,07 Dec 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-115412415,Kogarah,NSW,2217,55 Barton Street,"55 Barton Street, Kogarah, NSW 2217",825000,"$825,000",house,2,1,1,,,-1.0,,GSNMOO,Caruana Real Estate - Sans Souci,,,28 Nov 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-kogarah-113901439,Kogarah,NSW,2217,24 Taylor Street,"24 Taylor Street, Kogarah, NSW 2217",753000,"$753,000",duplex-semi-detached,2,1,0,105,m²,247.0,m²,NCOFLL,The Agency - Illawarra,,,08 Jun 2013,house,105,247.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-112948151,Kogarah,NSW,2217,57 Warialda Street,"57 Warialda Street, Kogarah, NSW 2217",563000,"$563,000",house,2,1,2,,,328.0,m²,ACOKOG,Argy Property - Kogarah,,,28 Feb 2013,house,,328.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-112362907,Kogarah,NSW,2217,12 Scott Street,"12 Scott Street, Kogarah, NSW 2217",720000,"$720,000",house,2,1,2,,,-1.0,,GSNMOO,Caruana Real Estate - Sans Souci,,,23 Jan 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-109832791,Kogarah,NSW,2217,4/23 Bellevue Street,"4/23 Bellevue Street, Kogarah, NSW 2217",356000,"$356,000",house,2,1,1,,,-1.0,,OUNLRC,Morrin Property,,,16 Mar 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-107358935,Kogarah,NSW,2217,59 Union Street,"59 Union Street, Kogarah, NSW 2217",555000,"$555,000",house,2,1,1,,,-1.0,,,,,,12 May 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-kogarah-107075264,Kogarah,NSW,2217,8 Gray Street,"8 Gray Street, Kogarah, NSW 2217",602000,"$602,000",terrace,2,1,0,,,-1.0,,ALZKOG,PRD - Kogarah,,,03 Mar 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-106943259,Kogarah,NSW,2217,2 Dalley Street,"2 Dalley Street, Kogarah, NSW 2217",550000,"$550,000",house,2,1,1,,,-1.0,,ARKENS,McGrath - South Hurstville,,,20 Nov 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-106067922,Kogarah,NSW,2217,45 Scott Street,"45 Scott Street, Kogarah, NSW 2217",637500,"$637,500",house,2,1,1,,,437.0,m²,GSNMOO,Caruana Real Estate - Sans Souci,,,05 Nov 2009,house,,437.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-105619638,Kogarah,NSW,2217,39 Bowns Road,"39 Bowns Road, Kogarah, NSW 2217",515000,"$515,000",house,2,1,2,,,-1.0,,,,,,15 Aug 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kogarah-105548712,Kogarah,NSW,2217,18 Traynor Avenue,"18 Traynor Avenue, Kogarah, NSW 2217",615000,"$615,000",house,2,1,1,,,-1.0,,GSNMOO,Caruana Real Estate - Sans Souci,,,01 May 2009,house,,-1.0
