badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurmond-113964251,Kurmond,NSW,2757,,,475000,"$475,000",house,1,1,1,,,3.64,ha,PZQANP,Rance Property - Kenthurst,,,22 Oct 2013,house,,36400.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurmond-113967267,Kurmond,NSW,2757,38 Mullens Road,"38 Mullens Road, Kurmond, NSW 2757",,Contact agent,house,1,1,0,,,3.64,ha,NXAUEZ,Lobsey Property - Rouse Hill,,,15 Jan 2014,house,,36400.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurmond-140374259,Kurmond,NSW,2757,515 Bells Line of Road,"515 Bells Line of Road, Kurmond, NSW 2757",730000,"$730,000",house,2,1,1,,,569.0,m²,VXQRKX,McGrath - Hawkesbury,,,15 Dec 2022,house,,569.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-kurmond-140680619,Kurmond,NSW,2757,111 Gadds Lane,"111 Gadds Lane, Kurmond, NSW 2757",1360000,"$1,360,000",acreage,2,2,3,,,6424.0,m²,XCEWIN,Stone Real Estate Hawkesbury,,,02 Nov 2022,house,,6424.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurmond-135654830,Kurmond,NSW,2757,"Lot 51, 74 Longleat Lane","Lot 51, 74 Longleat Lane, Kurmond, NSW 2757",800000,"$800,000",house,2,1,0,,,4000.0,m²,XRWNOF,Ray White - North Richmond,,,22 Apr 2021,house,,4000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurmond-129840062,Kurmond,NSW,2757,442 BELLS LINE OF ROAD,"442 BELLS LINE OF ROAD, Kurmond, NSW 2757",690000,"$690,000",house,2,1,6,,,6070.28,m²,OEEINW,Raine and Horne - Richmond,,,03 Jun 2019,house,,6070.28
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurmond-127413902,Kurmond,NSW,2757,1287 Kurmond Road,"1287 Kurmond Road, Kurmond, NSW 2757",600000,"$600,000",house,2,1,3,,,2997.0,m²,XRWNEU,The Agency - North,,,05 Apr 2018,house,,2997.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurmond-126790234,Kurmond,NSW,2757,30 Longleat Road,"30 Longleat Road, Kurmond, NSW 2757",577500,"$577,500",house,2,1,1,,,695.6,m²,XRWNOF,Ray White - North Richmond,,,20 Feb 2018,house,,695.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurmond-141315144,Kurmond,NSW,2757,515 Bells Line of Road,"515 Bells Line of Road, Kurmond, NSW 2757",730000,"$730,000",house,2,1,1,,,569.0,m²,AYVGST,McGrath - Northwest,,,15 Dec 2022,house,,569.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurmond-115858703,Kurmond,NSW,2757,1305 Kurmond Road,"1305 Kurmond Road, Kurmond, NSW 2757",450000,"$450,000",house,2,1,1,,,1948.0,m²,ZFYLXU,VIBE Property - Richmond,,,22 Jan 2014,house,,1948.0
