badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-121067662,Kurnell,NSW,2231,6 Balboa Street,"6 Balboa Street, Kurnell, NSW 2231",901000,"$901,000",house,1,1,1,,,635.0,m²,XMHCRO,McGrath Sutherland Shire - Cronulla,,,13 Nov 2015,house,,635.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-126599630,Kurnell,NSW,2231,280 Prince Charles Parade,"280 Prince Charles Parade, Kurnell, NSW 2231",925000,"$925,000",house,1,1,0,,,1623.0,m²,TTXRBO,Century 21 Adamson's The Property People -   ,,,05 Oct 2017,house,,1623.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-109046811,Kurnell,NSW,2231,14 Prince Charles Parade,"14 Prince Charles Parade, Kurnell, NSW 2231",715000,"$715,000",house,1,1,0,797,m²,-1.0,,BWZQTE,Highland - Sutherland Shire & St George,,,06 Mar 2012,house,797,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-107299256,Kurnell,NSW,2231,26 Balboa Street,"26 Balboa Street, Kurnell, NSW 2231",500000,"$500,000",house,1,1,1,,,639.0,m²,,,,,19 Apr 2011,house,,639.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-131963810,Kurnell,NSW,2231,,,,Contact agent,house,1,1,2,,,-1.0,,GYBNME,Cronulla Real Estate - Cronulla,,,12 Sep 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-141866928,Kurnell,NSW,2231,9 Bridges Street,"9 Bridges Street, Kurnell, NSW 2231",1281500,"$1,281,500",house,2,1,2,,,607.0,m²,SGOEQZ,MattBlak Property - CRONULLA,,,29 Apr 2023,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-139758831,Kurnell,NSW,2231,16 Captain Cook Drive,"16 Captain Cook Drive, Kurnell, NSW 2231",1300000,"$1,300,000",house,2,1,2,,,1208.0,m²,GYBNME,Cronulla Real Estate - Cronulla,,,04 Nov 2022,house,,1208.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-139822743,Kurnell,NSW,2231,83 Tasman Street,"83 Tasman Street, Kurnell, NSW 2231",1025000,"$1,025,000",house,2,1,1,,,550.1,m²,GYBNME,Cronulla Real Estate - Cronulla,,,07 Oct 2022,house,,550.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-139665963,Kurnell,NSW,2231,74 Bridges Street,"74 Bridges Street, Kurnell, NSW 2231",1215000,"$1,215,000",house,2,1,1,,,550.0,m²,XMHCRO,McGrath Sutherland Shire - Cronulla,,,16 Jul 2022,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-127928102,Kurnell,NSW,2231,40 Torres Street,"40 Torres Street, Kurnell, NSW 2231",1000000,"$1,000,000",house,2,1,1,,,607.0,m²,GYBNME,Cronulla Real Estate - Cronulla,,,01 Jun 2018,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-137411586,Kurnell,NSW,2231,16 Prince Charles Parade,"16 Prince Charles Parade, Kurnell, NSW 2231",2550000,"$2,550,000",house,2,1,1,,,777.8,m²,GYBNME,Cronulla Real Estate - Cronulla,,,08 Sep 2021,house,,777.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-127836610,Kurnell,NSW,2231,52 Prince Charles Parade,"52 Prince Charles Parade, Kurnell, NSW 2231",1410000,"$1,410,000",house,2,1,2,,,898.0,m²,TTXRBO,Century 21 Adamson's The Property People -   ,,,05 Apr 2018,house,,898.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-125639726,Kurnell,NSW,2231,16 Silver Beach Road,"16 Silver Beach Road, Kurnell, NSW 2231",1121000,"$1,121,000",house,2,1,1,,,613.0,m²,TTXRBO,Century 21 Adamson's The Property People -   ,,,29 Jun 2017,house,,613.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-124245214,Kurnell,NSW,2231,5 Tasman Street,"5 Tasman Street, Kurnell, NSW 2231",1070000,"$1,070,000",house,2,1,2,,,594.4,m²,TTXRBO,Century 21 Adamson's The Property People -   ,,,13 Dec 2016,house,,594.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-120470413,Kurnell,NSW,2231,45 Bridges Street,"45 Bridges Street, Kurnell, NSW 2231",930500,"$930,500",house,2,2,3,,,552.0,m²,,,,,05 Sep 2015,house,,552.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-115038387,Kurnell,NSW,2231,104 Torres Street,"104 Torres Street, Kurnell, NSW 2231",680000,"$680,000",house,2,1,1,,,573.0,m²,BWZQTE,Highland - Sutherland Shire & St George,,,28 Oct 2013,house,,573.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-112431347,Kurnell,NSW,2231,31 Bridges Street,"31 Bridges Street, Kurnell, NSW 2231",590000,"$590,000",house,2,1,2,,,605.0,m²,MDCXAH,McGrath - Brighton Le Sands,,,30 Nov 2012,house,,605.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-108444681,Kurnell,NSW,2231,26 Silver Beach Road,"26 Silver Beach Road, Kurnell, NSW 2231",515500,"$515,500",house,2,1,1,,,617.0,m²,,,,,26 Nov 2011,house,,617.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-107330784,Kurnell,NSW,2231,80 Torres Street,"80 Torres Street, Kurnell, NSW 2231",540000,"$540,000",house,2,1,1,,,552.0,m²,,,,,02 May 2011,house,,552.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-106250460,Kurnell,NSW,2231,14 Silver Beach Road,"14 Silver Beach Road, Kurnell, NSW 2231",520000,"$520,000",house,2,1,1,,,617.0,m²,,,,,08 Feb 2010,house,,617.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-106212646,Kurnell,NSW,2231,23 Tasman Street,"23 Tasman Street, Kurnell, NSW 2231",470000,"$470,000",house,2,1,0,,,537.0,m²,PAQCRO,Payne Pacific Real Estate - Cronulla,,,23 Dec 2009,house,,537.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-105599086,Kurnell,NSW,2231,28 Torres Street,"28 Torres Street, Kurnell, NSW 2231",455000,"$455,000",house,2,1,0,,,607.0,m²,,,,,15 May 2009,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-138365259,Kurnell,NSW,2231,28 Torres Street,"28 Torres Street, Kurnell, NSW 2231",1400000,"$1,400,000",house,2,1,1,,,607.0,m²,JTOYBM,Fox & Wood - Sutherland Shire,,,14 Feb 2022,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-137587130,Kurnell,NSW,2231,2/274 Prince Charles Parade,"2/274 Prince Charles Parade, Kurnell, NSW 2231",,Contact agent,house,2,2,1,,,-1.0,,GXPTEH,DiJones - Sutherland Shire,,,19 Oct 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-134544886,Kurnell,NSW,2231,40 Torres Street,"40 Torres Street, Kurnell, NSW 2231",935000,"$935,000",house,2,1,1,,,607.0,m²,,,,,03 Nov 2020,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-133202878,Kurnell,NSW,2231,19 Torres Street,"19 Torres Street, Kurnell, NSW 2231",1050000,"$1,050,000",house,2,1,4,,,1486.0,m²,XCFQRH,The Agency - Sutherland Shire,,,26 Jun 2020,house,,1486.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-130056494,Kurnell,NSW,2231,7 Balboa Street,"7 Balboa Street, Kurnell, NSW 2231",890000,"$890,000",house,2,1,2,,,595.0,m²,SAPCAR,Ray White - Caringbah,,,27 Sep 2019,house,,595.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-110625357,Kurnell,NSW,2231,3 Torres Street,"3 Torres Street, Kurnell, NSW 2231",640000,"$640,000",house,2,1,2,,,1486.0,m²,PAQCRO,Payne Pacific Real Estate - Cronulla,,,20 Jul 2012,house,,1486.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-108814731,Kurnell,NSW,2231,77 Tasman Street,"77 Tasman Street, Kurnell, NSW 2231",520000,"$520,000",house,2,1,1,,,550.0,m²,PAQCRO,Payne Pacific Real Estate - Cronulla,,,15 Dec 2011,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-106896132,Kurnell,NSW,2231,49 Torres Street,"49 Torres Street, Kurnell, NSW 2231",660000,"$660,000",house,2,3,2,,,-1.0,,PAQCRO,Payne Pacific Real Estate - Cronulla,,,03 Nov 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-106278302,Kurnell,NSW,2231,34 Bridges Street,"34 Bridges Street, Kurnell, NSW 2231",515000,"$515,000",house,2,1,1,,,-1.0,,CHRCRO,Chris Burke & Co - Cronulla,,,08 Apr 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-106307576,Kurnell,NSW,2231,25 Silver Beach Road,"25 Silver Beach Road, Kurnell, NSW 2231",530000,"$530,000",house,2,1,4,,,623.0,m²,TTXRBO,Century 21 Adamson's The Property People -   ,,,15 Mar 2010,house,,623.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-141370220,Kurnell,NSW,2231,16 Bridges Street,"16 Bridges Street, Kurnell, NSW 2231",1425000,"$1,425,000",house,3,1,1,,,607.0,m²,GYBNME,Cronulla Real Estate - Cronulla,,,03 Apr 2023,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-141556564,Kurnell,NSW,2231,60 Tasman Street,"60 Tasman Street, Kurnell, NSW 2231",1185000,"$1,185,000",house,3,2,0,,,617.0,m²,GYBNME,Cronulla Real Estate - Cronulla,,,10 Mar 2023,house,,617.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-141522732,Kurnell,NSW,2231,28 Tasman Street,"28 Tasman Street, Kurnell, NSW 2231",1250000,"$1,250,000",house,3,1,4,,,743.1,m²,NNVOJK,One Agency Cronulla - Caringbah,,,08 Mar 2023,house,,743.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-140978564,Kurnell,NSW,2231,84 Bridges Street,"84 Bridges Street, Kurnell, NSW 2231",1730000,"$1,730,000",house,3,2,1,,,550.0,m²,GYBNME,Cronulla Real Estate - Cronulla,,,23 Dec 2022,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-140404195,Kurnell,NSW,2231,79 Tasman Street,"79 Tasman Street, Kurnell, NSW 2231",1445000,"$1,445,000",house,3,1,2,,,-1.0,,XMHCRO,McGrath Sutherland Shire - Cronulla,,,15 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-140097143,Kurnell,NSW,2231,104 Torres Street,"104 Torres Street, Kurnell, NSW 2231",1600000,"$1,600,000",house,3,1,1,,,550.1,m²,GYBNME,Cronulla Real Estate - Cronulla,,,24 Aug 2022,house,,550.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-139940239,Kurnell,NSW,2231,100 Bridges Street,"100 Bridges Street, Kurnell, NSW 2231",1430000,"$1,430,000",house,3,1,1,,,550.1,m²,GYBNME,Cronulla Real Estate - Cronulla,,,09 Aug 2022,house,,550.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-139338983,Kurnell,NSW,2231,123 Bridges Street,"123 Bridges Street, Kurnell, NSW 2231",1475000,"$1,475,000",house,3,1,2,,,550.1,m²,GYBNME,Cronulla Real Estate - Cronulla,,,30 May 2022,house,,550.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-138579571,Kurnell,NSW,2231,21 Torres Street,"21 Torres Street, Kurnell, NSW 2231",2110000,"$2,110,000",house,3,1,2,,,1486.0,m²,GYBNME,Cronulla Real Estate - Cronulla,,,14 Apr 2022,house,,1486.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-138565851,Kurnell,NSW,2231,12 Cook Street,"12 Cook Street, Kurnell, NSW 2231",2100000,"$2,100,000",house,3,1,1,,,2099.0,m²,GYBNME,Cronulla Real Estate - Cronulla,,,18 Mar 2022,house,,2099.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-138257382,Kurnell,NSW,2231,1 Reserve Road,"1 Reserve Road, Kurnell, NSW 2231",1600000,"$1,600,000",house,3,1,2,,,682.9,m²,GYBNME,Cronulla Real Estate - Cronulla,,,06 Feb 2022,house,,682.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-137907730,Kurnell,NSW,2231,9 Cook Street,"9 Cook Street, Kurnell, NSW 2231",1450000,"$1,450,000",house,3,1,1,,,468.0,m²,GYBNME,Cronulla Real Estate - Cronulla,,,01 Jan 2022,house,,468.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-137754046,Kurnell,NSW,2231,12 Captain Cook Drive,"12 Captain Cook Drive, Kurnell, NSW 2231",1750000,"$1,750,000",house,3,1,1,,,1208.0,m²,BWZQTE,Highland - Sutherland Shire & St George,,,09 Dec 2021,house,,1208.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-137672046,Kurnell,NSW,2231,55 Captain Cook Drive,"55 Captain Cook Drive, Kurnell, NSW 2231",1600000,"$1,600,000",house,3,1,1,,,556.4,m²,GYBNME,Cronulla Real Estate - Cronulla,,,19 Nov 2021,house,,556.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-137354774,Kurnell,NSW,2231,54 Prince Charles Parade,"54 Prince Charles Parade, Kurnell, NSW 2231",2700000,"$2,700,000",house,3,2,2,,,1500.0,m²,TQDTIH,Pulse Property Agents - Sutherland Shire,,,15 Oct 2021,house,,1500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-137141142,Kurnell,NSW,2231,45 Bridges Street,"45 Bridges Street, Kurnell, NSW 2231",1800000,"$1,800,000",house,3,2,1,,,550.1,m²,GYBNME,Cronulla Real Estate - Cronulla,,,10 Sep 2021,house,,550.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-137040062,Kurnell,NSW,2231,14 Silver Beach Road,"14 Silver Beach Road, Kurnell, NSW 2231",1805000,"$1,805,000",house,3,2,2,,,613.4,m²,GYBNME,Cronulla Real Estate - Cronulla,,,04 Sep 2021,house,,613.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurnell-136847106,Kurnell,NSW,2231,110 Torres Street,"110 Torres Street, Kurnell, NSW 2231",1625000,"$1,625,000",house,3,2,1,,,-1.0,,NHKHPA,One Agency - Menai/Sutherland,,,04 Aug 2021,house,,-1.0
