badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-132583222,Kurrajong,NSW,2758,,,720000,"$720,000",house,1,1,0,,,4.05,ha,BFERIC,Bennett Property - Richmond,,,07 Oct 2020,house,,40500.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-kurrajong-113016503,Kurrajong,NSW,2758,66 Old Bells Line of Road,"66 Old Bells Line of Road, Kurrajong, NSW 2758",,Contact agent,residential-other,1,1,6,,,-1.0,,EWFFJN,Dwight Real Estate - RICHMOND,,,18 Apr 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-kurrajong-141098232,Kurrajong,NSW,2758,267 Cedar Ridge Road,"267 Cedar Ridge Road, Kurrajong, NSW 2758",1260000,"$1,260,000",acreage,2,1,10,,,3.97,ha,BFERIC,Bennett Property - Richmond,,,04 Mar 2023,house,,39700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-134964926,Kurrajong,NSW,2758,4 Drummond Road,"4 Drummond Road, Kurrajong, NSW 2758",775000,"$775,000",house,2,2,1,,,612.0,m²,BFERIC,Bennett Property - Richmond,,,02 Dec 2020,house,,612.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-134310330,Kurrajong,NSW,2758,128 Old Bells Line Of Road,"128 Old Bells Line Of Road, Kurrajong, NSW 2758",757000,"$757,000",house,2,1,4,,,2312.0,m²,XRWNEU,The Agency - North,,,04 Oct 2020,house,,2312.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-107464297,Kurrajong,NSW,2758,49 Kurrajong Road,"49 Kurrajong Road, Kurrajong, NSW 2758",730000,"$730,000",house,2,1,2,,,720.0,m²,XRWKUR,Ray White - Kurrajong,,,31 Jul 2020,house,,720.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-132390102,Kurrajong,NSW,2758,816 Comleroy Rd,"816 Comleroy Rd, Kurrajong, NSW 2758",1250000,"$1,250,000",house,2,1,3,,,16.19,ha,XRWXMT,First National Connect,,,12 Dec 2019,house,,161900.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-kurrajong-130518138,Kurrajong,NSW,2758,82 Cedar Ridge Road,"82 Cedar Ridge Road, Kurrajong, NSW 2758",1260000,"$1,260,000",acreage,2,1,10,,,6.07,ha,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,03 Apr 2019,house,,60700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-129245926,Kurrajong,NSW,2758,4 Drummond Road,"4 Drummond Road, Kurrajong, NSW 2758",620000,"$620,000",house,2,2,1,,,612.0,m²,BFERIC,Bennett Property - Richmond,,,31 Oct 2018,house,,612.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-129083510,Kurrajong,NSW,2758,55 Old Bells Line of Road,"55 Old Bells Line of Road, Kurrajong, NSW 2758",495000,"$495,000",house,2,1,0,,,467.9,m²,XRWKUR,Ray White - Kurrajong,,,06 Sep 2018,house,,467.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-126683442,Kurrajong,NSW,2758,57 Old Bells Line of Road,"57 Old Bells Line of Road, Kurrajong, NSW 2758",670000,"$670,000",house,2,1,1,,,467.9,m²,,,,,19 Jan 2018,house,,467.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-124653310,Kurrajong,NSW,2758,371 Cedar Ridge Road,"371 Cedar Ridge Road, Kurrajong, NSW 2758",1000000,"$1,000,000",house,2,1,1,,,4.05,ha,XRWNEU,The Agency - North,,,29 Apr 2017,house,,40500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-123565938,Kurrajong,NSW,2758,984 Bells Line of Road,"984 Bells Line of Road, Kurrajong, NSW 2758",900000,"$900,000",house,2,3,12,,,1.14,ha,,,,,01 Feb 2017,house,,11399.999999999998
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-kurrajong-132290086,Kurrajong,NSW,2758,59 Browns Road,"59 Browns Road, Kurrajong, NSW 2758",1200000,"$1,200,000",acreage,2,1,2,,,5.67,ha,HAQPIT,Hamish Rogers Realty,,,16 Oct 2020,house,,56700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-123833086,Kurrajong,NSW,2758,2/137B Old Bells Line Of  Road,"2/137B Old Bells Line Of  Road, Kurrajong, NSW 2758",480000,"$480,000",house,2,1,1,,,452.0,m²,THKRIC,Wiseberry Thompsons,,,20 Dec 2016,house,,452.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-121754338,Kurrajong,NSW,2758,1095 Grose Vale Road,"1095 Grose Vale Road, Kurrajong, NSW 2758",645000,"$645,000",house,2,1,1,,,898.0,m²,XRWKUR,Ray White - Kurrajong,,,18 Mar 2016,house,,898.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-120006505,Kurrajong,NSW,2758,232 Blaxlands Ridge Road,"232 Blaxlands Ridge Road, Kurrajong, NSW 2758",485000,"$485,000",house,2,1,1,,,2289.0,m²,XRWKUR,Ray White - Kurrajong,,,03 Jul 2015,house,,2289.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-119437059,Kurrajong,NSW,2758,191 Cedar Ridge Rd,"191 Cedar Ridge Rd, Kurrajong, NSW 2758",714000,"$714,000",house,2,1,0,,,4.9,ha,XRWXMT,First National Connect,,,30 Apr 2015,house,,49000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-119128951,Kurrajong,NSW,2758,82 Cedar Ridge Road,"82 Cedar Ridge Road, Kurrajong, NSW 2758",815000,"$815,000",house,2,1,0,,,6.07,ha,XRWXMT,First National Connect,,,07 Apr 2015,house,,60700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-118976579,Kurrajong,NSW,2758,13 Kurrajong Road,"13 Kurrajong Road, Kurrajong, NSW 2758",468000,"$468,000",house,2,1,0,,,-1.0,,IORCQP,Dunne Realty - Richmond,,,02 Mar 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-118329963,Kurrajong,NSW,2758,1040 Grose Vale Road,"1040 Grose Vale Road, Kurrajong, NSW 2758",943000,"$943,000",house,2,1,4,,,2.43,ha,XRWXMT,First National Connect,,,22 Nov 2014,house,,24300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-116874171,Kurrajong,NSW,2758,484B Comleroy Road,"484B Comleroy Road, Kurrajong, NSW 2758",715000,"$715,000",house,2,1,6,,,-1.0,,QBWSOU,Iris Property - Kurrajong Heights,,,14 Oct 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-117669707,Kurrajong,NSW,2758,71 Applegum Grove,"71 Applegum Grove, Kurrajong, NSW 2758",745000,"$745,000",house,2,1,5,,,-1.0,,BFERIC,Bennett Property - Richmond,,,19 Sep 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-115712231,Kurrajong,NSW,2758,53 Kurrajong Road,"53 Kurrajong Road, Kurrajong, NSW 2758",365000,"$365,000",house,2,1,1,,,720.0,m²,BFERIC,Bennett Property - Richmond,,,14 Jan 2014,house,,720.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-107373893,Kurrajong,NSW,2758,81 Old Bells Line of Road,"81 Old Bells Line of Road, Kurrajong, NSW 2758",565000,"$565,000",house,2,1,1,,,1150.0,m²,BFERIC,Bennett Property - Richmond,,,15 Dec 2013,house,,1150.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-kurrajong-114279131,Kurrajong,NSW,2758,77 Old Bells Line of Road,"77 Old Bells Line of Road, Kurrajong, NSW 2758",665000,"$665,000",house,2,1,0,,,-1.0,,BFERIC,Bennett Property - Richmond,,,23 Aug 2013,house,,-1.0
