badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-138445467,Lake Haven,NSW,2263,1/11 Twin Lakes Drive,"1/11 Twin Lakes Drive, Lake Haven, NSW 2263",623000,"$623,000",house,2,1,1,,,624.0,m²,BSYZJT,Capital One Real Estate - Lifestyle,,,10 Feb 2022,house,,624.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-135632950,Lake Haven,NSW,2263,39 Glading Close,"39 Glading Close, Lake Haven, NSW 2263",540000,"$540,000",house,2,1,1,,,549.0,m²,XRWBUG,Raine & Horne - Toukley,,,09 Apr 2021,house,,549.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-135543994,Lake Haven,NSW,2263,53 Malvina Parade,"53 Malvina Parade, Lake Haven, NSW 2263",820000,"$820,000",house,2,1,1,,,1037.0,m²,XRWGOR,Ray White Thompson Partners - Gorokan,,,19 Mar 2021,house,,1037.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-134362938,Lake Haven,NSW,2263,5 Ourringo Avenue,"5 Ourringo Avenue, Lake Haven, NSW 2263",430000,"$430,000",house,2,1,2,,,696.0,m²,XRWGOR,Ray White Thompson Partners - Gorokan,,,28 Oct 2020,house,,696.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-138640671,Lake Haven,NSW,2263,3/8 Bensley Close,"3/8 Bensley Close, Lake Haven, NSW 2263",450000,"$450,000",house,2,1,1,,,-1.0,,XGBTOV,Brand Property - Central Coast,,,18 Mar 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-137345150,Lake Haven,NSW,2263,36 Inderan Avenue,"36 Inderan Avenue, Lake Haven, NSW 2263",690000,"$690,000",house,2,1,1,,,695.0,m²,XLQATQ,Wiseberry Gorokan Heritage - GOROKAN,,,01 Oct 2021,house,,695.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-136654126,Lake Haven,NSW,2263,7/8 Telopea Close,"7/8 Telopea Close, Lake Haven, NSW 2263",420000,"$420,000",house,2,1,1,,,-1.0,,XLQATQ,Wiseberry Gorokan Heritage - GOROKAN,,,15 Jul 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-136550102,Lake Haven,NSW,2263,2/11 Twin Lakes Drive,"2/11 Twin Lakes Drive, Lake Haven, NSW 2263",465000,"$465,000",house,2,1,1,,,-1.0,,XLQATQ,Wiseberry Gorokan Heritage - GOROKAN,,,14 Jul 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-136526194,Lake Haven,NSW,2263,1/11 Twin Lakes Drive,"1/11 Twin Lakes Drive, Lake Haven, NSW 2263",450000,"$450,000",house,2,1,1,,,-1.0,,XLQATQ,Wiseberry Gorokan Heritage - GOROKAN,,,23 Jun 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-136193894,Lake Haven,NSW,2263,2/10 Courigal Street,"2/10 Courigal Street, Lake Haven, NSW 2263",550000,"$550,000",house,2,1,1,,,-1.0,,XLQATQ,Wiseberry Gorokan Heritage - GOROKAN,,,17 May 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-134789006,Lake Haven,NSW,2263,55 Malvina Parade,"55 Malvina Parade, Lake Haven, NSW 2263",645000,"$645,000",house,2,2,1,,,948.0,m²,XLQATQ,Wiseberry Gorokan Heritage - GOROKAN,,,20 Nov 2020,house,,948.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-133307138,Lake Haven,NSW,2263,14a Lonsdale Close,"14a Lonsdale Close, Lake Haven, NSW 2263",410000,"$410,000",house,2,2,1,,,392.0,m²,XLQATQ,Wiseberry Gorokan Heritage - GOROKAN,,,21 Aug 2020,house,,392.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-133499826,Lake Haven,NSW,2263,38 Twin Lakes Drive,"38 Twin Lakes Drive, Lake Haven, NSW 2263",420000,"$420,000",house,2,1,1,,,372.0,m²,XLQATQ,Wiseberry Gorokan Heritage - GOROKAN,,,19 Aug 2020,house,,372.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-128148686,Lake Haven,NSW,2263,2/10 Courigal Street,"2/10 Courigal Street, Lake Haven, NSW 2263",450000,"$450,000",house,2,1,1,,,-1.0,,JWYVFW,Wiseberry Gorokan Heritage Rentals - GOROKAN,,,31 May 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-126352626,Lake Haven,NSW,2263,1/8 Telopea Close,"1/8 Telopea Close, Lake Haven, NSW 2263",400000,"$400,000",house,2,1,1,,,-1.0,,JWYVFW,Wiseberry Gorokan Heritage Rentals - GOROKAN,,,28 Sep 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-125551546,Lake Haven,NSW,2263,3/1-2 Jane Close,"3/1-2 Jane Close, Lake Haven, NSW 2263",370000,"$370,000",house,2,1,1,,,-1.0,,XRWGOR,Ray White Thompson Partners - Gorokan,,,19 Jul 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-124882962,Lake Haven,NSW,2263,67 Malvina Parade,"67 Malvina Parade, Lake Haven, NSW 2263",600000,"$600,000",house,2,1,0,,,1271.0,m²,XGBTOV,Brand Property - Central Coast,,,10 Apr 2017,house,,1271.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-123792630,Lake Haven,NSW,2263,134 Dudley Street,"134 Dudley Street, Lake Haven, NSW 2263",365600,"$365,600",house,2,1,1,,,696.0,m²,CAYGOR,Capital One Real Estate - Central Coast,,,02 Nov 2016,house,,696.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-lake+haven-120033869,Lake Haven,NSW,2263,2/1 Merro Close,"2/1 Merro Close, Lake Haven, NSW 2263",327000,"$327,000",duplex-semi-detached,2,1,1,,,-1.0,,QPWPSA,Harcourts Residential and Lifestyle - TOUKLEY,,,22 Jun 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-lake+haven-118948895,Lake Haven,NSW,2263,2/10 Courigal St,"2/10 Courigal St, Lake Haven, NSW 2263",355000,"$355,000",duplex-semi-detached,2,1,1,,,325.0,m²,JWYVFW,Wiseberry Gorokan Heritage Rentals - GOROKAN,,,06 Mar 2015,house,,325.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-118913483,Lake Haven,NSW,2263,33 Ourringo Avenue,"33 Ourringo Avenue, Lake Haven, NSW 2263",310000,"$310,000",house,2,1,2,696,m²,695.6,m²,QPWPSA,Harcourts Residential and Lifestyle - TOUKLEY,,,28 Jan 2015,house,696,695.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-117123287,Lake Haven,NSW,2263,13 Wadalba Avenue,"13 Wadalba Avenue, Lake Haven, NSW 2263",265000,"$265,000",house,2,1,0,,,-1.0,,CAYGOR,Capital One Real Estate - Central Coast,,,01 Jul 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lake+haven-116616771,Lake Haven,NSW,2263,24 Twin Lakes Drive,"24 Twin Lakes Drive, Lake Haven, NSW 2263",320000,"$320,000",house,2,1,1,,,706.0,m²,QPWPSA,Harcourts Residential and Lifestyle - TOUKLEY,,,14 Apr 2014,house,,706.0
