badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-leichhardt-122699166,Leichhardt,NSW,2040,377 Parramatta Road,"377 Parramatta Road, Leichhardt, NSW 2040",860000,"$860,000",terrace,0,1,1,280,m²,200.0,m²,XFNSUM,Harris Tripp - Summer Hill,,,19 Dec 2015,house,280,200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leichhardt-113418139,Leichhardt,NSW,2040,118 Allen St,"118 Allen St, Leichhardt, NSW 2040",,Contact agent,house,0,3,1,,,-1.0,,,,,,17 Apr 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leichhardt-139176767,Leichhardt,NSW,2040,9 Cromwell Street,"9 Cromwell Street, Leichhardt, NSW 2040",1305000,"$1,305,000",house,1,1,0,,,-1.0,,XNKGWU,CobdenHayson - Annandale,,,23 May 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leichhardt-139038383,Leichhardt,NSW,2040,37 Whites Creek Lane,"37 Whites Creek Lane, Leichhardt, NSW 2040",1450000,"$1,450,000",house,1,2,1,,,169.0,m²,CAZANN,Callagher Estate Agents - Annandale,,,02 May 2022,house,,169.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leichhardt-137518854,Leichhardt,NSW,2040,71 Catherine Street,"71 Catherine Street, Leichhardt, NSW 2040",1225000,"$1,225,000",house,1,1,0,,,101.0,m²,HMFAGX,Hudson McHugh - LEICHHARDT,,,28 Oct 2021,house,,101.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leichhardt-136464286,Leichhardt,NSW,2040,217 Marion Street,"217 Marion Street, Leichhardt, NSW 2040",1325000,"$1,325,000",house,1,1,4,,,152.0,m²,XFNSUM,Harris Tripp - Summer Hill,,,20 Aug 2021,house,,152.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leichhardt-135949010,Leichhardt,NSW,2040,8 Hill Street,"8 Hill Street, Leichhardt, NSW 2040",1295000,"$1,295,000",house,1,1,0,,,139.0,m²,COBBAP,CobdenHayson Balmain - BALMAIN,,,03 May 2021,house,,139.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-leichhardt-131906878,Leichhardt,NSW,2040,8 Elswick Street,"8 Elswick Street, Leichhardt, NSW 2040",1600000,"$1,600,000",duplex-semi-detached,1,1,1,,,223.0,m²,SSKKAF,Iskandar Real Estate,,,24 Mar 2021,house,,223.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-leichhardt-132946706,Leichhardt,NSW,2040,8 Elswick Street,"8 Elswick Street, Leichhardt, NSW 2040",1600000,"$1,600,000",duplex-semi-detached,1,1,1,,,223.0,m²,SSKKAF,Iskandar Real Estate,,,24 Mar 2021,house,,223.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leichhardt-134413062,Leichhardt,NSW,2040,32 Rofe Street,"32 Rofe Street, Leichhardt, NSW 2040",875000,"$875,000",house,1,1,0,,,-1.0,,XLJLEI,MONTANO GROUP - LEICHHARDT,,,10 Oct 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leichhardt-131776558,Leichhardt,NSW,2040,15 North Street,"15 North Street, Leichhardt, NSW 2040",850000,"$850,000",house,1,1,0,,,-1.0,,XNKGWU,CobdenHayson - Annandale,,,14 Sep 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leichhardt-130870294,Leichhardt,NSW,2040,3/54 George Street,"3/54 George Street, Leichhardt, NSW 2040",805000,"$805,000",house,1,1,1,,,-1.0,,WJTUOM,Belle Property - Annandale,,,02 May 2019,house,,-1.0
