badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-leonay-105793425,Leonay,NSW,2750,90 Leonay Parade,"90 Leonay Parade, Leonay, NSW 2750",,Contact agent,house,1,1,0,,,645.0,m²,MPOPEN,Dukes Estate Agents,,,16 Sep 2009,house,,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leonay-105793402,Leonay,NSW,2750,92 Leonay Parade,"92 Leonay Parade, Leonay, NSW 2750",,Contact agent,house,1,1,0,,,645.0,m²,MPOPEN,Dukes Estate Agents,,,21 Aug 2009,house,,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leonay-141816376,Leonay,NSW,2750,21 Cliffbrook Crescent,"21 Cliffbrook Crescent, Leonay, NSW 2750",1090000,"$1,090,000",house,3,2,3,,,651.0,m²,VUNUHO,One Agency Caddens - St Marys,,,28 Apr 2023,house,,651.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leonay-141025272,Leonay,NSW,2750,10 Leonay Parade,"10 Leonay Parade, Leonay, NSW 2750",840000,"$840,000",house,3,1,1,,,695.0,m²,XRWPEN,Ray White - Nepean Group,,,09 Jan 2023,house,,695.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leonay-140715659,Leonay,NSW,2750,26 Linksview Avenue,"26 Linksview Avenue, Leonay, NSW 2750",925000,"$925,000",house,3,1,1,,,-1.0,,SNELEU,LJ Hooker Penrith - PENRITH,,,11 Nov 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leonay-137792858,Leonay,NSW,2750,162 River Road,"162 River Road, Leonay, NSW 2750",1700000,"$1,700,000",house,3,2,1,,,663.9,m²,XRXPEP,Property Central - Penrith,,,11 Dec 2021,house,,663.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-leonay-137939574,Leonay,NSW,2750,4 Bangalay Place,"4 Bangalay Place, Leonay, NSW 2750",1170000,"$1,170,000",house,3,1,2,,,788.0,m²,MPOPEN,Dukes Estate Agents,,,08 Dec 2021,house,,788.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leonay-137649086,Leonay,NSW,2750,7 Leonay Parade,"7 Leonay Parade, Leonay, NSW 2750",1210000,"$1,210,000",house,3,2,2,,,796.0,m²,VUNUHO,One Agency Caddens - St Marys,,,03 Dec 2021,house,,796.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leonay-137346026,Leonay,NSW,2750,29 Currawong Crescent,"29 Currawong Crescent, Leonay, NSW 2750",1077700,"$1,077,700",house,3,2,2,,,734.0,m²,KBSPXQ,Merrick Property Group - EMU HEIGHTS,,,05 Oct 2021,house,,734.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leonay-137305758,Leonay,NSW,2750,6 Pamela Parade,"6 Pamela Parade, Leonay, NSW 2750",1350000,"$1,350,000",house,3,1,2,,,663.0,m²,LMXMWS,One Agency Ellul Property Group - ST CLAIR,,,29 Sep 2021,house,,663.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leonay-137152402,Leonay,NSW,2750,57 Leonay Parade,"57 Leonay Parade, Leonay, NSW 2750",935000,"$935,000",house,3,2,1,,,683.0,m²,XNFPEN,PRD - PENRITH,,,20 Sep 2021,house,,683.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leonay-136931070,Leonay,NSW,2750,3 Deloraine Drive,"3 Deloraine Drive, Leonay, NSW 2750",775000,"$775,000",house,3,1,2,,,575.0,m²,XRXPEP,Property Central - Penrith,,,01 Sep 2021,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leonay-136311602,Leonay,NSW,2750,13 Cornell Street,"13 Cornell Street, Leonay, NSW 2750",830000,"$830,000",house,3,1,2,,,644.4,m²,XRXPEP,Property Central - Penrith,,,08 Jun 2021,house,,644.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-leonay-135388570,Leonay,NSW,2750,76 The Sanctuary Drive,"76 The Sanctuary Drive, Leonay, NSW 2750",800000,"$800,000",house,3,1,2,,,581.7,m²,XRXPEP,Property Central - Penrith,,,24 Feb 2021,house,,581.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-leonay-134547330,Leonay,NSW,2750,166 River Road,"166 River Road, Leonay, NSW 2750",1010000,"$1,010,000",house,3,1,1,,,670.0,m²,OUIQFP,Laing+Simmons - The Abassi Group,,,25 Nov 2020,house,,670.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leonay-134391618,Leonay,NSW,2750,38 Parklands Avenue,"38 Parklands Avenue, Leonay, NSW 2750",849000,"$849,000",house,3,2,1,,,651.0,m²,JIAEMU,Jim Aitken + Partners - Emu Plains,,,14 Oct 2020,house,,651.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leonay-134316970,Leonay,NSW,2750,1 Pamela Parade,"1 Pamela Parade, Leonay, NSW 2750",750000,"$750,000",house,3,2,2,,,556.0,m²,MPOPEN,Dukes Estate Agents,,,12 Oct 2020,house,,556.0
