badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-lethbridge+park-137032142,Lethbridge Park,NSW,2770,11B Mangariva Avenue,"11B Mangariva Avenue, Lethbridge Park, NSW 2770",430000,"$430,000",duplex-semi-detached,2,1,1,,,205.5,m²,OTKVAZ,Century 21 K P Realty - MOUNT DRUITT,,,22 Nov 2021,house,,205.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-137237734,Lethbridge Park,NSW,2770,27 Melanesia Avenue,"27 Melanesia Avenue, Lethbridge Park, NSW 2770",585721,"$585,721",house,2,1,3,,,575.0,m²,XRWCAS,Ray White - Castle Hill ,,,02 Oct 2021,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-133859982,Lethbridge Park,NSW,2770,11 Mangariva Avenue,"11 Mangariva Avenue, Lethbridge Park, NSW 2770",340000,"$340,000",house,2,1,0,,,-1.0,,HJJARN,M&B Real Estate - Doonside,,,16 Jul 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-126976574,Lethbridge Park,NSW,2770,38 Wangaroa Crescent,"38 Wangaroa Crescent, Lethbridge Park, NSW 2770",450000,"$450,000",house,2,1,2,,,638.0,m²,TLMEKH,Professionals Homepoint Realty - RIVERSTONE,,,06 Dec 2017,house,,638.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-119265399,Lethbridge Park,NSW,2770,11B Mangariva Avenue,"11B Mangariva Avenue, Lethbridge Park, NSW 2770",350000,"$350,000",house,2,1,2,,,206.0,m²,OUIQFP,Laing+Simmons - The Abassi Group,,,27 Mar 2015,house,,206.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-141700560,Lethbridge Park,NSW,2770,31 Leyte Avenue,"31 Leyte Avenue, Lethbridge Park, NSW 2770",600000,"$600,000",house,3,1,2,,,575.4,m²,MULQUJ,Ray White Diamantidis Group,,,28 Apr 2023,house,,575.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-141943500,Lethbridge Park,NSW,2770,39 Luzon Avenue,"39 Luzon Avenue, Lethbridge Park, NSW 2770",519000,"$519,000",house,3,1,1,,,615.0,m²,OFLLTA,Harcourts Your Place - Plumpton  / St Marys,,,28 Apr 2023,house,,615.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-140183991,Lethbridge Park,NSW,2770,15 Manila Road,"15 Manila Road, Lethbridge Park, NSW 2770",575000,"$575,000",house,3,1,1,,,575.0,m²,QQHRJX,LJ Hooker - Colyton | St Clair ,,,03 Apr 2023,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-141644564,Lethbridge Park,NSW,2770,17 Samoa Place,"17 Samoa Place, Lethbridge Park, NSW 2770",482000,"$482,000",house,3,1,0,,,-1.0,,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,01 Apr 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-138270634,Lethbridge Park,NSW,2770,32 Lingayen Avenue,"32 Lingayen Avenue, Lethbridge Park, NSW 2770",651000,"$651,000",house,3,1,4,,,601.0,m²,NKVFNY,Property Results - ROPES CROSSING,,,30 Mar 2023,house,,601.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-141625940,Lethbridge Park,NSW,2770,6 Rotorua Street,"6 Rotorua Street, Lethbridge Park, NSW 2770",500000,"$500,000",house,3,1,1,,,-1.0,,MULQUJ,Ray White Diamantidis Group,,,15 Mar 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-141301132,Lethbridge Park,NSW,2770,36 Manila Road,"36 Manila Road, Lethbridge Park, NSW 2770",670000,"$670,000",house,3,1,1,,,727.2,m²,SNWBXT,Agius Property Group - NORWEST,,,14 Mar 2023,house,,727.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-141273968,Lethbridge Park,NSW,2770,9 Tasman Avenue,"9 Tasman Avenue, Lethbridge Park, NSW 2770",642500,"$642,500",house,3,2,4,,,-1.0,,MULQUJ,Ray White Diamantidis Group,,,10 Mar 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-141341868,Lethbridge Park,NSW,2770,45 Tasman Avenue,"45 Tasman Avenue, Lethbridge Park, NSW 2770",570000,"$570,000",house,3,1,0,,,575.4,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,25 Feb 2023,house,,575.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-140982496,Lethbridge Park,NSW,2770,37 Pitcairn Ave,"37 Pitcairn Ave, Lethbridge Park, NSW 2770",595000,"$595,000",house,3,1,3,,,569.0,m²,ZRYNFD,OKARO - Rooty Hill,,,03 Feb 2023,house,,569.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-140161039,Lethbridge Park,NSW,2770,10 Awatea Place,"10 Awatea Place, Lethbridge Park, NSW 2770",590000,"$590,000",house,3,1,1,,,557.0,m²,OFLLTA,Harcourts Your Place - Plumpton  / St Marys,,,17 Jan 2023,house,,557.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-139660627,Lethbridge Park,NSW,2770,53 Lingayen Avenue,"53 Lingayen Avenue, Lethbridge Park, NSW 2770",580000,"$580,000",house,3,1,1,,,588.0,m²,XPNSTM,Professionals - St Marys & Erskine Park,,,10 Jan 2023,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-140929596,Lethbridge Park,NSW,2770,1 Manila Road,"1 Manila Road, Lethbridge Park, NSW 2770",622000,"$622,000",house,3,1,2,,,607.0,m²,XRHSTM,Raine & Horne - St Marys,,,07 Dec 2022,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-139951647,Lethbridge Park,NSW,2770,7 Palau Crescent,"7 Palau Crescent, Lethbridge Park, NSW 2770",615000,"$615,000",house,3,1,1,,,565.0,m²,XCEMOU,Stockton Grange - Mount Druitt,,,22 Nov 2022,house,,565.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-140653115,Lethbridge Park,NSW,2770,89 Bougainville Road,"89 Bougainville Road, Lethbridge Park, NSW 2770",712000,"$712,000",house,3,1,2,,,600.0,m²,XLSMOU,Laing+Simmons - ROOTY HILL | MOUNT DRUITT,,,07 Nov 2022,house,,600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-140295819,Lethbridge Park,NSW,2770,29 Waitaki Street,"29 Waitaki Street, Lethbridge Park, NSW 2770",515000,"$515,000",house,3,1,1,100,m²,581.7,m²,XPNSTM,Professionals - St Marys & Erskine Park,,,08 Oct 2022,house,100,581.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-139965995,Lethbridge Park,NSW,2770,38 Noumea Street,"38 Noumea Street, Lethbridge Park, NSW 2770",635000,"$635,000",house,3,1,2,87,m²,676.0,m²,OUIQFP,Laing+Simmons - The Abassi Group,,,09 Sep 2022,house,87,676.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lethbridge+park-139872923,Lethbridge Park,NSW,2770,29 Bougainville Road,"29 Bougainville Road, Lethbridge Park, NSW 2770",606000,"$606,000",house,3,1,2,,,613.0,m²,XLSMOU,Laing+Simmons - ROOTY HILL | MOUNT DRUITT,,,26 Aug 2022,house,,613.0
