badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-leumeah-112818251,Leumeah,NSW,2560,,,,Contact agent,residential-other,0,2,0,,,-1.0,,ACFPRE,Wiseberry - Prestons,,,27 May 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leumeah-137495174,Leumeah,NSW,2560,27A/541 Pembroke Road,"27A/541 Pembroke Road, Leumeah, NSW 2560",330000,"$330,000",house,1,1,0,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,21 Jan 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leumeah-123450478,Leumeah,NSW,2560,7A/541 Pembroke Road,"7A/541 Pembroke Road, Leumeah, NSW 2560",325000,"$325,000",house,1,1,0,,,-1.0,,VLAABN,Limestar Real Estate - Campbelltown,,,14 Oct 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leumeah-120214389,Leumeah,NSW,2560,27a/541 Pembroke Road,"27a/541 Pembroke Road, Leumeah, NSW 2560",305000,"$305,000",house,1,1,0,,,-1.0,,XRWCAM,Ray White - Macarthur Group,,,07 Aug 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leumeah-117000919,Leumeah,NSW,2560,8D/541 Pembroke Rd,"8D/541 Pembroke Rd, Leumeah, NSW 2560",269950,"$269,950",house,1,1,1,,,-1.0,,STACAM,Prudential Real Estate - Campbelltown,,,17 Jun 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leumeah-110605129,Leumeah,NSW,2560,,,650000,"$650,000",house,1,1,0,,,-1.0,,XIYWHQ,Stone Real Estate Macarthur,,,09 Aug 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-leumeah-116972627,Leumeah,NSW,2560,,,,Contact agent,residential-other,1,1,0,,,90.0,m²,OONJNJ,Richardson & Wrench - Fairfield,,,18 Mar 2016,house,,90.0
Sold,https://www.realestate.com.au/sold/property-warehouse-nsw-leumeah-116059195,Leumeah,NSW,2560,,,,Contact agent,warehouse,1,1,0,,,90.0,m²,OONJNJ,Richardson & Wrench - Fairfield,,,14 May 2014,house,,90.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leumeah-112205647,Leumeah,NSW,2560,,,,Contact agent,house,1,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,04 Dec 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-leumeah-106085449,Leumeah,NSW,2560,,,,Contact agent,house,1,1,0,,,-1.0,,STACAM,Prudential Real Estate - Campbelltown,,,12 Apr 2010,house,,-1.0
