badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-lewisham-104164271,Lewisham,NSW,2049,37A Wardell road,"37A Wardell road, Lewisham, NSW 2049",915000,"Range: $785,000 - $915,000",residential-other,0,1,1,,,121.0,m²,SSKKAF,Iskandar Real Estate,,,31 Jul 2015,house,,121.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lewisham-121162390,Lewisham,NSW,2049,13 Jubilee Street,"13 Jubilee Street, Lewisham, NSW 2049",950000,"$950,000",house,1,1,0,,,167.0,m²,SSKKAF,Iskandar Real Estate,,,13 Nov 2015,house,,167.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lewisham-118998395,Lewisham,NSW,2049,27 Barker Street,"27 Barker Street, Lewisham, NSW 2049",780000,"$780,000",house,1,1,0,75,m²,145.0,m²,XFNSUM,Harris Tripp - Summer Hill,,,26 Feb 2015,house,75,145.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lewisham-105616640,Lewisham,NSW,2049,37a Wardell Road,"37a Wardell Road, Lewisham, NSW 2049",230000,"$230,000",house,1,1,0,,,121.0,m²,,,,,03 Aug 2009,house,,121.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lewisham-107145987,Lewisham,NSW,2049,10/8-12 Hunter Street,"10/8-12 Hunter Street, Lewisham, NSW 2049",355000,"$355,000",house,1,1,1,51,m²,-1.0,,XFNSUM,Harris Tripp - Summer Hill,,,18 Feb 2011,house,51,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lewisham-141368324,Lewisham,NSW,2049,49 Morton Avenue,"49 Morton Avenue, Lewisham, NSW 2049",1725000,"$1,725,000",house,2,1,2,,,208.7,m²,CCYSQI,BresicWhitney -  Inner West,,,25 Feb 2023,house,,208.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-lewisham-137871594,Lewisham,NSW,2049,14 St John Street,"14 St John Street, Lewisham, NSW 2049",1550000,"$1,550,000",house,2,1,0,,,158.0,m²,LCZVJE,Adrian William,,,11 Dec 2021,house,,158.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lewisham-137697362,Lewisham,NSW,2049,22 St John Street,"22 St John Street, Lewisham, NSW 2049",1550000,"$1,550,000",house,2,1,1,,,145.0,m²,XLJLEI,MONTANO GROUP - LEICHHARDT,,,12 Nov 2021,house,,145.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lewisham-137642238,Lewisham,NSW,2049,43 The Boulevarde,"43 The Boulevarde, Lewisham, NSW 2049",2000000,"$2,000,000",house,2,1,0,,,234.0,m²,WHMUKE,BresicWhitney - Balmain,,,05 Nov 2021,house,,234.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lewisham-137122746,Lewisham,NSW,2049,53 Old Canterbury Road,"53 Old Canterbury Road, Lewisham, NSW 2049",1150000,"$1,150,000",house,2,2,0,90,m²,227.0,m²,XKHPAR,Khoury & Partners - Parramatta,,,25 Sep 2021,house,90,227.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lewisham-133055454,Lewisham,NSW,2049,68 Old Canterbury Road,"68 Old Canterbury Road, Lewisham, NSW 2049",1060000,"$1,060,000",house,2,1,0,,,158.1,m²,ABCBAP,Ray White - Bankstown,,,04 Jun 2020,house,,158.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-lewisham-133483802,Lewisham,NSW,2049,22 St John Street,"22 St John Street, Lewisham, NSW 2049",1060000,"$1,060,000",house,2,1,1,,,141.0,m²,CCYSQI,BresicWhitney -  Inner West,,,20 May 2020,house,,141.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lewisham-133183598,Lewisham,NSW,2049,43 The Boulevarde,"43 The Boulevarde, Lewisham, NSW 2049",1275000,"$1,275,000",house,2,1,0,,,-1.0,,XFNSUR,Spencer & Servi -             ,,,27 Mar 2020,house,,-1.0
