badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-lidcombe-141569760,Lidcombe,NSW,2141,4 Baret Street,"4 Baret Street, Lidcombe, NSW 2141",640000,"$640,000",house,1,1,2,,,-1.0,,JYDGKA,One Realty - Lidcombe,,,03 Sep 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-lidcombe-135861890,Lidcombe,NSW,2141,46 Pepper Tree Road,"46 Pepper Tree Road, Lidcombe, NSW 2141",640000,"$640,000",duplex-semi-detached,1,1,2,,,-1.0,,JYDGKA,One Realty - Lidcombe,,,12 Apr 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lidcombe-134955034,Lidcombe,NSW,2141,61A Vaughan Street,"61A Vaughan Street, Lidcombe, NSW 2141",182000,"$182,000",house,1,1,0,,,158.0,m²,QCXQEH,Starr Partners - Auburn,,,24 Mar 2021,house,,158.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lidcombe-133012690,Lidcombe,NSW,2141,9 Main Avenue,"9 Main Avenue, Lidcombe, NSW 2141",622000,"$622,000",house,1,1,1,,,-1.0,,JXPQAN,Ben Giang Real Estate,,,22 Apr 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lidcombe-132484778,Lidcombe,NSW,2141,Lots 22 &3 Eric Crescent,"Lots 22 &3 Eric Crescent, Lidcombe, NSW 2141",1025000,"$1,025,000",house,1,1,0,,,480.0,m²,QCXQEH,Starr Partners - Auburn,,,14 Dec 2019,house,,480.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-lidcombe-128516158,Lidcombe,NSW,2141,4 Grevillea Crescent,"4 Grevillea Crescent, Lidcombe, NSW 2141",560000,"$560,000",duplex-semi-detached,1,1,2,,,-1.0,,JYDGKA,One Realty - Lidcombe,,,02 Jul 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-lidcombe-125043694,Lidcombe,NSW,2141,4 Baret Street,"4 Baret Street, Lidcombe, NSW 2141",585000,"$585,000",duplex-semi-detached,1,1,1,"1,356.38",m²,-1.0,,DVYUST,Lytin Real Estate - Campsie,,,12 Apr 2017,house,"1,356.38",-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lidcombe-123430970,Lidcombe,NSW,2141,19 Brooks Circuit,"19 Brooks Circuit, Lidcombe, NSW 2141",685000,"$685,000",house,1,1,1,,,-1.0,,GIZCCB,Frasers Property Australia,,,30 Sep 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lidcombe-118167299,Lidcombe,NSW,2141,4 Dalley Street,"4 Dalley Street, Lidcombe, NSW 2141",828000,"$828,000",house,1,1,2,,,-1.0,,XLJCON,Horwood Nolan,,,10 Nov 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lidcombe-109800371,Lidcombe,NSW,2141,15  Ironbark Crescent,"15  Ironbark Crescent, Lidcombe, NSW 2141",395000,"$395,000",house,1,1,1,,,-1.0,,RTWXBI,Homelink Realty - Lidcombe,,,02 Apr 2012,house,,-1.0
