badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-lilli+pilli-105196138,Lilli Pilli,NSW,2229,9 Swan St,"9 Swan St, Lilli Pilli, NSW 2229",910000,"$910,000",house,1,1,1,,,-1.0,,NONCAR,Ressler Property - Caringbah,,,29 Aug 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lilli+pilli-120696929,Lilli Pilli,NSW,2229,30 North East Crescent,"30 North East Crescent, Lilli Pilli, NSW 2229",1810000,"$1,810,000",house,2,2,2,,,1005.0,m²,WUGANK,McDonald Partners,,,06 Oct 2015,house,,1005.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lilli+pilli-115323499,Lilli Pilli,NSW,2229,5A Turriell Bay Road,"5A Turriell Bay Road, Lilli Pilli, NSW 2229",580000,"$580,000",house,2,1,0,,,-1.0,,NEKPNG,Signature Property Agents - Lilli Pilli,,,29 Nov 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lilli+pilli-112944339,Lilli Pilli,NSW,2229,4 Gow Avenue,"4 Gow Avenue, Lilli Pilli, NSW 2229",970000,"$970,000",house,2,1,1,,,632.0,m²,XNFSYL,McGrath Sutherland Shire - Sylvania,,,02 Mar 2013,house,,632.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lilli+pilli-132950950,Lilli Pilli,NSW,2229,5B Turriell Bay Road,"5B Turriell Bay Road, Lilli Pilli, NSW 2229",822000,"$822,000",house,2,1,1,,,381.0,m²,NEKPNG,Signature Property Agents - Lilli Pilli,,,10 Mar 2020,house,,381.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lilli+pilli-110066409,Lilli Pilli,NSW,2229,24 Little Turriel Bay Road,"24 Little Turriel Bay Road, Lilli Pilli, NSW 2229",,Contact agent,house,2,1,1,,,-1.0,,,,,,15 Apr 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lilli+pilli-112656179,Lilli Pilli,NSW,2229,14 Immarna Avenue,"14 Immarna Avenue, Lilli Pilli, NSW 2229",,Contact agent,house,2,1,0,,,-1.0,,,,,,31 Jan 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lilli+pilli-106900990,Lilli Pilli,NSW,2229,17 Mookara Place,"17 Mookara Place, Lilli Pilli, NSW 2229",,Contact agent,house,2,1,2,,,-1.0,,NONCAR,Ressler Property - Caringbah,,,23 Dec 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lilli+pilli-106294642,Lilli Pilli,NSW,2229,10 Little Turriell Bay Road,"10 Little Turriell Bay Road, Lilli Pilli, NSW 2229",825011,"$825,011",house,2,1,1,,,581.0,m²,XFNCAV,Peter James Realty - Caringbah,,,10 Feb 2010,house,,581.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lilli+pilli-107414946,Lilli Pilli,NSW,2229,13 Turriell Point Rd,"13 Turriell Point Rd, Lilli Pilli, NSW 2229",,Contact agent,house,2,1,1,,,-1.0,,,,,,23 May 2005,house,,-1.0
