badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-linden-105988762,Linden,NSW,2773,3/30 Leslie Road,"3/30 Leslie Road, Linden, NSW 2773",235000,"Range: $195,000 - $235,000",house,1,1,0,,,-1.0,,CMKGLE,Chapman Real Estate - Glenbrook,,,14 Apr 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-linden-127838038,Linden,NSW,2778,48 Glossop Road,"48 Glossop Road, Linden, NSW 2778",550000,"$550,000",house,2,1,2,,,1208.0,m²,NRYFYX,Purcell Property -  Blue Mountains,,,30 Mar 2018,house,,1208.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-linden-111659247,Linden,NSW,2778,48 Glossop Road,"48 Glossop Road, Linden, NSW 2778",285550,"$285,550",house,2,1,0,,,1124.0,m²,XFNSPA,Lister Estate Agents - Springwood,,,07 Nov 2012,house,,1124.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-linden-137684618,Linden,NSW,2778,15 Glossop Road,"15 Glossop Road, Linden, NSW 2778",800000,"$800,000",house,3,1,1,,,835.0,m²,AJQDMV,Century 21 Combined - Springwood,,,16 Mar 2022,house,,835.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-linden-137652410,Linden,NSW,2778,31 Chapman Avenue,"31 Chapman Avenue, Linden, NSW 2778",832205,"$832,205",house,3,1,1,,,1157.0,m²,PVPWXS,Chapman Real Estate - Springwood,,,26 Oct 2021,house,,1157.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-linden-135048526,Linden,NSW,2778,764 Great Western Highway,"764 Great Western Highway, Linden, NSW 2778",555000,"$555,000",house,3,2,2,,,1530.0,m²,AJQDMV,Century 21 Combined - Springwood,,,12 Jan 2021,house,,1530.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-linden-134589450,Linden,NSW,2778,96 Glossop Road,"96 Glossop Road, Linden, NSW 2778",690000,"$690,000",house,3,2,2,,,670.0,m²,JIASPR,One Agency Springwood Ritchie Property Group,,,18 Dec 2020,house,,670.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-linden-129861482,Linden,NSW,2778,28 Martin Place,"28 Martin Place, Linden, NSW 2778",615000,"$615,000",house,3,3,2,,,-1.0,,XFNSPA,Lister Estate Agents - Springwood,,,18 Mar 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-linden-129511678,Linden,NSW,2778,,,545000,"$545,000",house,3,1,2,,,1530.0,m²,AJQDMV,Century 21 Combined - Springwood,,,10 Jan 2019,house,,1530.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-linden-126887486,Linden,NSW,2778,3 Dryandra Place,"3 Dryandra Place, Linden, NSW 2778",620000,"$620,000",house,3,1,2,,,713.0,m²,XFNSPA,Lister Estate Agents - Springwood,,,14 Feb 2018,house,,713.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-linden-126846198,Linden,NSW,2778,23 Chapman Avenue,"23 Chapman Avenue, Linden, NSW 2778",610000,"$610,000",house,3,1,2,,,-1.0,,NRYFYX,Purcell Property -  Blue Mountains,,,15 Dec 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-linden-125649866,Linden,NSW,2778,5 Caley Lane,"5 Caley Lane, Linden, NSW 2778",645324,"$645,324",house,3,2,0,,,-1.0,,,,,,13 Jul 2017,house,,-1.0
