badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-lindfield-106676632,Lindfield,NSW,2070,47a highfield lane,"47a highfield lane, Lindfield, NSW 2070",900000,"$900,000",house,0,1,0,,,900.0,m²,MCFWAR,McConnell Bourn - North Shore,,,17 May 2011,house,,900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lindfield-122754834,Lindfield,NSW,2070,55a Lindfield Avenue,"55a Lindfield Avenue, Lindfield, NSW 2070",1500000,"$1,500,000",house,1,1,0,,,495.0,m²,XFNRTF,Forsyth - Willoughby,,,16 Nov 2016,house,,495.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lindfield-118200467,Lindfield,NSW,2070,114a Provincial Road,"114a Provincial Road, Lindfield, NSW 2070",1000000,"$1,000,000",house,1,1,1,,,-1.0,,XCEGOA,Savills - SYDNEY,,,03 Dec 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lindfield-109762086,Lindfield,NSW,2070,6 Ignatius Road,"6 Ignatius Road, Lindfield, NSW 2070",935000,"$935,000",house,1,1,0,,,-1.0,,XMHGOR,McGrath - Lindfield,,,15 Sep 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lindfield-118238279,Lindfield,NSW,2070,49 Bent Street,"49 Bent Street, Lindfield, NSW 2070",,Contact agent,house,1,1,0,,,-1.0,,RMHWVR,Golden Peak Property - Chatswood,,,17 Oct 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lindfield-107514413,Lindfield,NSW,2070,45 Provincial Road,"45 Provincial Road, Lindfield, NSW 2070",1250000,"$1,250,000",house,1,1,1,,,-1.0,,MCFWAR,McConnell Bourn - North Shore,,,06 Aug 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lindfield-139929311,Lindfield,NSW,2070,51A Tryon Road,"51A Tryon Road, Lindfield, NSW 2070",2000000,"$2,000,000",house,2,1,2,,,300.4,m²,XRWTUR,Ray White Upper North Shore -   ,,,21 Aug 2022,house,,300.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-lindfield-132464242,Lindfield,NSW,2070,60 Grosvenor Road,"60 Grosvenor Road, Lindfield, NSW 2070",2050000,"$2,050,000",house,2,1,1,,,-1.0,,ROCOOX,Century 21 - Killara,,,07 Dec 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lindfield-128805462,Lindfield,NSW,2070,49 Eton Road,"49 Eton Road, Lindfield, NSW 2070",1825000,"$1,825,000",house,2,1,1,,,904.2,m²,XMHGOR,McGrath - Lindfield,,,31 Aug 2018,house,,904.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-lindfield-128419666,Lindfield,NSW,2070,53 Highfield Road,"53 Highfield Road, Lindfield, NSW 2070",1900000,"$1,900,000",house,2,1,2,,,-1.0,,MCFWAR,McConnell Bourn - North Shore,,,24 Jul 2018,house,,-1.0
