badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-liverpool-134825902,Liverpool,NSW,2170,49 Anastasio Road,"49 Anastasio Road, Liverpool, NSW 2170",860000,"$860,000",house,0,3,2,,,452.0,m²,HEBCYS,MACQUARIE REAL ESTATE RENTALS - CASULA,,,05 Dec 2020,house,,452.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-liverpool-115732427,Liverpool,NSW,2170,,,374000,"$374,000",house,0,1,1,,,-1.0,,DKZOBG,First National - Liverpool,,,06 Jun 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-liverpool-141388652,Liverpool,NSW,2170,13/9 Short Street,"13/9 Short Street, Liverpool, NSW 2170",270000,"$270,000",house,1,1,1,,,-1.0,,YHOLQM,Ray White Carnes Hill - HOXTON PARK,,,17 Feb 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-liverpool-140504359,Liverpool,NSW,2170,3/31-33 Nagle Street,"3/31-33 Nagle Street, Liverpool, NSW 2170",250000,"$250,000",house,1,1,1,,,-1.0,,WPATIQ,Ray White - Liverpool,,,25 Nov 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-liverpool-134638794,Liverpool,NSW,2170,4/13 Carboni Street,"4/13 Carboni Street, Liverpool, NSW 2170",265000,"$265,000",house,1,1,1,,,67.0,m²,XRHLIV,Raine & Horne - Liverpool,,,30 Oct 2020,house,,67.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-liverpool-117060467,Liverpool,NSW,2170,103/3 Riverpark Drive,"103/3 Riverpark Drive, Liverpool, NSW 2170",440000,"$440,000",residential-other,1,1,3,78,m²,-1.0,,CWITCZ,VJ Ray Auburn Enterprises - Auburn,,,07 Apr 2015,house,78,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-liverpool-118087163,Liverpool,NSW,2170,16/39 Bathurst Street,"16/39 Bathurst Street, Liverpool, NSW 2170",305000,"$305,000",house,1,1,1,,,-1.0,,XRHLIV,Raine & Horne - Liverpool,,,27 Oct 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-liverpool-122574666,Liverpool,NSW,2170,48 Copeland Street,"48 Copeland Street, Liverpool, NSW 2170",1491552,"$1,491,552",house,1,1,0,,,-1.0,,XCELIV,Century 21 Combined - Liverpool,,,03 Jun 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-liverpool-118951479,Liverpool,NSW,2170,11 Northumberland Street,"11 Northumberland Street, Liverpool, NSW 2170",1600000,"$1,600,000",house,1,1,0,,,683.0,m²,XCELIV,Century 21 Combined - Liverpool,,,13 Feb 2015,house,,683.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-liverpool-118446531,Liverpool,NSW,2170,9-11 Bathurst St,"9-11 Bathurst St, Liverpool, NSW 2170",,Contact agent,house,1,1,1,,,-1.0,,COILIV,Community First Real Estate - Liverpool,,,29 Nov 2014,house,,-1.0
