badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-llandilo-134299326,Llandilo,NSW,2747,310A Eighth Avenue,"310A Eighth Avenue, Llandilo, NSW 2747",1100000,"$1,100,000",acreage,1,1,0,,,-1.0,,XCELIV,Century 21 Combined - Liverpool,,,11 Nov 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-llandilo-106057033,Llandilo,NSW,2747,,,700000,"Range: $600,000 - $700,000",residential-other,1,1,0,,,-1.0,,,,,,14 May 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-llandilo-139592939,Llandilo,NSW,2747,208 Sixth Avenue,"208 Sixth Avenue, Llandilo, NSW 2747",1500000,"$1,500,000",acreage,2,1,9,,,2.02,ha,XRWPEN,Ray White - Nepean Group,,,02 Dec 2022,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-llandilo-137418074,Llandilo,NSW,2747,54 Fourth Avenue,"54 Fourth Avenue, Llandilo, NSW 2747",2725000,"$2,725,000",acreage,2,2,4,120,m²,2.2,ha,FOKPGL,Paul Pace Country - Double Bay,,,15 Feb 2022,house,120,22000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-llandilo-134219298,Llandilo,NSW,2747,22 Galvin Road,"22 Galvin Road, Llandilo, NSW 2747",1612500,"$1,612,500",house,2,2,8,,,-1.0,,XRWPEN,Ray White - Nepean Group,,,10 Sep 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-llandilo-130327430,Llandilo,NSW,2747,740-750 The Northern Road,"740-750 The Northern Road, Llandilo, NSW 2747",1650000,"$1,650,000",acreage,2,1,0,,,2.02,ha,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,05 Nov 2019,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-llandilo-126165702,Llandilo,NSW,2747,44 - 48 Galvin Road,"44 - 48 Galvin Road, Llandilo, NSW 2747",1225000,"$1,225,000",house,2,1,0,,,2.02,ha,RHVPEN,Raine & Horne - Penrith & Mid Mountains,,,16 Sep 2017,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-llandilo-123055370,Llandilo,NSW,2747,9  Seventh Avenue,"9  Seventh Avenue, Llandilo, NSW 2747",1450000,"$1,450,000",acreage,2,1,6,120,m²,1.07,ha,,,,,04 Sep 2017,house,120,10700.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-llandilo-139530127,Llandilo,NSW,2747,267 Seventh Avenue,"267 Seventh Avenue, Llandilo, NSW 2747",1610000,"$1,610,000",acreage,3,1,0,,,2.02,ha,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,30 Sep 2022,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-llandilo-138903715,Llandilo,NSW,2747,217 Seventh Avenue,"217 Seventh Avenue, Llandilo, NSW 2747",3200000,"$3,200,000",acreage,3,2,2,,,1.98,ha,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,02 Apr 2022,house,,19800.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-llandilo-138610187,Llandilo,NSW,2747,271 Eighth Avenue,"271 Eighth Avenue, Llandilo, NSW 2747",2070000,"$2,070,000",acreage,3,1,2,,,2.02,ha,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,26 Mar 2022,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-llandilo-137915990,Llandilo,NSW,2747,26a Fourth Avenue,"26a Fourth Avenue, Llandilo, NSW 2747",2700000,"$2,700,000",acreage,3,2,3,,,2.02,ha,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,04 Feb 2022,house,,20200.0
