badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-loftus-130315442,Loftus,NSW,2232,1 Seventh Avenue,"1 Seventh Avenue, Loftus, NSW 2232",605000,"$605,000",house,0,1,0,,,461.5,m²,EMRLGJ,Hill & Viteri Property - Sutherland,,,02 Jul 2019,house,,461.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-loftus-141026852,Loftus,NSW,2232,47 Eighth Avenue,"47 Eighth Avenue, Loftus, NSW 2232",1200000,"$1,200,000",house,2,1,1,,,739.0,m²,FTJZUL,One Agency Engadine - ENGADINE,,,19 Dec 2022,house,,739.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-loftus-129363166,Loftus,NSW,2232,139 Loftus Avenue,"139 Loftus Avenue, Loftus, NSW 2232",2200000,"$2,200,000",house,2,1,2,,,948.4,m²,EMRLGJ,Hill & Viteri Property - Sutherland,,,22 Apr 2022,house,,948.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-loftus-133434826,Loftus,NSW,2232,61 National Avenue,"61 National Avenue, Loftus, NSW 2232",968000,"$968,000",house,2,1,2,,,-1.0,,XFNJAN,Sanders Property Agents -   ,,,30 Apr 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-loftus-128470558,Loftus,NSW,2232,8 Spur Crescent,"8 Spur Crescent, Loftus, NSW 2232",860000,"$860,000",house,2,1,1,,,-1.0,,ABRCAR,Abode Property Agents,,,15 Jun 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-loftus-127595882,Loftus,NSW,2232,10 Kurri Street,"10 Kurri Street, Loftus, NSW 2232",915000,"$915,000",house,2,1,1,,,-1.0,,XFNJAN,Sanders Property Agents -   ,,,08 Mar 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-loftus-126697510,Loftus,NSW,2232,163 National Avenue,"163 National Avenue, Loftus, NSW 2232",769000,"$769,000",house,2,1,2,,,459.0,m²,EMRLGJ,Hill & Viteri Property - Sutherland,,,12 Dec 2017,house,,459.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-loftus-125482130,Loftus,NSW,2232,17 National Avenue,"17 National Avenue, Loftus, NSW 2232",1000000,"$1,000,000",house,2,1,2,,,625.9,m²,TQDTIH,Pulse Property Agents - Sutherland Shire,,,10 Jun 2017,house,,625.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-loftus-123949542,Loftus,NSW,2232,231 Loftus Avenue,"231 Loftus Avenue, Loftus, NSW 2232",885000,"$885,000",house,2,1,4,,,638.0,m²,ADMCTC,"CASACELI PARTNERS - Cronulla, Bermagui & Sydney Metro",,,24 Dec 2016,house,,638.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-loftus-122196354,Loftus,NSW,2232,8 Spur Crescent,"8 Spur Crescent, Loftus, NSW 2232",780000,"$780,000",house,2,1,0,,,625.0,m²,RIJMIR,Shire Living Property - Kirrawee,,,11 Apr 2016,house,,625.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-loftus-121456818,Loftus,NSW,2232,73 Eighth Avenue,"73 Eighth Avenue, Loftus, NSW 2232",745000,"$745,000",house,2,1,2,,,600.7,m²,XFNJAN,Sanders Property Agents -   ,,,12 Dec 2015,house,,600.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-loftus-140815467,Loftus,NSW,2232,176 National Avenue,"176 National Avenue, Loftus, NSW 2232",995000,"$995,000",house,2,1,2,,,-1.0,,LUKWMW,LJ Hooker - Brighton Le Sands/ Sans Souci,,,30 Nov 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-loftus-139482167,Loftus,NSW,2232,18 National Avenue,"18 National Avenue, Loftus, NSW 2232",1800000,"$1,800,000",house,2,1,1,,,1284.0,m²,OJGOAM,Ray White Sutherland Shire,,,25 May 2022,house,,1284.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-loftus-138370955,Loftus,NSW,2232,61 National Avenue,"61 National Avenue, Loftus, NSW 2232",1620000,"$1,620,000",house,2,1,1,,,752.2,m²,KFNJLO,Stone - Engadine,,,25 Jan 2022,house,,752.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-loftus-123830978,Loftus,NSW,2232,2 Columbine Close,"2 Columbine Close, Loftus, NSW 2232",860000,"$860,000",house,2,1,4,,,607.0,m²,UWIGMI,Highland - Sutherland,,,08 Oct 2016,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-loftus-121414666,Loftus,NSW,2232,10 Kurri Street,"10 Kurri Street, Loftus, NSW 2232",695000,"$695,000",house,2,1,2,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,10 Dec 2015,house,,-1.0
