badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-londonderry-110439885,Londonderry,NSW,2753,66  Whitegates rd,"66  Whitegates rd, Londonderry, NSW 2753",490000,"$490,000",acreage,0,1,0,,,2.02,ha,,,,,23 Jun 2012,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-londonderry-105094715,Londonderry,NSW,2753,61 Cherrybrook Ch,"61 Cherrybrook Ch, Londonderry, NSW 2753",550000,"$550,000",house,0,1,0,,,2.0,ha,YBWTAZ,Riverbank Real Estate - MERRYLANDS | PEMULWUY,,,02 Apr 2009,house,,20000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-londonderry-134031790,Londonderry,NSW,2753,76-82 Reynolds Rd,"76-82 Reynolds Rd, Londonderry, NSW 2753",952000,"$952,000",house,1,1,4,,,1.62,ha,XRWXMT,First National Connect,,,15 Aug 2020,house,,16200.000000000002
Sold,https://www.realestate.com.au/sold/property-house-nsw-londonderry-117504107,Londonderry,NSW,2753,56-60 Cherrybrook Chase,"56-60 Cherrybrook Chase, Londonderry, NSW 2753",1260000,"$1,260,000",house,1,1,0,,,1.21,ha,XRWXMT,First National Connect,,,26 Nov 2016,house,,12100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-londonderry-119668067,Londonderry,NSW,2753,,,625000,"$625,000",house,1,1,1,,,9712.0,m²,XRWXMT,First National Connect,,,23 May 2015,house,,9712.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-londonderry-105255194,Londonderry,NSW,2753,7/745 The Northern Road,"7/745 The Northern Road, Londonderry, NSW 2753",425000,"$425,000",house,1,1,0,,,-1.0,,RZCPEN,Response Real Estate - Penrith ,,,10 Mar 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-londonderry-106094842,Londonderry,NSW,2753,19 Cherrybrook Chase,"19 Cherrybrook Chase, Londonderry, NSW 2753",625000,"Range: $535,000 - $625,000",house,1,1,0,,,1.64,ha,ANDBLA,Andrew Merton Real Estate - Quakers Hill,,,10 Jan 2010,house,,16400.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-londonderry-105325975,Londonderry,NSW,2753,30 Macpherson Rd,"30 Macpherson Rd, Londonderry, NSW 2753",,Contact agent,house,1,1,0,,,-1.0,,IORCQP,Dunne Realty - Richmond,,,29 Nov 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-londonderry-137941058,Londonderry,NSW,2753,10 Hughes Street,"10 Hughes Street, Londonderry, NSW 2753",745000,"$745,000",house,2,1,4,,,563.0,m²,HCRRIC,Ray White - Richmond,,,20 Jan 2022,house,,563.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-londonderry-129164742,Londonderry,NSW,2753,305 The Northern Road,"305 The Northern Road, Londonderry, NSW 2753",2600000,"$2,600,000",house,2,1,2,,,4.19,ha,RHVPEN,Raine & Horne - Penrith & Mid Mountains,,,05 Sep 2018,house,,41900.00000000001
