badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-lugarno-121317414,Lugarno,NSW,2210,9 Booyong Avenue,"9 Booyong Avenue, Lugarno, NSW 2210",,Contact agent,house,0,4,4,,,-1.0,,GAZMOR,Gavan Property - SOUTH HURSTVILLE,,,04 Jan 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lugarno-107707226,Lugarno,NSW,2210,9 Booyong Avenue,"9 Booyong Avenue, Lugarno, NSW 2210",632500,"$632,500",house,1,1,0,,,-1.0,,HEETEE,Belle Property - St George,,,24 Sep 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lugarno-106140342,Lugarno,NSW,2210,3 Tea Tree Place,"3 Tea Tree Place, Lugarno, NSW 2210",535000,"$535,000",house,1,1,0,,,700.0,m²,HEETEE,Belle Property - St George,,,08 Jan 2010,house,,700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lugarno-105990031,Lugarno,NSW,2210,106 Lugarno Parade,"106 Lugarno Parade, Lugarno, NSW 2210",880000,"$880,000",house,1,1,0,,,-1.0,,XRWOAT,Ray White Georges River - St George,,,29 Sep 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-lugarno-105966336,Lugarno,NSW,2210,"Lot 1, 102 Moons Avenue","Lot 1, 102 Moons Avenue, Lugarno, NSW 2210",700000,"$700,000",residential-other,1,1,0,,,826.0,m²,XMHCRO,McGrath Sutherland Shire - Cronulla,,,29 Sep 2009,house,,826.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lugarno-118139803,Lugarno,NSW,2210,136 moons Avenue,"136 moons Avenue, Lugarno, NSW 2210",,Contact agent,house,1,1,2,,,1079.0,m²,,,,,15 Nov 2014,house,,1079.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lugarno-114753987,Lugarno,NSW,2210,954 Forest Road,"954 Forest Road, Lugarno, NSW 2210",1280000,"$1,280,000",house,1,1,0,,,-1.0,,XRWXCP,Ray White - Hurstville,,,18 Oct 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lugarno-137020674,Lugarno,NSW,2210,1180 Forest Road,"1180 Forest Road, Lugarno, NSW 2210",1416000,"$1,416,000",house,2,1,1,,,613.0,m²,ARKENS,McGrath - South Hurstville,,,04 Sep 2021,house,,613.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lugarno-135290250,Lugarno,NSW,2210,80 Valentia Avenue,"80 Valentia Avenue, Lugarno, NSW 2210",1030000,"$1,030,000",house,2,1,1,,,-1.0,,IQPBVO,Ausrealty -  South Hurstville,,,21 Jan 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lugarno-128420094,Lugarno,NSW,2210,13 Tallowwood Avenue,"13 Tallowwood Avenue, Lugarno, NSW 2210",1250000,"$1,250,000",house,2,1,2,,,645.0,m²,HEETEE,Belle Property - St George,,,02 Jun 2018,house,,645.0
