badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-104979116,Lurnea,NSW,2170,8 Webster Road,"8 Webster Road, Lurnea, NSW 2170",406000,"$406,000",house,0,3,0,,,-1.0,,KSVRHL,Armishaw & Santoro Realty - LIVERPOOL,,,08 Jul 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-139902527,Lurnea,NSW,2170,162 Hill Road,"162 Hill Road, Lurnea, NSW 2170",730000,"$730,000",house,1,1,2,,,715.0,m²,KXWXSM,Home Agency - CABRAMATTA,,,11 Jul 2022,house,,715.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-139696367,Lurnea,NSW,2170,11 Wheeler Avenue,"11 Wheeler Avenue, Lurnea, NSW 2170",695000,"$695,000",house,2,1,0,,,587.0,m²,WPATIQ,Ray White - Liverpool,,,01 Aug 2022,house,,587.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-139446851,Lurnea,NSW,2170,3/23-25 William Street,"3/23-25 William Street, Lurnea, NSW 2170",650000,"$650,000",house,2,1,1,,,-1.0,,YHOLQM,Ray White Carnes Hill - HOXTON PARK,,,09 Jun 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-139192059,Lurnea,NSW,2170,4/5 Thelma Street,"4/5 Thelma Street, Lurnea, NSW 2170",615000,"$615,000",house,2,1,2,,,-1.0,,UCNRKF,Propti Connect,,,13 May 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-135065162,Lurnea,NSW,2170,8/4  William Street,"8/4  William Street, Lurnea, NSW 2170",455000,"$455,000",house,2,1,1,,,-1.0,,ACFPRE,Wiseberry - Prestons,,,23 Dec 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-134467146,Lurnea,NSW,2170,58 Wonga Road,"58 Wonga Road, Lurnea, NSW 2170",665000,"$665,000",house,2,1,0,,,620.0,m²,SOCLIV,Starr Partners - Liverpool,,,15 Oct 2020,house,,620.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-129885786,Lurnea,NSW,2170,3 Lester Street,"3 Lester Street, Lurnea, NSW 2170",600000,"$600,000",house,2,1,1,,,657.6,m²,ZPCAAN,Inglis Property Macarthur - Camden,,,14 Jan 2019,house,,657.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-129616534,Lurnea,NSW,2170,13 Bligh Avenue,"13 Bligh Avenue, Lurnea, NSW 2170",758000,"$758,000",house,2,1,3,,,822.0,m²,XRXCAS,Professionals Paradise Realty Casula -   ,,,12 Nov 2018,house,,822.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-127304962,Lurnea,NSW,2170,14 Doran Avenue,"14 Doran Avenue, Lurnea, NSW 2170",766000,"$766,000",house,2,1,1,,,731.0,m²,OXYVDM,First National Real Estate Davidson - HAMMONDVILLE,,,03 Feb 2018,house,,731.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-126759314,Lurnea,NSW,2170,133 Reilly Street,"133 Reilly Street, Lurnea, NSW 2170",895000,"$895,000",house,2,1,2,,,784.1,m²,UDQEIW,Prestige Professionals - MOOREBANK,,,13 Nov 2017,house,,784.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-123253598,Lurnea,NSW,2170,8/27-29 Napier Avenue,"8/27-29 Napier Avenue, Lurnea, NSW 2170",470000,"$470,000",house,2,1,1,,,-1.0,,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,27 Aug 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-136249458,Lurnea,NSW,2170,41 Dunbier Ave,"41 Dunbier Ave, Lurnea, NSW 2170",855000,"$855,000",house,2,1,3,,,720.8,m²,XRHLIV,Raine & Horne - Liverpool,,,29 May 2021,house,,720.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-132163194,Lurnea,NSW,2170,30 Frazer Avenue,"30 Frazer Avenue, Lurnea, NSW 2170",595000,"$595,000",house,2,1,1,,,677.0,m²,MALCAS,Macquarie Real Estate - Casula,,,15 Dec 2019,house,,677.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-127868346,Lurnea,NSW,2170,28 West Street,"28 West Street, Lurnea, NSW 2170",660000,"$660,000",house,2,1,0,185,m²,613.0,m²,,,,,16 Apr 2018,house,185,613.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-126190074,Lurnea,NSW,2170,102 Wonga Road,"102 Wonga Road, Lurnea, NSW 2170",635000,"$635,000",house,2,1,1,,,552.0,m²,MALCAS,Macquarie Real Estate - Casula,,,11 Sep 2017,house,,552.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-125421886,Lurnea,NSW,2170,18 Brain Avenue,"18 Brain Avenue, Lurnea, NSW 2170",645000,"$645,000",house,2,1,0,,,600.7,m²,KUWQEI,Richardson & Wrench Hinchinbrook/Hoxton Park,,,29 May 2017,house,,600.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-123647646,Lurnea,NSW,2170,7 Wych Ave,"7 Wych Ave, Lurnea, NSW 2170",588000,"$588,000",house,2,1,0,,,-1.0,,SOCLIV,Starr Partners - Liverpool,,,22 Sep 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-123402538,Lurnea,NSW,2170,18  Bare avenue,"18  Bare avenue, Lurnea, NSW 2170",570000,"$570,000",house,2,1,2,,,601.0,m²,KEHZQD,Asset Property Agents - Liverpool,,,07 Sep 2016,house,,601.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-122046326,Lurnea,NSW,2170,42  Hill Rd,"42  Hill Rd, Lurnea, NSW 2170",570000,"$570,000",house,2,1,1,,,696.0,m²,ZTTXAM,Macarthur United Realty - Campbelltown,,,22 Apr 2016,house,,696.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-120301765,Lurnea,NSW,2170,4 West Street,"4 West Street, Lurnea, NSW 2170",625000,"$625,000",house,2,1,1,,,556.0,m²,MALCAS,Macquarie Real Estate - Casula,,,08 Sep 2015,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-118984907,Lurnea,NSW,2170,,,440000,"$440,000",house,2,1,1,,,-1.0,,PMCTLJ,Marando Real Estate South West - South West,,,14 Apr 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-110947375,Lurnea,NSW,2170,29 Sullivan Avenue,"29 Sullivan Avenue, Lurnea, NSW 2170",280000,"$280,000",house,2,1,1,,,-1.0,,COILIV,Community First Real Estate - Liverpool,,,27 Jul 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-110447897,Lurnea,NSW,2170,,,277500,"$277,500",house,2,2,1,"1,021.93",m²,-1.0,,XCELIV,Century 21 Combined - Liverpool,,,12 Jun 2012,house,"1,021.93",-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-107567224,Lurnea,NSW,2170,,,335000,"$335,000",house,2,1,0,,,-1.0,,,,,,19 Oct 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-137944186,Lurnea,NSW,2170,29 Dunbier Avenue,"29 Dunbier Avenue, Lurnea, NSW 2170",918000,"$918,000",house,2,1,3,,,696.0,m²,XCEFAI,Century 21 - Fairfield,,,18 Dec 2021,house,,696.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-127159234,Lurnea,NSW,2170,9 Catherine Ave,"9 Catherine Ave, Lurnea, NSW 2170",,Contact agent,house,2,1,2,,,562.0,m²,NVUZUR,Captain Cook Real Estate - LIVERPOOL,,,21 Feb 2018,house,,562.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-125746710,Lurnea,NSW,2170,2/15 William St,"2/15 William St, Lurnea, NSW 2170",480000,"$480,000",house,2,1,1,,,-1.0,,XNFLIV,PRD Real Estate - Liverpool,,,08 Jul 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-123393598,Lurnea,NSW,2170,19 Coolaroo Crescent,"19 Coolaroo Crescent, Lurnea, NSW 2170",610000,"$610,000",house,2,1,1,,,575.4,m²,STALIL,Prudential Real Estate - Liverpool,,,13 Sep 2016,house,,575.4
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-lurnea-119663519,Lurnea,NSW,2170,7/19 Shortland Avenue,"7/19 Shortland Avenue, Lurnea, NSW 2170",,Contact agent,duplex-semi-detached,2,1,1,,,-1.0,,ACFPRE,Wiseberry - Prestons,,,20 May 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-lurnea-118407263,Lurnea,NSW,2170,2/32 William St,"2/32 William St, Lurnea, NSW 2170",430000,"$430,000",house,2,1,1,,,-1.0,,STALIL,Prudential Real Estate - Liverpool,,,28 Nov 2014,house,,-1.0
