badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-macquarie+links-109428026,Macquarie Links,NSW,2565,,,370000,"$370,000",house,1,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,08 May 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-macquarie+links-111535091,Macquarie Links,NSW,2565,13 Jarvisfield Place,"13 Jarvisfield Place, Macquarie Links, NSW 2565",365000,"$365,000",house,1,1,0,,,-1.0,,AYSHJN,First National Real Estate Collective - Narellan,,,24 Mar 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-macquarie+links-112528239,Macquarie Links,NSW,2565,98 Governors Way,"98 Governors Way, Macquarie Links, NSW 2565",530000,"$530,000",house,2,2,2,,,-1.0,,XCENAR,Gilbert and Younan - CAMDEN,,,09 May 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-macquarie+links-140946796,Macquarie Links,NSW,2565,29 Highland Close,"29 Highland Close, Macquarie Links, NSW 2565",770000,"$770,000",house,3,2,2,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,12 Dec 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-macquarie+links-139004003,Macquarie Links,NSW,2565,31 Highland Close,"31 Highland Close, Macquarie Links, NSW 2565",758000,"$758,000",duplex-semi-detached,3,2,1,,,-1.0,,HCAGWH,MULTI DYNAMIC - INGLEBURN,,,08 Apr 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-macquarie+links-138410519,Macquarie Links,NSW,2565,33 Highland Close,"33 Highland Close, Macquarie Links, NSW 2565",750000,"$750,000",house,3,2,1,,,-1.0,,HCAGWH,MULTI DYNAMIC - INGLEBURN,,,07 Mar 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-macquarie+links-138537971,Macquarie Links,NSW,2565,18/112 - 114 Governors Way,"18/112 - 114 Governors Way, Macquarie Links, NSW 2565",770000,"$770,000",house,3,2,0,,,-1.0,,LHYAVR,Ray White Macarthur Group - Ingleburn,,,04 Mar 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-macquarie+links-138382119,Macquarie Links,NSW,2565,25 Highland Close,"25 Highland Close, Macquarie Links, NSW 2565",750000,"$750,000",house,3,2,1,,,-1.0,,HCAGWH,MULTI DYNAMIC - INGLEBURN,,,31 Jan 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-macquarie+links-137562286,Macquarie Links,NSW,2565,14/112-114 Governors Way,"14/112-114 Governors Way, Macquarie Links, NSW 2565",749999,"$749,999",house,3,2,2,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,08 Nov 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-macquarie+links-128790254,Macquarie Links,NSW,2565,7 Highland Close,"7 Highland Close, Macquarie Links, NSW 2565",645000,"$645,000",house,3,2,1,,,257.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,20 Sep 2019,house,,257.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-macquarie+links-140344907,Macquarie Links,NSW,2565,5 Highland Close,"5 Highland Close, Macquarie Links, NSW 2565",765000,"$765,000",duplex-semi-detached,3,2,2,,,-1.0,,STAING,One Agency Infinity Property Group,,,04 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-macquarie+links-137956050,Macquarie Links,NSW,2565,5/112-114 Governors Way,"5/112-114 Governors Way, Macquarie Links, NSW 2565",750000,"$750,000",house,3,2,0,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,22 Nov 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-macquarie+links-127845534,Macquarie Links,NSW,2565,10 Highland Close,"10 Highland Close, Macquarie Links, NSW 2565",667500,"$667,500",house,3,3,2,,,-1.0,,RHMMBL,One Agency Macquarie Fields - MACQUARIE FIELDS,,,08 Jun 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-macquarie+links-128277118,Macquarie Links,NSW,2565,,,600000,"$600,000",house,3,2,2,,,-1.0,,STALIV,Benchmark National - Moorebank,,,11 Jul 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-macquarie+links-122367098,Macquarie Links,NSW,2565,1 Jane Jarvis Way,"1 Jane Jarvis Way, Macquarie Links, NSW 2565",719000,"$719,000",house,3,3,2,,,-1.0,,LHYAVR,Ray White Macarthur Group - Ingleburn,,,15 Jul 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-macquarie+links-121101310,Macquarie Links,NSW,2565,6/112 Governors Way,"6/112 Governors Way, Macquarie Links, NSW 2565",570000,"$570,000",house,3,2,2,,,-1.0,,SPBNAR,Space Real Estate - Macarthur District,,,19 Nov 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-macquarie+links-119274807,Macquarie Links,NSW,2565,5 Scaranish Way,"5 Scaranish Way, Macquarie Links, NSW 2565",582000,"$582,000",duplex-semi-detached,3,2,2,,,-1.0,,XRXCAS,Professionals Paradise Realty Casula -   ,,,02 Apr 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-macquarie+links-118993531,Macquarie Links,NSW,2565,10 Jane Jarvis Way,"10 Jane Jarvis Way, Macquarie Links, NSW 2565",615000,"$615,000",house,3,2,4,,,-1.0,,XRXCAS,Professionals Paradise Realty Casula -   ,,,18 Feb 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-macquarie+links-118489755,Macquarie Links,NSW,2565,,,505000,"$505,000",house,3,2,2,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,23 Dec 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-macquarie+links-117011875,Macquarie Links,NSW,2565,15 Jane Jarvis Way,"15 Jane Jarvis Way, Macquarie Links, NSW 2565",517500,"$517,500",house,3,2,2,,,186.0,m²,ROKCAA,Harcourts The Property People - CAMPBELLTOWN,,,23 Jun 2014,house,,186.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-macquarie+links-114936679,Macquarie Links,NSW,2565,,,505000,"$505,000",house,3,3,2,,,-1.0,,XIYWHQ,Stone Real Estate Macarthur,,,05 Nov 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-macquarie+links-114566875,Macquarie Links,NSW,2565,,,499000,"$499,000",terrace,3,3,1,,,-1.0,,XIYWHQ,Stone Real Estate Macarthur,,,23 Aug 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-macquarie+links-106501212,Macquarie Links,NSW,2565,13 Jane Jarvis,"13 Jane Jarvis, Macquarie Links, NSW 2565",480000,"$480,000",house,3,2,2,,,-1.0,,,,,,14 May 2010,house,,-1.0
