badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-112917299,Manly,NSW,2095,43/2 Darley Road,"43/2 Darley Road, Manly, NSW 2095",412000,"$412,000",house,0,1,1,,,-1.0,,XMHMAN,Stone Real Estate - Manly,,,05 Feb 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-manly-113504119,Manly,NSW,2095,15/11 Pittwater Rd,"15/11 Pittwater Rd, Manly, NSW 2095",,Contact agent,residential-other,0,1,0,,,-1.0,,,,,,26 Jun 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-manly-106463099,Manly,NSW,2095,63 Alexander,"63 Alexander, Manly, NSW 2095",,Contact agent,residential-other,0,2,0,,,-1.0,,,,,,05 Jul 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-105932999,Manly,NSW,2095,28 Alexander Street,"28 Alexander Street, Manly, NSW 2095",,Contact agent,house,0,1,0,,,-1.0,,KLASEA,Stone Real Estate Seaforth - Seaforth,,,10 Sep 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-133881910,Manly,NSW,2095,5 Lawson Place,"5 Lawson Place, Manly, NSW 2095",1800000,"$1,800,000",house,1,1,0,,,-1.0,,BEJMAN,Belle Property - Manly,,,25 Sep 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-126581930,Manly,NSW,2095,5 Lawson Place,"5 Lawson Place, Manly, NSW 2095",1510000,"$1,510,000",house,1,1,0,,,-1.0,,QJWEGU,Clarke & Humel Property - Manly,,,28 Oct 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-134054582,Manly,NSW,2095,12/19 Pittwater Road,"12/19 Pittwater Road, Manly, NSW 2095",700000,"$700,000",house,1,1,0,,,-1.0,,XRHCOL,UPSTATE - DEE WHY,,,27 Mar 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-125519578,Manly,NSW,2095,48 Pine Street,"48 Pine Street, Manly, NSW 2095",1490000,"$1,490,000",house,1,1,0,,,-1.0,,SWEBAL,Sweetnams Real Estate - Balgowlah,,,20 May 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-111791443,Manly,NSW,2095,30 Denison Street,"30 Denison Street, Manly, NSW 2095",745000,"$745,000",house,1,1,0,,,107.0,m²,CUNBAL,Cunninghams - Northern Beaches,,,10 Oct 2012,house,,107.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-manly-108469851,Manly,NSW,2095,21 Carlton Street,"21 Carlton Street, Manly, NSW 2095",595000,"$595,000",duplex-semi-detached,1,1,0,,,-1.0,,XLJMAO,The Rightside Estate Agency - Manly,,,07 Mar 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-manly-107330257,Manly,NSW,2095,3 Eustace Street,"3 Eustace Street, Manly, NSW 2095",,Contact agent,residential-other,1,1,0,,,413.0,m²,,,,,02 Jun 2011,house,,413.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-107189578,Manly,NSW,2095,514/48 Sydney Road,"514/48 Sydney Road, Manly, NSW 2095",308000,"$308,000",house,1,1,1,,,-1.0,,ELDMAN,Red Property - Manly,,,21 Mar 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-105505605,Manly,NSW,2095,3 /9 Iluka Avenue,"3 /9 Iluka Avenue, Manly, NSW 2095",,Contact agent,house,1,1,0,,,-1.0,,MAXMAN,Max Walls International - Manly,,,03 May 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-104364952,Manly,NSW,2095,9 Smith St,"9 Smith St, Manly, NSW 2095",721000,"$721,000",house,1,1,0,,,-1.0,,ELDMAN,Red Property - Manly,,,21 Nov 2007,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-140722011,Manly,NSW,2095,23 Balgowlah Road,"23 Balgowlah Road, Manly, NSW 2095",2395000,"$2,395,000",house,2,1,2,,,329.0,m²,QJWEGU,Clarke & Humel Property - Manly,,,19 Nov 2022,house,,329.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-140279339,Manly,NSW,2095,1/4 College Street,"1/4 College Street, Manly, NSW 2095",3950000,"$3,950,000",house,2,2,2,,,348.0,m²,QJWEGU,Clarke & Humel Property - Manly,,,16 Sep 2022,house,,348.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-manly-140079879,Manly,NSW,2095,2/3 Herbert Street,"2/3 Herbert Street, Manly, NSW 2095",1950000,"$1,950,000",duplex-semi-detached,2,1,1,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,17 Aug 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-136263110,Manly,NSW,2095,34 Smith Street,"34 Smith Street, Manly, NSW 2095",3000000,"$3,000,000",house,2,1,1,,,199.0,m²,BERMAN,Bergelin Property,,,24 May 2021,house,,199.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-136048686,Manly,NSW,2095,11A Smith Street,"11A Smith Street, Manly, NSW 2095",2375000,"$2,375,000",house,2,1,0,,,-1.0,,XMHMAN,Stone Real Estate - Manly,,,08 May 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-135782790,Manly,NSW,2095,4 Fairlight Street,"4 Fairlight Street, Manly, NSW 2095",3100000,"$3,100,000",house,2,1,1,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,30 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-manly-134371106,Manly,NSW,2095,54A Birkley Road,"54A Birkley Road, Manly, NSW 2095",1420000,"$1,420,000",duplex-semi-detached,2,1,0,,,-1.0,,BEJMAN,Belle Property - Manly,,,01 Oct 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-132281522,Manly,NSW,2095,12 Iluka Avenue,"12 Iluka Avenue, Manly, NSW 2095",3116000,"$3,116,000",house,2,1,3,,,370.0,m²,XRWHAR,Ray White - Freshwater,,,16 Nov 2019,house,,370.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-132163142,Manly,NSW,2095,1 Ashburner Street,"1 Ashburner Street, Manly, NSW 2095",1990000,"$1,990,000",house,2,1,0,,,-1.0,,SWEBAL,Sweetnams Real Estate - Balgowlah,,,15 Nov 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-131803806,Manly,NSW,2095,4 Gilbert Street,"4 Gilbert Street, Manly, NSW 2095",1930000,"$1,930,000",house,2,1,1,,,-1.0,,XMHMAN,Stone Real Estate - Manly,,,25 Sep 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-manly-131325538,Manly,NSW,2095,1/3 College Street,"1/3 College Street, Manly, NSW 2095",2691000,"$2,691,000",duplex-semi-detached,2,2,2,,,348.0,m²,QJWEGU,Clarke & Humel Property - Manly,,,29 Jun 2019,house,,348.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-130670282,Manly,NSW,2095,39 Whistler Street,"39 Whistler Street, Manly, NSW 2095",1625000,"$1,625,000",house,2,1,0,,,186.0,m²,WPBMRK,The Agency - Northern Beaches,,,30 Mar 2019,house,,186.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-manly-126877674,Manly,NSW,2095,2/3 Herbert Street,"2/3 Herbert Street, Manly, NSW 2095",1325000,"$1,325,000",duplex-semi-detached,2,1,1,,,142.0,m²,BERMAN,Bergelin Property,,,09 Jan 2018,house,,142.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-126591094,Manly,NSW,2095,32 Denison Street,"32 Denison Street, Manly, NSW 2095",1950000,"$1,950,000",house,2,1,0,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,17 Oct 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-125981178,Manly,NSW,2095,46 Bower Street,"46 Bower Street, Manly, NSW 2095",5370000,"$5,370,000",house,2,1,0,,,695.6,m²,QJWEGU,Clarke & Humel Property - Manly,,,12 Aug 2017,house,,695.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-124877086,Manly,NSW,2095,47 Quinton Road,"47 Quinton Road, Manly, NSW 2095",1900000,"$1,900,000",house,2,1,0,,,-1.0,,BEJMAN,Belle Property - Manly,,,01 Apr 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-120986506,Manly,NSW,2095,45 Pittwater Road,"45 Pittwater Road, Manly, NSW 2095",1305000,"$1,305,000",house,2,1,0,,,-1.0,,ZDUSFR,DiJones - Mosman,,,07 Nov 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-120079317,Manly,NSW,2095,3A Pacific Parade,"3A Pacific Parade, Manly, NSW 2095",1375750,"$1,375,750",house,2,1,0,,,196.0,m²,QJWEGU,Clarke & Humel Property - Manly,,,09 Jul 2015,house,,196.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-141490556,Manly,NSW,2095,62 Smith Street,"62 Smith Street, Manly, NSW 2095",3250000,"$3,250,000",house,2,1,1,,,185.0,m²,QJWEGU,Clarke & Humel Property - Manly,,,16 Feb 2023,house,,185.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-140327443,Manly,NSW,2095,1 Augusta Road,"1 Augusta Road, Manly, NSW 2095",2401000,"$2,401,000",house,2,1,0,,,-1.0,,QJWEGU,Clarke & Humel Property - Manly,,,06 Sep 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-manly-133577998,Manly,NSW,2095,17 Pacific Parade,"17 Pacific Parade, Manly, NSW 2095",2350000,"$2,350,000",duplex-semi-detached,2,1,1,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,08 May 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-131612866,Manly,NSW,2095,31 Smith Street,"31 Smith Street, Manly, NSW 2095",1820000,"$1,820,000",house,2,1,0,,,228.0,m²,XMHMAN,Stone Real Estate - Manly,,,19 Jul 2019,house,,228.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly-119674171,Manly,NSW,2095,46 Smith Street,"46 Smith Street, Manly, NSW 2095",2115000,"$2,115,000",house,2,2,1,,,271.0,m²,QDVLNY,McGrath - Manly,,,23 May 2015,house,,271.0
