badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-118142075,Maraylya,NSW,2765,Lot 22 Of 188 Cattai Ridge Road,"Lot 22 Of 188 Cattai Ridge Road, Maraylya, NSW 2765",850000,"$850,000",house,0,1,0,,,2.02,ha,PZQANP,Rance Property - Kenthurst,,,20 Nov 2014,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-117803771,Maraylya,NSW,2765,,,,Contact agent,house,0,1,0,,,7.28,ha,PZQANP,Rance Property - Kenthurst,,,27 Nov 2014,house,,72800.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-117589351,Maraylya,NSW,2765,,,,Contact agent,house,0,1,0,,,2.02,ha,PZQANP,Rance Property - Kenthurst,,,16 Oct 2014,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-117950655,Maraylya,NSW,2765,,,,Contact agent,house,0,1,0,,,2.02,ha,PZQANP,Rance Property - Kenthurst,,,26 Sep 2014,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-127345670,Maraylya,NSW,2765,249 Maguires Road,"249 Maguires Road, Maraylya, NSW 2765",1510000,"$1,510,000",house,1,1,1,,,2.08,ha,GGIXOW,Blamey Gibson Estate Agents Pty Ltd,,,18 May 2018,house,,20800.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-119939437,Maraylya,NSW,2765,295 Maguires Road,"295 Maguires Road, Maraylya, NSW 2765",1300000,"$1,300,000",house,1,1,3,,,2.01,ha,PZQANP,Rance Property - Kenthurst,,,21 Jul 2015,house,,20099.999999999996
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-118779991,Maraylya,NSW,2765,374 Boundary road,"374 Boundary road, Maraylya, NSW 2765",600000,"$600,000",acreage,1,1,0,,,1012.0,m²,INCMAR,In Conjunction Real Estate - Galston,,,22 Jan 2015,house,,1012.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-117118775,Maraylya,NSW,2765,"Lot 8, 186 Cattai Ridge Road","Lot 8, 186 Cattai Ridge Road, Maraylya, NSW 2765",,Contact agent,house,1,1,1,,,-1.0,,QKVUSF,McGrath - Castle Hill,,,31 Jul 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-112667835,Maraylya,NSW,2765,,,,Contact agent,house,1,1,0,,,-1.0,,EWFFJN,Dwight Real Estate - RICHMOND,,,24 Jun 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-138374031,Maraylya,NSW,2765,36 Fisher Road,"36 Fisher Road, Maraylya, NSW 2765",2272000,"$2,272,000",acreage,2,1,10,,,2.0,ha,HBTPSB,Glass Real Estate - Box Hill,,,05 Apr 2022,house,,20000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-106033710,Maraylya,NSW,2765,,,,Contact agent,house,2,2,4,,,6.07,ha,MJAJAV,John Mikan International - Northbridge ,,,31 Jan 2010,house,,60700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-138594419,Maraylya,NSW,2765,49 Whitmore Road,"49 Whitmore Road, Maraylya, NSW 2765",2425000,"$2,425,000",house,3,2,4,,,2.02,ha,QXZPLT,The Home Bureau Property Agents - PITT TOWN,,,22 Feb 2022,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-132402982,Maraylya,NSW,2765,182 Reedy Road,"182 Reedy Road, Maraylya, NSW 2765",1430000,"$1,430,000",acreage,3,2,3,,,2.34,ha,INCMAR,In Conjunction Real Estate - Galston,,,05 Nov 2020,house,,23400.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-137965066,Maraylya,NSW,2765,32 Whitmore Road,"32 Whitmore Road, Maraylya, NSW 2765",2280000,"$2,280,000",acreage,3,1,2,,,2.02,ha,HAQPIT,Hamish Rogers Realty,,,31 Mar 2022,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-134760346,Maraylya,NSW,2765,143 Whitmore Road,"143 Whitmore Road, Maraylya, NSW 2765",1555000,"$1,555,000",acreage,3,1,1,,,2.02,ha,HAQPIT,Hamish Rogers Realty,,,27 Nov 2020,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-120988534,Maraylya,NSW,2765,152 Fisher Road,"152 Fisher Road, Maraylya, NSW 2765",1440000,"$1,440,000",house,3,2,2,,,5.34,ha,PZQANP,Rance Property - Kenthurst,,,26 Aug 2016,house,,53400.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-121931770,Maraylya,NSW,2765,,,1525000,"$1,525,000",acreage,3,2,5,,,2.02,ha,HAQPIT,Hamish Rogers Realty,,,09 Mar 2016,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-118030187,Maraylya,NSW,2765,,,681000,"$681,000",acreage,3,1,0,,,-1.0,,,,,,18 Nov 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-114546915,Maraylya,NSW,2765,41 Forrester Place,"41 Forrester Place, Maraylya, NSW 2765",925000,"$925,000",house,3,2,3,,,-1.0,,XRWWIN,Ray White - Windsor,,,16 Sep 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-113449523,Maraylya,NSW,2765,35 Neich Road,"35 Neich Road, Maraylya, NSW 2765",895000,"$895,000",house,3,1,1,139.35,m²,2.0,ha,XLJDUR,LJ Hooker - Dural,,,06 May 2013,house,139.35,20000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-111421751,Maraylya,NSW,2765,,,802500,"$802,500",house,3,1,2,,,-1.0,,PZQANP,Rance Property - Kenthurst,,,26 Sep 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-106806293,Maraylya,NSW,2765,381 Boundary Road,"381 Boundary Road, Maraylya, NSW 2765",550000,"$550,000",house,3,2,0,,,-1.0,,DPLXGN,Century 21 - Rouse Hill,,,18 Oct 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-106810239,Maraylya,NSW,2765,381 Boundary Rd,"381 Boundary Rd, Maraylya, NSW 2765",550000,"$550,000",house,3,2,0,,,-1.0,,XCEKEL,Century 21 All Aspects Realty - Kellyville,,,18 Oct 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-132767990,Maraylya,NSW,2765,31 Whitmore Road,"31 Whitmore Road, Maraylya, NSW 2765",1300000,"$1,300,000",house,3,2,5,,,2.05,ha,GGIXOW,Blamey Gibson Estate Agents Pty Ltd,,,13 May 2020,house,,20500.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-122277690,Maraylya,NSW,2765,47 Neich Road,"47 Neich Road, Maraylya, NSW 2765",,Contact agent,acreage,3,1,2,,,2.02,ha,TEQIJG,33Degrees Real Estate - Pitt Town,,,03 Jul 2016,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-109610096,Maraylya,NSW,2765,,,850000,"$850,000",house,3,2,14,,,2.83,ha,PZQANP,Rance Property - Kenthurst,,,16 Mar 2012,house,,28300.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-106717279,Maraylya,NSW,2765,102 Mitchell Park Road,"102 Mitchell Park Road, Maraylya, NSW 2765",980000,"Range: $840,000 - $980,000",acreage,3,2,8,232,m²,2.02,ha,TEQIJG,33Degrees Real Estate - Pitt Town,,,19 Nov 2010,house,232,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-106897604,Maraylya,NSW,2765,,,890000,"$890,000",house,3,2,2,,,2.02,ha,PZQANP,Rance Property - Kenthurst,,,04 Nov 2010,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-106118145,Maraylya,NSW,2765,,,885000,"$885,000",house,3,2,4,,,2.02,ha,PZQANP,Rance Property - Kenthurst,,,24 Nov 2009,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-104741258,Maraylya,NSW,2765,,,700000,"$700,000",acreage,3,2,0,,,-1.0,,HAQPIT,Hamish Rogers Realty,,,02 May 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-108644916,Maraylya,NSW,2765,,,,Contact agent,acreage,3,1,3,,,2.19,ha,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,,house,,21900.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-108632301,Maraylya,NSW,2765,,,,Contact agent,acreage,3,1,3,,,-1.0,,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-141390700,Maraylya,NSW,2765,154 Pebbly Hill Road,"154 Pebbly Hill Road, Maraylya, NSW 2765",2325000,"$2,325,000",acreage,4,3,2,,,2.02,ha,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,16 Mar 2023,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-140381899,Maraylya,NSW,2765,2 Greenfield Place,"2 Greenfield Place, Maraylya, NSW 2765",2700000,"$2,700,000",acreage,4,2,2,,,-1.0,,XGRDUR,Guardian Realty - Dural,,,05 Dec 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-138443879,Maraylya,NSW,2765,143 Whitmore Road,"143 Whitmore Road, Maraylya, NSW 2765",2450000,"$2,450,000",house,4,1,1,,,2.02,ha,PZQANP,Rance Property - Kenthurst,,,10 Mar 2022,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-137617150,Maraylya,NSW,2765,35 Forrester Place,"35 Forrester Place, Maraylya, NSW 2765",2900000,"$2,900,000",house,4,3,6,,,2.02,ha,NMKGVO,Belle Property - Castle Hill,,,10 Nov 2021,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-137330938,Maraylya,NSW,2765,36 Pebbly Hill Rd,"36 Pebbly Hill Rd, Maraylya, NSW 2765",3030000,"$3,030,000",house,4,2,6,,,-1.0,,VBVQND,All Sydney Real Estate,,,12 Oct 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-137129658,Maraylya,NSW,2765,52 St Johns Road,"52 St Johns Road, Maraylya, NSW 2765",3075000,"$3,075,000",house,4,3,8,,,3.48,ha,NMKGVO,Belle Property - Castle Hill,,,29 Sep 2021,house,,34800.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-136421726,Maraylya,NSW,2765,378 Maguires Road,"378 Maguires Road, Maraylya, NSW 2765",2850000,"$2,850,000",house,4,3,3,,,2.06,ha,PZQANP,Rance Property - Kenthurst,,,12 Jul 2021,house,,20600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-135796250,Maraylya,NSW,2765,300 Maguires Road,"300 Maguires Road, Maraylya, NSW 2765",3300000,"$3,300,000",house,4,2,6,,,3.66,ha,PZQANP,Rance Property - Kenthurst,,,14 May 2021,house,,36600.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-136086202,Maraylya,NSW,2765,335 Pitt Town Dural Road,"335 Pitt Town Dural Road, Maraylya, NSW 2765",1905000,"$1,905,000",acreage,4,2,3,,,1.54,ha,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,04 May 2021,house,,15400.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-132173234,Maraylya,NSW,2765,213 Maguires Road,"213 Maguires Road, Maraylya, NSW 2765",2200000,"$2,200,000",acreage,4,2,3,,,4.05,ha,OWAKCV,Wiseberry - Rouse HIll,,,03 Feb 2021,house,,40500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-130261622,Maraylya,NSW,2765,158 Fisher Road,"158 Fisher Road, Maraylya, NSW 2765",1475000,"$1,475,000",house,4,2,9,,,9700.0,m²,PZQANP,Rance Property - Kenthurst,,,22 Jan 2021,house,,9700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-134543994,Maraylya,NSW,2765,440 Pitt Town Dural Road,"440 Pitt Town Dural Road, Maraylya, NSW 2765",1900000,"$1,900,000",house,4,2,4,,,2.14,ha,XGRDUR,Guardian Realty - Dural,,,13 Nov 2020,house,,21400.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-134235222,Maraylya,NSW,2765,114 Fisher Road,"114 Fisher Road, Maraylya, NSW 2765",1600000,"$1,600,000",house,4,1,4,,,2.02,ha,VXQRKX,McGrath - Hawkesbury,,,16 Sep 2020,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-133642002,Maraylya,NSW,2765,19 Neich Road,"19 Neich Road, Maraylya, NSW 2765",1900000,"$1,900,000",acreage,4,2,7,,,2.02,ha,XGRDUR,Guardian Realty - Dural,,,08 Sep 2020,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-128588218,Maraylya,NSW,2765,351 Boundary Road,"351 Boundary Road, Maraylya, NSW 2765",1750000,"$1,750,000",house,4,2,2,,,2.65,ha,PZQANP,Rance Property - Kenthurst,,,03 Sep 2020,house,,26500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-131797810,Maraylya,NSW,2765,107 Fisher Road,"107 Fisher Road, Maraylya, NSW 2765",1740000,"$1,740,000",house,4,1,2,,,2.02,ha,VXQRKX,McGrath - Hawkesbury,,,19 Sep 2019,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-129032918,Maraylya,NSW,2765,107 Fisher Road,"107 Fisher Road, Maraylya, NSW 2765",1905000,"$1,905,000",house,4,1,2,,,2.02,ha,XGRDUR,Guardian Realty - Dural,,,14 Sep 2018,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-137623610,Maraylya,NSW,2765,126 Pebbly Hill Road,"126 Pebbly Hill Road, Maraylya, NSW 2765",2600000,"$2,600,000",acreage,4,2,2,,,2.02,ha,HAQPIT,Hamish Rogers Realty,,,15 Nov 2021,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-137496034,Maraylya,NSW,2765,137 Cattai Ridge Road,"137 Cattai Ridge Road, Maraylya, NSW 2765",2800000,"$2,800,000",acreage,4,2,0,,,-1.0,,XQHXDK,Willu Property - ARCADIA,,,20 Oct 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-136013266,Maraylya,NSW,2765,9 Mewton Road,"9 Mewton Road, Maraylya, NSW 2765",2750000,"$2,750,000",acreage,4,3,4,,,2.91,ha,HAQPIT,Hamish Rogers Realty,,,19 May 2021,house,,29100.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-132098766,Maraylya,NSW,2765,77 Pebbly Hill Road,"77 Pebbly Hill Road, Maraylya, NSW 2765",1775000,"$1,775,000",acreage,4,3,4,,,2.02,ha,HAQPIT,Hamish Rogers Realty,,,18 Nov 2019,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-130602834,Maraylya,NSW,2765,185 Fisher Road,"185 Fisher Road, Maraylya, NSW 2765",1450020,"$1,450,020",acreage,4,2,3,,,2.02,ha,HAQPIT,Hamish Rogers Realty,,,03 May 2019,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-128556394,Maraylya,NSW,2765,160 Whitmore Road,"160 Whitmore Road, Maraylya, NSW 2765",2000000,"$2,000,000",acreage,4,2,2,,,2.02,ha,HAQPIT,Hamish Rogers Realty,,,09 Jul 2018,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-127740758,Maraylya,NSW,2765,173 Maguires Rd,"173 Maguires Rd, Maraylya, NSW 2765",3800000,"$3,800,000",acreage,4,3,5,,,2.02,ha,CIRHEN,JDB Realty - Windsor,,,21 May 2018,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-121459162,Maraylya,NSW,2765,351 Boundary Road,"351 Boundary Road, Maraylya, NSW 2765",1600000,"$1,600,000",house,4,1,2,,,-1.0,,QIHPDI,Rachael Goldsworthy Realty -  Windsor,,,14 Dec 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-119354311,Maraylya,NSW,2765,Lot 20 of 360 Maguires Road,"Lot 20 of 360 Maguires Road, Maraylya, NSW 2765",1470000,"$1,470,000",house,4,3,15,,,2.32,ha,PZQANP,Rance Property - Kenthurst,,,15 May 2015,house,,23200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-119388099,Maraylya,NSW,2765,110 Fisher Road,"110 Fisher Road, Maraylya, NSW 2765",1000000,"$1,000,000",acreage,4,2,0,,,2.91,ha,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,18 Apr 2015,house,,29100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-119303083,Maraylya,NSW,2765,265 Pitt Town Dural Road,"265 Pitt Town Dural Road, Maraylya, NSW 2765",1625000,"$1,625,000",house,4,2,0,,,2.02,ha,PZQANP,Rance Property - Kenthurst,,,01 Apr 2015,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-117102543,Maraylya,NSW,2765,,,1700000,"$1,700,000",house,4,3,14,,,6.72,ha,PZQANP,Rance Property - Kenthurst,,,29 May 2014,house,,67200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-113574091,Maraylya,NSW,2765,,,1189000,"$1,189,000",house,4,2,10,,,2.02,ha,PZQANP,Rance Property - Kenthurst,,,28 Jun 2013,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-113826335,Maraylya,NSW,2765,,,826000,"$826,000",house,4,2,0,,,2.02,ha,PZQANP,Rance Property - Kenthurst,,,15 Jun 2013,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-113164063,Maraylya,NSW,2765,,,835000,"$835,000",house,4,2,4,,,2.02,ha,PZQANP,Rance Property - Kenthurst,,,22 May 2013,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-111583379,Maraylya,NSW,2765,,,545000,"$545,000",house,4,2,2,,,721.0,m²,PZQANP,Rance Property - Kenthurst,,,28 Feb 2013,house,,721.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-111310047,Maraylya,NSW,2765,,,1050000,"$1,050,000",house,4,2,6,,,2.43,ha,PZQANP,Rance Property - Kenthurst,,,22 Feb 2013,house,,24300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-105307187,Maraylya,NSW,2765,,,1030000,"$1,030,000",house,4,2,2,,,2.43,ha,XGRDUR,Guardian Realty - Dural,,,08 Dec 2008,house,,24300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-112028855,Maraylya,NSW,2765,,,1030000,"$1,030,000",house,4,2,2,,,2.43,ha,XGRDUR,Guardian Realty - Dural,,,24 Oct 2008,house,,24300.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-141396760,Maraylya,NSW,2765,41 Fisher Road,"41 Fisher Road, Maraylya, NSW 2765",2550000,"$2,550,000",acreage,4,3,3,,,2.02,ha,HAQPIT,Hamish Rogers Realty,,,28 Feb 2023,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-maraylya-139393459,Maraylya,NSW,2765,255 Pitt Town Dural Road,"255 Pitt Town Dural Road, Maraylya, NSW 2765",2500000,"$2,500,000",acreage,4,2,7,,,2.02,ha,NMKGVO,Belle Property - Castle Hill,,,29 Jun 2022,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-134072282,Maraylya,NSW,2765,47 Forrester Place,"47 Forrester Place, Maraylya, NSW 2765",,Contact agent,house,4,3,2,,,2.0,ha,GGIXOW,Blamey Gibson Estate Agents Pty Ltd,,,25 Jan 2021,house,,20000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-134268826,Maraylya,NSW,2765,141a Cattai Ridge Road,"141a Cattai Ridge Road, Maraylya, NSW 2765",2085000,"$2,085,000",house,4,3,4,,,2.01,ha,GGIXOW,Blamey Gibson Estate Agents Pty Ltd,,,04 Dec 2020,house,,20099.999999999996
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-135858722,Maraylya,NSW,2765,,,,Contact agent,house,4,2,2,226,m²,500.0,m²,HBTPSB,Glass Real Estate - Box Hill,,,07 Sep 2020,house,226,500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-127172178,Maraylya,NSW,2765,419 Boundary Road,"419 Boundary Road, Maraylya, NSW 2765",,Contact agent,house,4,2,4,,,7022.0,m²,NXAUEZ,Lobsey Property - Rouse Hill,,,21 Mar 2018,house,,7022.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-maraylya-124939734,Maraylya,NSW,2765,,,2000000,"$2,000,000",house,4,2,5,,,2.02,ha,NXAUEZ,Lobsey Property - Rouse Hill,,,06 Jun 2017,house,,20200.0
