badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-marayong-116193839,Marayong,NSW,2148,35 Osborne Rd,"35 Osborne Rd, Marayong, NSW 2148",,Contact agent,house,0,6,2,,,-1.0,,BTFQBA,Successful Properties Group - GIRRAWEEN,,,05 Mar 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marayong-127346326,Marayong,NSW,2148,6 THE CRESCENT,"6 THE CRESCENT, Marayong, NSW 2148",666000,"$666,000",house,1,1,0,,,-1.0,,XRHSTM,Raine & Horne - St Marys,,,24 Jan 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-marayong-105348265,Marayong,NSW,2148,,,,Contact agent,acreage,1,1,0,,,-1.0,,XLSMAR,Laing+Simmons -  Blacktown,,,23 Feb 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marayong-141202900,Marayong,NSW,2148,10 Davis Rd,"10 Davis Rd, Marayong, NSW 2148",806000,"$806,000",house,2,1,1,,,601.0,m²,IINXZI,United Property Sales and Management,,,11 Feb 2023,house,,601.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marayong-139300039,Marayong,NSW,2148,3/15 Fursorb Street,"3/15 Fursorb Street, Marayong, NSW 2148",660000,"$660,000",house,2,1,1,,,-1.0,,CSEGKD,Ray White Quakers Hill - The Tesolin Group,,,20 Jun 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marayong-139191027,Marayong,NSW,2148,46 Percy Street,"46 Percy Street, Marayong, NSW 2148",812000,"$812,000",house,2,1,1,,,588.0,m²,CSEGKD,Ray White Quakers Hill - The Tesolin Group,,,12 May 2022,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marayong-138946211,Marayong,NSW,2148,139 Richmond Road,"139 Richmond Road, Marayong, NSW 2148",805000,"$805,000",house,2,1,0,,,689.2,m²,STABLA,Starr Partners - Blacktown,,,30 Apr 2022,house,,689.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-marayong-138932967,Marayong,NSW,2148,19 Breakfast Road,"19 Breakfast Road, Marayong, NSW 2148",805000,"$805,000",house,2,1,0,,,574.0,m²,CSEGKD,Ray White Quakers Hill - The Tesolin Group,,,19 Apr 2022,house,,574.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marayong-138773351,Marayong,NSW,2148,7 Crudge Road,"7 Crudge Road, Marayong, NSW 2148",850000,"$850,000",house,2,1,2,,,549.0,m²,OJSUNZ,Harcourts Unlimited  - Blacktown,,,02 Apr 2022,house,,549.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marayong-137467706,Marayong,NSW,2148,28 Railway Road,"28 Railway Road, Marayong, NSW 2148",1713956,"$1,713,956",house,2,1,8,,,1486.0,m²,IEERYA,McLaren Real Estate - Narellan,,,23 Nov 2021,house,,1486.0
