badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-140031395,Marrickville,NSW,2204,14 Pritchard Street,"14 Pritchard Street, Marrickville, NSW 2204",930000,"$930,000",house,1,1,1,57,m²,113.8,m²,XLJNEX,LJ Hooker - Newtown Group,,,30 Aug 2022,house,57,113.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-120388737,Marrickville,NSW,2204,13 Cowper Street,"13 Cowper Street, Marrickville, NSW 2204",870000,"$870,000",house,1,1,0,,,108.0,m²,,,,,17 Aug 2015,house,,108.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-129949934,Marrickville,NSW,2204,467 Illawarra Road,"467 Illawarra Road, Marrickville, NSW 2204",1026000,"$1,026,000",house,1,1,1,,,328.0,m²,YOYWNU,Raine & Horne - Marrickville,,,19 Dec 2018,house,,328.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-marrickville-127102418,Marrickville,NSW,2204,171 Addison Road,"171 Addison Road, Marrickville, NSW 2204",921000,"$921,000",duplex-semi-detached,1,1,0,,,152.0,m²,XNKGWU,CobdenHayson - Annandale,,,27 Nov 2017,house,,152.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-123831962,Marrickville,NSW,2204,18/60 Ewart Street,"18/60 Ewart Street, Marrickville, NSW 2204",406000,"$406,000",house,1,1,0,,,-1.0,,XNTMAB,Richardson & Wrench - Marrickville,,,07 Nov 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-120822745,Marrickville,NSW,2204,211 Victoria Road,"211 Victoria Road, Marrickville, NSW 2204",915000,"$915,000",house,1,1,1,,,-1.0,,XNTMAB,Richardson & Wrench - Marrickville,,,26 Oct 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-120290149,Marrickville,NSW,2204,2/85 Beauchamp Street,"2/85 Beauchamp Street, Marrickville, NSW 2204",390000,"$390,000",house,1,1,1,,,-1.0,,XLJLEI,MONTANO GROUP - LEICHHARDT,,,21 Aug 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-117717247,Marrickville,NSW,2204,8 Smith Street,"8 Smith Street, Marrickville, NSW 2204",701000,"$701,000",house,1,1,0,,,103.0,m²,,,,,02 Sep 2014,house,,103.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-marrickville-116843175,Marrickville,NSW,2204,8 Pritchard Street,"8 Pritchard Street, Marrickville, NSW 2204",700000,"$700,000",terrace,1,1,1,,,-1.0,,ZPCADN,Richardson & Wrench Newtown - Newtown,,,27 May 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-116781951,Marrickville,NSW,2204,100 Silver St,"100 Silver St, Marrickville, NSW 2204",720000,"$720,000",house,1,1,0,,,-1.0,,YOYWNU,Raine & Horne - Marrickville,,,17 May 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-114945551,Marrickville,NSW,2204,24 Horton Street,"24 Horton Street, Marrickville, NSW 2204",700000,"$700,000",house,1,1,0,,,-1.0,,XRWDLW,Ray White - Dulwich Hill,,,26 Sep 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-114403467,Marrickville,NSW,2204,27 Illawarra Road,"27 Illawarra Road, Marrickville, NSW 2204",720000,"$720,000",house,1,1,1,,,-1.0,,YOYWNU,Raine & Horne - Marrickville,,,21 Aug 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-114212619,Marrickville,NSW,2204,568 Illawarra Road,"568 Illawarra Road, Marrickville, NSW 2204",1730000,"$1,730,000",house,1,1,0,,,-1.0,,XNTMAB,Richardson & Wrench - Marrickville,,,06 Aug 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-warehouse-nsw-marrickville-111629803,Marrickville,NSW,2204,3/1-7 Jabez St,"3/1-7 Jabez St, Marrickville, NSW 2204",545000,"$545,000",warehouse,1,1,5,303.05,m²,-1.0,,NCJYES,Ray White - Marrickville,,,09 Jan 2013,house,303.05,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-110281985,Marrickville,NSW,2204,42/85 Beauchamp Street,"42/85 Beauchamp Street, Marrickville, NSW 2204",380000,"$380,000",house,1,1,1,,,-1.0,,YOYWNU,Raine & Horne - Marrickville,,,09 May 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-106667880,Marrickville,NSW,2204,23/387 Marrickville Road,"23/387 Marrickville Road, Marrickville, NSW 2204",360000,"$360,000",house,1,1,1,68,m²,68.0,m²,SSKKAF,Iskandar Real Estate,,,30 Jul 2010,house,68,68.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-136215166,Marrickville,NSW,2204,8 Ivanhoe Street,"8 Ivanhoe Street, Marrickville, NSW 2204",,Contact agent,house,1,1,3,,,-1.0,,XNTMAB,Richardson & Wrench - Marrickville,,,26 May 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-122504942,Marrickville,NSW,2204,134 Warren Road,"134 Warren Road, Marrickville, NSW 2204",1270000,"$1,270,000",house,1,1,3,,,316.0,m²,YKBYRJ,Professionals Vella Property - FIVE DOCK,,,28 May 2016,house,,316.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-112263023,Marrickville,NSW,2204,2 Philpott Street,"2 Philpott Street, Marrickville, NSW 2204",710000,"$710,000",house,1,1,2,,,-1.0,,XRWNEY,Ray White (IW Group),,,13 Dec 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-110898011,Marrickville,NSW,2204,1/20-22 Station St,"1/20-22 Station St, Marrickville, NSW 2204",,Contact agent,house,1,1,1,100,m²,-1.0,,HGMDBV,Laing+Simmons - Campsie,,,11 Jul 2012,house,100,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-106298155,Marrickville,NSW,2204,13 Addison Road,"13 Addison Road, Marrickville, NSW 2204",380000,"$380,000",house,1,1,0,,,108.0,m²,SSKKAF,Iskandar Real Estate,,,01 May 2010,house,,108.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-marrickville-106072273,Marrickville,NSW,2204,71 Addison Road,"71 Addison Road, Marrickville, NSW 2204",,Contact agent,residential-other,1,2,1,,,184.0,m²,XRHNEX,Raine & Horne - Newtown,,,10 Nov 2009,house,,184.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-106041278,Marrickville,NSW,2204,22/324B Marrickville Road,"22/324B Marrickville Road, Marrickville, NSW 2204",257000,"$257,000",house,1,1,1,,,-1.0,,XRWSUH,Ray White - Erskineville | Alexandria | Glebe | Surry Hills,,,04 Nov 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-114507527,Marrickville,NSW,2204,247 Victoria Road,"247 Victoria Road, Marrickville, NSW 2204",,Contact agent,house,1,1,1,,,-1.0,,FYYSTC,Professionals Forbes Group - MARRICKVILLE,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-marrickville-141839472,Marrickville,NSW,2204,16 Philpott Street,"16 Philpott Street, Marrickville, NSW 2204",1445000,"$1,445,000",terrace,2,1,0,,,106.0,m²,PCUIIJ,CobdenHayson - Marrickville,,,29 Apr 2023,house,,106.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-141839416,Marrickville,NSW,2204,158 Wardell Road,"158 Wardell Road, Marrickville, NSW 2204",1660000,"$1,660,000",house,2,1,0,,,242.0,m²,PCUIIJ,CobdenHayson - Marrickville,,,22 Apr 2023,house,,242.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-141802892,Marrickville,NSW,2204,14 East Street,"14 East Street, Marrickville, NSW 2204",1650000,"$1,650,000",house,2,1,0,,,265.6,m²,LCZVJE,Adrian William,,,21 Apr 2023,house,,265.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-141767888,Marrickville,NSW,2204,9 Jocelyn Avenue,"9 Jocelyn Avenue, Marrickville, NSW 2204",1687000,"$1,687,000",house,2,1,0,,,183.0,m²,XRWSUH,Ray White - Erskineville | Alexandria | Glebe | Surry Hills,,,15 Apr 2023,house,,183.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-141690752,Marrickville,NSW,2204,20 Central Avenue,"20 Central Avenue, Marrickville, NSW 2204",1585000,"$1,585,000",house,2,1,0,,,240.0,m²,YOYWNU,Raine & Horne - Marrickville,,,12 Apr 2023,house,,240.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-141356536,Marrickville,NSW,2204,22 Smith Street,"22 Smith Street, Marrickville, NSW 2204",1170000,"$1,170,000",house,2,1,0,,,132.0,m²,XMHLEI,McGrath Estate Agents Inner West - Leichhardt,,,10 Mar 2023,house,,132.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-141461424,Marrickville,NSW,2204,18 Charles Street,"18 Charles Street, Marrickville, NSW 2204",1550000,"$1,550,000",house,2,1,0,,,221.3,m²,LCZVJE,Adrian William,,,07 Mar 2023,house,,221.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-141402516,Marrickville,NSW,2204,40 Silver Street,"40 Silver Street, Marrickville, NSW 2204",1670000,"$1,670,000",house,2,1,1,,,164.0,m²,CCYSQI,BresicWhitney -  Inner West,,,28 Feb 2023,house,,164.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-141362388,Marrickville,NSW,2204,9 Newington Road,"9 Newington Road, Marrickville, NSW 2204",1400000,"$1,400,000",house,2,1,0,133,m²,-1.0,,XRWSUH,Ray White - Erskineville | Alexandria | Glebe | Surry Hills,,,25 Feb 2023,house,133,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-141418844,Marrickville,NSW,2204,39 Silver Street,"39 Silver Street, Marrickville, NSW 2204",1090000,"$1,090,000",house,2,1,0,,,114.0,m²,HPTSAN,Honer Dodd Realty - Sans Souci,,,24 Feb 2023,house,,114.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-141265504,Marrickville,NSW,2204,1 Black Street,"1 Black Street, Marrickville, NSW 2204",1554000,"$1,554,000",house,2,1,1,,,164.0,m²,XFNSUM,Harris Tripp - Summer Hill,,,18 Feb 2023,house,,164.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-141200832,Marrickville,NSW,2204,19 Middle Street,"19 Middle Street, Marrickville, NSW 2204",1220000,"$1,220,000",house,2,1,0,,,192.0,m²,LCZVJE,Adrian William,,,01 Feb 2023,house,,192.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-140863592,Marrickville,NSW,2204,348 Livingstone Road,"348 Livingstone Road, Marrickville, NSW 2204",1210000,"$1,210,000",house,2,2,2,,,-1.0,,GMAXJI,Devine Real Estate - Marrickville | Dulwich Hill,,,10 Dec 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-140841824,Marrickville,NSW,2204,36 Frampton Avenue,"36 Frampton Avenue, Marrickville, NSW 2204",1750000,"$1,750,000",house,2,1,1,,,290.9,m²,LCZVJE,Adrian William,,,01 Dec 2022,house,,290.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-marrickville-140753507,Marrickville,NSW,2204,35 O'Hara Street,"35 O'Hara Street, Marrickville, NSW 2204",1200000,"$1,200,000",house,2,1,0,,,167.0,m²,LCZVJE,Adrian William,,,26 Nov 2022,house,,167.0
