badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-127737566,Martinsville,NSW,2265,240 Watagan Road,"240 Watagan Road, Martinsville, NSW 2265",,Contact agent,acreage,1,1,2,,,60.75,ha,XRHMOT,PRD  - Real Estate,,,16 Nov 2018,house,,607500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-104670160,Martinsville,NSW,2265,,,,Contact agent,house,1,1,0,,,4856.0,m²,,,,,01 Jul 2009,house,,4856.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-martinsville-123659334,Martinsville,NSW,2265,140 Martinsville Road,"140 Martinsville Road, Martinsville, NSW 2265",465000,"$465,000",residential-other,2,1,2,,,1.06,ha,,,,,04 Oct 2016,house,,10600.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-martinsville-121233914,Martinsville,NSW,2265,140 Martinsville Road,"140 Martinsville Road, Martinsville, NSW 2265",460000,"$460,000",residential-other,2,1,2,,,1.06,ha,,,,,04 Oct 2016,house,,10600.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-112983151,Martinsville,NSW,2265,,,570000,"$570,000",acreage,2,2,5,,,-1.0,,XRHMOT,PRD  - Real Estate,,,17 Apr 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-136614290,Martinsville,NSW,2265,495 Martinsville Road,"495 Martinsville Road, Martinsville, NSW 2265",1735000,"$1,735,000",acreage,3,4,5,,,4856.23,m²,PTRTER,Property Central - CENTRAL COAST,,,26 Jul 2021,house,,4856.23
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-120540437,Martinsville,NSW,2265,148 Owens Road,"148 Owens Road, Martinsville, NSW 2265",880000,"$880,000",acreage,3,2,4,,,15.5,ha,RCYGQP,The Property Market - Central Coast,,,26 Nov 2015,house,,155000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-135940554,Martinsville,NSW,2265,439 Martinsville Road,"439 Martinsville Road, Martinsville, NSW 2265",950000,"$950,000",house,3,2,3,,,5672.0,m²,OPLYHL,Macquarie Realtors - TORONTO,,,30 Jun 2021,house,,5672.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-127137362,Martinsville,NSW,2265,330 Wilkinson Road,"330 Wilkinson Road, Martinsville, NSW 2265",838000,"$838,000",house,3,2,4,,,39.25,ha,DOWMOR,Wilson Britten - Morisset,,,22 Dec 2017,house,,392500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-125758414,Martinsville,NSW,2265,139 Wilkinson Road,"139 Wilkinson Road, Martinsville, NSW 2265",915000,"$915,000",house,3,2,3,,,6.07,ha,IOHFCS,Dotcom Property Sales - NSW,,,04 Jul 2017,house,,60700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-105116224,Martinsville,NSW,2265,481 Martinsville Rd,"481 Martinsville Rd, Martinsville, NSW 2265",550000,"$550,000",house,3,1,2,,,2.46,ha,XRHMOT,PRD  - Real Estate,,,24 Dec 2008,house,,24600.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-140169175,Martinsville,NSW,2265,495 Martinsville Road,"495 Martinsville Road, Martinsville, NSW 2265",,Contact agent,acreage,3,4,5,,,4856.23,m²,RYCDZU,Belle Property - Central Coast,,,19 Oct 2022,house,,4856.23
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-125781362,Martinsville,NSW,2265,65 Horgans Lane,"65 Horgans Lane, Martinsville, NSW 2265",,Contact agent,acreage,3,3,3,,,31.97,ha,DWNPCX,No Agent Property - BRIGHTON EAST,,,20 Dec 2017,house,,319700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-126241874,Martinsville,NSW,2265,485 Martinsville Road,"485 Martinsville Road, Martinsville, NSW 2265",,Contact agent,house,3,1,1,,,994.1,m²,XRHMOT,PRD  - Real Estate,,,24 Sep 2017,house,,994.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-106389998,Martinsville,NSW,2265,76 Owens,"76 Owens, Martinsville, NSW 2265",,Contact agent,house,3,1,5,,,11.75,ha,,,,,01 Apr 2009,house,,117500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-135535790,Martinsville,NSW,2265,21 Mahers Road,"21 Mahers Road, Martinsville, NSW 2265",,Contact agent,house,3,2,2,,,2.62,ha,DOWMOR,Wilson Britten - Morisset,,,,house,,26200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-139418631,Martinsville,NSW,2265,7 Moonan Close,"7 Moonan Close, Martinsville, NSW 2265",1650000,"$1,650,000",house,4,2,8,,,1.75,ha,UNZUOW,PRD Coastal,,,27 May 2022,house,,17500.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-137571306,Martinsville,NSW,2265,81 Wilkinson Road,"81 Wilkinson Road, Martinsville, NSW 2265",2005000,"$2,005,000",acreage,4,1,6,,,2.2,ha,PTRTER,Property Central - CENTRAL COAST,,,25 Oct 2021,house,,22000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-124344358,Martinsville,NSW,2265,120 Wilkinson Road,"120 Wilkinson Road, Martinsville, NSW 2265",970000,"$970,000",house,4,2,2,,,1.54,ha,XRWMOA,Ray White - Morisset,,,20 Jun 2017,house,,15400.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-123932230,Martinsville,NSW,2265,155 Martinsville Road,"155 Martinsville Road, Martinsville, NSW 2265",1040000,"$1,040,000",house,4,2,8,,,1.0,ha,XRWMOA,Ray White - Morisset,,,01 Nov 2016,house,,10000.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-118386947,Martinsville,NSW,2265,179 Martinsville Rd,"179 Martinsville Rd, Martinsville, NSW 2265",890000,"$890,000",acreage,4,2,4,,,1.02,ha,RCYGQP,The Property Market - Central Coast,,,28 Nov 2014,house,,10200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-135033694,Martinsville,NSW,2265,,,1170000,"$1,170,000",house,4,2,3,,,14.13,ha,DOWMOR,Wilson Britten - Morisset,,,01 Feb 2021,house,,141300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-133041054,Martinsville,NSW,2265,1 Moonan Close,"1 Moonan Close, Martinsville, NSW 2265",1070000,"$1,070,000",house,4,2,5,,,1.02,ha,DOWMOR,Wilson Britten - Morisset,,,05 Mar 2020,house,,10200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-130101226,Martinsville,NSW,2265,120 Martinsville Road,"120 Martinsville Road, Martinsville, NSW 2265",1125000,"$1,125,000",house,4,2,6,,,8862.62,m²,DOWMOR,Wilson Britten - Morisset,,,11 Dec 2018,house,,8862.62
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-121317238,Martinsville,NSW,2265,130 Martinsville Road,"130 Martinsville Road, Martinsville, NSW 2265",765000,"$765,000",acreage,4,2,1,,,1.01,ha,DOWMOR,Wilson Britten - Morisset,,,02 Sep 2016,house,,10100.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-121993202,Martinsville,NSW,2265,16 Watagan Road,"16 Watagan Road, Martinsville, NSW 2265",650000,"$650,000",acreage,4,3,3,,,5105.0,m²,MPPMOR,Morisset City Real Estate - Morisset,,,30 Apr 2016,house,,5105.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-120680449,Martinsville,NSW,2265,33 Kings Road,"33 Kings Road, Martinsville, NSW 2265",805000,"$805,000",house,4,2,3,,,8094.0,m²,DOWMOR,Wilson Britten - Morisset,,,30 Oct 2015,house,,8094.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-113527247,Martinsville,NSW,2265,81 Wilkinson Road,"81 Wilkinson Road, Martinsville, NSW 2265",582500,"$582,500",acreage,4,1,6,,,2.02,ha,RCYGQP,The Property Market - Central Coast,,,18 May 2013,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-113134155,Martinsville,NSW,2265,457 Martinsville Road,"457 Martinsville Road, Martinsville, NSW 2265",690000,"$690,000",acreage,4,2,3,,,2.27,ha,RCYGQP,The Property Market - Central Coast,,,19 Mar 2013,house,,22700.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-111616355,Martinsville,NSW,2265,79 Pringles Road,"79 Pringles Road, Martinsville, NSW 2265",680000,"$680,000",acreage,4,1,3,,,16.51,ha,RCYGQP,The Property Market - Central Coast,,,08 Feb 2013,house,,165100.00000000003
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-129804030,Martinsville,NSW,2265,134 Pringles Road,"134 Pringles Road, Martinsville, NSW 2265",1350000,"$1,350,000",acreage,4,2,6,,,16.19,ha,RCYGQP,The Property Market - Central Coast,,,15 Feb 2019,house,,161900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-127988182,Martinsville,NSW,2265,197 Owens Road,"197 Owens Road, Martinsville, NSW 2265",1850000,"$1,850,000",house,4,2,2,,,27.52,ha,XRHMOT,PRD  - Real Estate,,,15 May 2018,house,,275200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-106832053,Martinsville,NSW,2265,396 Martinsville Road,"396 Martinsville Road, Martinsville, NSW 2265",636500,"$636,500",acreage,4,2,2,,,1.01,ha,XRHMOT,PRD  - Real Estate,,,15 Nov 2010,house,,10100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-104521378,Martinsville,NSW,2265,,,,Contact agent,house,4,2,0,,,48.56,ha,,,,,11 Aug 2008,house,,485600.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-115077931,Martinsville,NSW,2265,31 Wilkinson Rd,"31 Wilkinson Rd, Martinsville, NSW 2265",960000,"$960,000",acreage,5,3,4,,,10.12,ha,RCYGQP,The Property Market - Central Coast,,,17 Jan 2014,house,,101199.99999999999
Sold,https://www.realestate.com.au/sold/property-other-nsw-martinsville-125199382,Martinsville,NSW,2265,51 Mahers Rd,"51 Mahers Rd, Martinsville, NSW 2265",1000000,"$1,000,000",residential-other,5,2,1,,,10.14,ha,,,,,18 May 2017,house,,101400.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-118013831,Martinsville,NSW,2265,126 Martinsville Road,"126 Martinsville Road, Martinsville, NSW 2265",900000,"$900,000",house,5,2,3,,,1.5,ha,DOWMOR,Wilson Britten - Morisset,,,30 Oct 2014,house,,15000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-112599607,Martinsville,NSW,2265,32 Wilkinson Road,"32 Wilkinson Road, Martinsville, NSW 2265",915000,"$915,000",house,5,2,5,,,-1.0,,XRHMOT,PRD  - Real Estate,,,30 May 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-127210254,Martinsville,NSW,2265,167 Watagan Road,"167 Watagan Road, Martinsville, NSW 2265",725000,"$725,000",house,6,3,3,,,15.61,ha,XRHMOT,PRD  - Real Estate,,,26 Jul 2018,house,,156100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-martinsville-129574758,Martinsville,NSW,2265,,,6150000,"$6,150,000",house,6,4,5,,,91.0,ha,PUUEDG,Christie's International Real Estate - Sydney,,,06 Dec 2019,house,,910000.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-119584735,Martinsville,NSW,2265,276 Pringles Road,"276 Pringles Road, Martinsville, NSW 2265",1900000,"$1,900,000",acreage,6,6,6,,,15.3,ha,RCYGQP,The Property Market - Central Coast,,,18 Dec 2015,house,,153000.0
Sold,https://www.realestate.com.au/sold/property-residential+land-nsw-martinsville-202482822,Martinsville,NSW,2265,94 Mahers Road,"94 Mahers Road, Martinsville, NSW 2265",450000,"$450,000",residential-land,,,,,,12.0,ha,DOWMOR,Wilson Britten - Morisset,,,15 Nov 2021,land,,120000.0
Sold,https://www.realestate.com.au/sold/property-residential+land-nsw-martinsville-200958551,Martinsville,NSW,2265,242 Wilkinson,"242 Wilkinson, Martinsville, NSW 2265",550000,"$550,000",residential-land,,,,,,5.5,ha,DOWMOR,Wilson Britten - Morisset,,,12 Feb 2016,land,,55000.0
Sold,https://www.realestate.com.au/sold/property-residential+land-nsw-martinsville-200985835,Martinsville,NSW,2265,120 Martinsville Road,"120 Martinsville Road, Martinsville, NSW 2265",341000,"$341,000",residential-land,,,,,,1.15,ha,DOWMOR,Wilson Britten - Morisset,,,29 Oct 2014,land,,11500.0
Sold,https://www.realestate.com.au/sold/property-residential+land-nsw-martinsville-2323468,Martinsville,NSW,2265,,,,Contact agent,residential-land,,,,,,8093.0,m²,,,,,27 Feb 2009,land,,8093.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-137571306,Martinsville,NSW,2265,81 Wilkinson Road,"81 Wilkinson Road, Martinsville, NSW 2265",2005000,"$2,005,000",acreage,4,1,6,,,2.2,ha,PTRTER,Property Central - CENTRAL COAST,,,25 Oct 2021,acreage,,22000.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-136614290,Martinsville,NSW,2265,495 Martinsville Road,"495 Martinsville Road, Martinsville, NSW 2265",1735000,"$1,735,000",acreage,3,4,5,,,4856.23,m²,PTRTER,Property Central - CENTRAL COAST,,,26 Jul 2021,acreage,,4856.23
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-120540437,Martinsville,NSW,2265,148 Owens Road,"148 Owens Road, Martinsville, NSW 2265",880000,"$880,000",acreage,3,2,4,,,15.5,ha,RCYGQP,The Property Market - Central Coast,,,26 Nov 2015,acreage,,155000.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-118386947,Martinsville,NSW,2265,179 Martinsville Rd,"179 Martinsville Rd, Martinsville, NSW 2265",890000,"$890,000",acreage,4,2,4,,,1.02,ha,RCYGQP,The Property Market - Central Coast,,,28 Nov 2014,acreage,,10200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-115077931,Martinsville,NSW,2265,31 Wilkinson Rd,"31 Wilkinson Rd, Martinsville, NSW 2265",960000,"$960,000",acreage,5,3,4,,,10.12,ha,RCYGQP,The Property Market - Central Coast,,,17 Jan 2014,acreage,,101199.99999999999
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-121317238,Martinsville,NSW,2265,130 Martinsville Road,"130 Martinsville Road, Martinsville, NSW 2265",765000,"$765,000",acreage,4,2,1,,,1.01,ha,DOWMOR,Wilson Britten - Morisset,,,02 Sep 2016,acreage,,10100.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-121993202,Martinsville,NSW,2265,16 Watagan Road,"16 Watagan Road, Martinsville, NSW 2265",650000,"$650,000",acreage,4,3,3,,,5105.0,m²,MPPMOR,Morisset City Real Estate - Morisset,,,30 Apr 2016,acreage,,5105.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-martinsville-113527247,Martinsville,NSW,2265,81 Wilkinson Road,"81 Wilkinson Road, Martinsville, NSW 2265",582500,"$582,500",acreage,4,1,6,,,2.02,ha,RCYGQP,The Property Market - Central Coast,,,18 May 2013,acreage,,20200.0
