badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-matraville-106307664,Matraville,NSW,2036,CNR Kain Avenue & Finucane Crescent,"CNR Kain Avenue & Finucane Crescent, Matraville, NSW 2036",,Contact agent,house,0,1,0,,,-1.0,,NGGKIN,NGFarah,,,18 May 2007,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-matraville-106307665,Matraville,NSW,2036,CNR Kain Avenue & Finucane Crescent,"CNR Kain Avenue & Finucane Crescent, Matraville, NSW 2036",,Contact agent,house,0,1,0,,,5678.0,m²,NGGKIN,NGFarah,,,,house,,5678.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-matraville-134675798,Matraville,NSW,2036,630 Bunnerong Road,"630 Bunnerong Road, Matraville, NSW 2036",1340000,"$1,340,000",house,1,1,0,,,501.62,m²,XFNMAT,Century 21 Gilles - MATRAVILLE,,,23 Nov 2020,house,,501.62
Sold,https://www.realestate.com.au/sold/property-house-nsw-matraville-127713286,Matraville,NSW,2036,45 Jennings Street,"45 Jennings Street, Matraville, NSW 2036",1200000,"$1,200,000",house,1,1,2,,,-1.0,,NGGKIN,NGFarah,,,24 Mar 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-matraville-105432025,Matraville,NSW,2036,6 Combles Parade,"6 Combles Parade, Matraville, NSW 2036",825000,"$825,000",residential-other,1,1,0,,,721.0,m²,XCEMAR,Agents and Co Property Group,,,01 Jun 2009,house,,721.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-matraville-109218396,Matraville,NSW,2036,2/554 Bunnerong Road,"2/554 Bunnerong Road, Matraville, NSW 2036",,Contact agent,house,1,1,1,85,m²,-1.0,,SPZZET,MGM MARTIN,,,,house,85,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-matraville-140362675,Matraville,NSW,2036,35 Partanna Avenue,"35 Partanna Avenue, Matraville, NSW 2036",1340000,"$1,340,000",house,2,1,1,,,253.0,m²,TAJAXS,Belle Property  - Bondi Junction ,,,29 Oct 2022,house,,253.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-matraville-139665179,Matraville,NSW,2036,45 Jennings Street,"45 Jennings Street, Matraville, NSW 2036",1900000,"$1,900,000",house,2,2,2,,,-1.0,,QHTRNC,Belle Property - Randwick,,,02 Jul 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-matraville-135645970,Matraville,NSW,2036,7 Namoi Road,"7 Namoi Road, Matraville, NSW 2036",2565000,"$2,565,000",house,2,2,2,,,689.2,m²,NGGKIN,NGFarah,,,27 Mar 2021,house,,689.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-matraville-132820962,Matraville,NSW,2036,25 Australia Avenue,"25 Australia Avenue, Matraville, NSW 2036",1461000,"$1,461,000",house,2,1,1,,,-1.0,,XRXBON,Wentworth Partners,,,13 Feb 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-matraville-126369478,Matraville,NSW,2036,59 Pozieres Avenue,"59 Pozieres Avenue, Matraville, NSW 2036",1769000,"$1,769,000",house,2,1,2,,,-1.0,,NGGKIN,NGFarah,,,07 Oct 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-matraville-126258038,Matraville,NSW,2036,19 Pozieres Avenue,"19 Pozieres Avenue, Matraville, NSW 2036",1721000,"$1,721,000",house,2,1,3,,,467.0,m²,RLGPIT,McGrath - Coogee,,,18 Sep 2017,house,,467.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-matraville-123975662,Matraville,NSW,2036,131 Perry Street,"131 Perry Street, Matraville, NSW 2036",1360000,"$1,360,000",house,2,1,2,,,297.0,m²,XCEMAR,Agents and Co Property Group,,,26 Nov 2016,house,,297.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-matraville-134018562,Matraville,NSW,2036,246 Beauchamp Road,"246 Beauchamp Road, Matraville, NSW 2036",1650000,"$1,650,000",house,2,2,1,,,-1.0,,MRPQXY,McGrath - Maroubra,,,16 Jul 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-matraville-129025962,Matraville,NSW,2036,15 O'Connell Ave,"15 O'Connell Ave, Matraville, NSW 2036",1555000,"$1,555,000",house,2,1,1,,,543.8,m²,WFLDYD,Sydney Side Real Estate - Rosebery,,,05 Oct 2018,house,,543.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-matraville-125302790,Matraville,NSW,2036,158 Robey Street,"158 Robey Street, Matraville, NSW 2036",1760000,"$1,760,000",house,2,1,0,,,-1.0,,XNTMAT,Richardson & Wrench - Maroubra,,,20 May 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-matraville-124530346,Matraville,NSW,2036,39 Jennings Street,"39 Jennings Street, Matraville, NSW 2036",1395000,"$1,395,000",house,2,1,1,,,-1.0,,NGGKIN,NGFarah,,,18 Feb 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-matraville-124251226,Matraville,NSW,2036,107 Perry Street,"107 Perry Street, Matraville, NSW 2036",1270000,"$1,270,000",house,2,1,2,,,-1.0,,XCECOO,Coastline Agency - Maroubra,,,17 Dec 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-matraville-122988066,Matraville,NSW,2036,35 Romani Parade,"35 Romani Parade, Matraville, NSW 2036",1800000,"$1,800,000",house,2,1,3,,,569.0,m²,NGGKIN,NGFarah,,,26 Jul 2016,house,,569.0
