badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-melrose+park-105192850,Melrose Park,NSW,2114,91 Wharf Road,"91 Wharf Road, Melrose Park, NSW 2114",,Contact agent,house,0,1,0,,,1212.0,m²,XFNCHA,Shead Property - Chatswood,,,12 Feb 2009,house,,1212.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-melrose+park-122104602,Melrose Park,NSW,2114,,,1300000,"$1,300,000",house,1,1,1,,,-1.0,,HHXAMH,Melrose Park Realty,,,05 Mar 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-melrose+park-135498746,Melrose Park,NSW,2114,113 Cobham Avenue,"113 Cobham Avenue, Melrose Park, NSW 2114",1519000,"$1,519,000",house,2,1,1,,,-1.0,,OZEIVQ,First National Ryde Group,,,13 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-melrose+park-134528362,Melrose Park,NSW,2114,93 Cobham Avenue,"93 Cobham Avenue, Melrose Park, NSW 2114",1356000,"$1,356,000",house,2,1,1,,,531.1,m²,VTEOZO,Award Group Real Estate - Hills Central - West Ryde,,,31 Oct 2020,house,,531.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-melrose+park-127939738,Melrose Park,NSW,2114,7 Batten Avenue,"7 Batten Avenue, Melrose Park, NSW 2114",1300000,"$1,300,000",house,2,1,1,,,518.0,m²,XNTWES,Green Real Estate Agency - West Ryde & Eastwood,,,07 Jun 2018,house,,518.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-melrose+park-124088394,Melrose Park,NSW,2114,81 Wharf Road,"81 Wharf Road, Melrose Park, NSW 2114",1185000,"$1,185,000",house,2,1,2,,,-1.0,,GJGKEX,Maison Bridge Property - WEST RYDE ,,,03 Dec 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-melrose+park-134595334,Melrose Park,NSW,2114,123 Lancaster Avenue,"123 Lancaster Avenue, Melrose Park, NSW 2114",1520000,"$1,520,000",house,2,1,1,,,-1.0,,CTIGUN,McGrath - Ryde ,,,08 Oct 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-melrose+park-132704166,Melrose Park,NSW,2114,17 Crowley Crescent,"17 Crowley Crescent, Melrose Park, NSW 2114",1500000,"$1,500,000",house,2,1,2,91,m²,576.0,m²,,,,,12 Feb 2020,house,91,576.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-melrose+park-116351551,Melrose Park,NSW,2114,"122 Lancaster Avenue, (Riverside)","122 Lancaster Avenue, (Riverside), Melrose Park, NSW 2114",1010000,"$1,010,000",house,2,1,2,,,-1.0,,VTEOZO,Award Group Real Estate - Hills Central - West Ryde,,,05 Apr 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-melrose+park-107795681,Melrose Park,NSW,2114,52 Lancaster Avenue,"52 Lancaster Avenue, Melrose Park, NSW 2114",760000,"$760,000",house,2,1,1,,,578.0,m²,,,,,01 Oct 2011,house,,578.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-melrose+park-107668791,Melrose Park,NSW,2114,83 Lancaster Avenue,"83 Lancaster Avenue, Melrose Park, NSW 2114",808000,"$808,000",house,2,1,1,,,588.0,m²,PROIRR,First National Real Estate - Epping,,,17 Sep 2011,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-melrose+park-106148080,Melrose Park,NSW,2114,98 Lancaster Avenue,"98 Lancaster Avenue, Melrose Park, NSW 2114",1210000,"$1,210,000",house,2,1,1,,,1138.0,m²,ZLGAZO,McGrath - Epping,,,19 Dec 2009,house,,1138.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-melrose+park-104895221,Melrose Park,NSW,2114,30 Lancaster Avenue,"30 Lancaster Avenue, Melrose Park, NSW 2114",650000,"$650,000",house,2,1,2,,,575.0,m²,,,,,07 Jan 2009,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-melrose+park-107194918,Melrose Park,NSW,2114,56 Lancaster Avenue,"56 Lancaster Avenue, Melrose Park, NSW 2114",690000,"$690,000",house,2,1,1,,,585.0,m²,,,,,13 Apr 2011,house,,585.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-melrose+park-109023716,Melrose Park,NSW,2114,137 Wharf Road,"137 Wharf Road, Melrose Park, NSW 2114",,Contact agent,house,2,1,1,,,-1.0,,OZEIVQ,First National Ryde Group,,,30 Jan 2012,house,,-1.0
