badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-merrylands+west-108160271,Merrylands West,NSW,2160,35 Irrigation Road,"35 Irrigation Road, Merrylands West, NSW 2160",220000,"$220,000",residential-other,0,1,0,,,-1.0,,JZESBX,Laing+Simmons - Merrylands,,,29 Oct 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-merrylands+west-106020567,Merrylands West,NSW,2160,,,,Contact agent,house,1,1,0,,,-1.0,,RBBSUF,First National - Merrylands,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-merrylands+west-137612066,Merrylands West,NSW,2160,45/100 Kenyons Road,"45/100 Kenyons Road, Merrylands West, NSW 2160",562000,"$562,000",house,2,1,1,,,241.0,m²,GAHQWN,Nidus Group Real Estate,,,02 Nov 2021,house,,241.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-merrylands+west-135685290,Merrylands West,NSW,2160,71 Bruce Street,"71 Bruce Street, Merrylands West, NSW 2160",840000,"$840,000",house,2,1,7,,,556.0,m²,RLKTTY,McGrath - Parramatta,,,23 Mar 2021,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-merrylands+west-134652714,Merrylands West,NSW,2160,2/17-21 Todd Street,"2/17-21 Todd Street, Merrylands West, NSW 2160",445000,"$445,000",house,2,1,1,,,-1.0,,ETMHFJ,Blaze Real Estate - Wetherill Park,,,14 Nov 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-merrylands+west-133592770,Merrylands West,NSW,2160,68 Betts Road,"68 Betts Road, Merrylands West, NSW 2160",530000,"$530,000",house,2,1,1,,,554.0,m²,XRHPAA,Raine & Horne - Parramatta,,,01 Jun 2020,house,,554.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-merrylands+west-125041534,Merrylands West,NSW,2160,38A Josephine Street,"38A Josephine Street, Merrylands West, NSW 2160",705000,"$705,000",duplex-semi-detached,2,3,1,,,252.8,m²,,,,,03 Apr 2017,house,,252.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-merrylands+west-124937342,Merrylands West,NSW,2160,13 Lucy Street,"13 Lucy Street, Merrylands West, NSW 2160",868000,"$868,000",house,2,1,1,,,-1.0,,XNTPAR,Richardson & Wrench - Parramatta,,,27 Mar 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-merrylands+west-119203667,Merrylands West,NSW,2160,14/53-57 Kenyons Road,"14/53-57 Kenyons Road, Merrylands West, NSW 2160",420000,"$420,000",house,2,2,1,,,-1.0,,KUWQEI,Richardson & Wrench Hinchinbrook/Hoxton Park,,,11 Mar 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-merrylands+west-113241659,Merrylands West,NSW,2160,26 Arcadia Street,"26 Arcadia Street, Merrylands West, NSW 2160",415000,"$415,000",house,2,1,0,,,-1.0,,JZESBX,Laing+Simmons - Merrylands,,,28 Mar 2013,house,,-1.0
