badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-millers+point-136758422,Millers Point,NSW,2000,87 Lower Fort Street,"87 Lower Fort Street, Millers Point, NSW 2000",6150000,"$6,150,000",house,1,1,0,,,-1.0,,PBBNFZ,McGrath Millers Point - SYDNEY,,,12 Aug 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-millers+point-122624322,Millers Point,NSW,2000,22 Merriman Street,"22 Merriman Street, Millers Point, NSW 2000",2210000,"$2,210,000",house,1,1,0,,,96.0,m²,XMHSYD,McGrath - Double Bay,,,08 Jun 2016,house,,96.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-millers+point-120904553,Millers Point,NSW,2000,34 Merriman Street,"34 Merriman Street, Millers Point, NSW 2000",2400000,"$2,400,000",terrace,1,1,0,,,-1.0,,DIJWOO,DiJones - Eastern Suburbs,,,04 Nov 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-millers+point-126906042,Millers Point,NSW,2000,42 Merriman Street,"42 Merriman Street, Millers Point, NSW 2000",1675000,"$1,675,000",terrace,1,1,0,,,-1.0,,XMHSYD,McGrath - Double Bay,,,06 Dec 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-millers+point-126907586,Millers Point,NSW,2000,40 Merriman Street,"40 Merriman Street, Millers Point, NSW 2000",1606000,"$1,606,000",house,1,1,0,,,-1.0,,XMHSYD,McGrath - Double Bay,,,06 Dec 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-millers+point-139608243,Millers Point,NSW,2000,32 Kent Street,"32 Kent Street, Millers Point, NSW 2000",2530000,"$2,530,000",house,2,1,0,,,-1.0,,PBBNFZ,McGrath Millers Point - SYDNEY,,,20 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-millers+point-132594838,Millers Point,NSW,2000,1 Argyle Place,"1 Argyle Place, Millers Point, NSW 2000",3300000,"$3,300,000",terrace,2,1,0,,,-1.0,,PBBNFZ,McGrath Millers Point - SYDNEY,,,07 Jul 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-millers+point-132235682,Millers Point,NSW,2000,9 Agar Steps,"9 Agar Steps, Millers Point, NSW 2000",1725000,"$1,725,000",terrace,2,1,0,,,-1.0,,PBBNFZ,McGrath Millers Point - SYDNEY,,,23 Nov 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-millers+point-128617718,Millers Point,NSW,2000,24 Argyle Place,"24 Argyle Place, Millers Point, NSW 2000",2675000,"$2,675,000",house,2,2,0,,,-1.0,,PBBNFZ,McGrath Millers Point - SYDNEY,,,05 Oct 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-millers+point-124015758,Millers Point,NSW,2000,61  Kent Street,"61  Kent Street, Millers Point, NSW 2000",2110000,"$2,110,000",house,2,1,0,,,-1.0,,XMHSYD,McGrath - Double Bay,,,30 Nov 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-millers+point-122920234,Millers Point,NSW,2000,48 Kent Street,"48 Kent Street, Millers Point, NSW 2000",1538000,"$1,538,000",house,2,1,0,,,124.0,m²,XMHSYD,McGrath - Double Bay,,,13 Jul 2016,house,,124.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-millers+point-120565929,Millers Point,NSW,2000,18 Merriman Street,"18 Merriman Street, Millers Point, NSW 2000",2460000,"$2,460,000",house,2,1,0,,,169.1,m²,XMHSYD,McGrath - Double Bay,,,22 Sep 2015,house,,169.1
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-millers+point-119932913,Millers Point,NSW,2000,54a & 54b Kent Street,"54a & 54b Kent Street, Millers Point, NSW 2000",1810000,"$1,810,000",terrace,2,2,0,,,112.9,m²,XMHSYD,McGrath - Double Bay,,,03 Jul 2015,house,,112.9
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-millers+point-119932509,Millers Point,NSW,2000,18 Trinity Avenue,"18 Trinity Avenue, Millers Point, NSW 2000",1615000,"$1,615,000",terrace,2,1,0,,,90.08,m²,XMHSYD,McGrath - Double Bay,,,03 Jul 2015,house,,90.08
Sold,https://www.realestate.com.au/sold/property-house-nsw-millers+point-119722995,Millers Point,NSW,2000,56 Kent Street,"56 Kent Street, Millers Point, NSW 2000",1680000,"$1,680,000",house,2,1,0,,,122.0,m²,XRHDOU,Raine & Horne - Double Bay,,,01 Jun 2015,house,,122.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-millers+point-119722967,Millers Point,NSW,2000,32 Kent Street,"32 Kent Street, Millers Point, NSW 2000",1550000,"$1,550,000",house,2,1,0,,,99.0,m²,XRHDOU,Raine & Horne - Double Bay,,,01 Jun 2015,house,,99.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-millers+point-118381511,Millers Point,NSW,2000,24 Argyle Place,"24 Argyle Place, Millers Point, NSW 2000",2350000,"$2,350,000",terrace,2,2,0,,,144.0,m²,XMHSYD,McGrath - Double Bay,,,04 Dec 2014,house,,144.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-millers+point-118381855,Millers Point,NSW,2000,32 Argyle Place,"32 Argyle Place, Millers Point, NSW 2000",2150000,"$2,150,000",terrace,2,1,0,,,136.0,m²,XMHSYD,McGrath - Double Bay,,,04 Dec 2014,house,,136.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-millers+point-115176375,Millers Point,NSW,2000,"5 Agar Steps, Observatory Hill","5 Agar Steps, Observatory Hill, Millers Point, NSW 2000",1055000,"$1,055,000",house,2,1,0,114,m²,-1.0,,XFNSUR,Spencer & Servi -             ,,,16 Nov 2013,house,114,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-millers+point-106407226,Millers Point,NSW,2000,90 Windmill Street,"90 Windmill Street, Millers Point, NSW 2000",1500000,"$1,500,000",house,2,1,0,,,-1.0,,DIJWOO,DiJones - Eastern Suburbs,,,29 Mar 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-millers+point-105668813,Millers Point,NSW,2000,67 Windmill Street,"67 Windmill Street, Millers Point, NSW 2000",820000,"$820,000",house,2,2,0,,,-1.0,,DIJWOO,DiJones - Eastern Suburbs,,,07 May 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-millers+point-118539731,Millers Point,NSW,2000,41 & 43 Kent Street,"41 & 43 Kent Street, Millers Point, NSW 2000",,Contact agent,house,2,1,0,,,-1.0,,XRWDOU,Ray White - Double Bay,,,17 Mar 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-warehouse-nsw-millers+point-140756843,Millers Point,NSW,2000,125A Kent Street,"125A Kent Street, Millers Point, NSW 2000",5100000,"$5,100,000",warehouse,3,2,0,390,m²,-1.0,,BZMDAR,BresicWhitney - Inner East,,,22 Dec 2022,house,390,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-millers+point-136748366,Millers Point,NSW,2000,34 Kent Street,"34 Kent Street, Millers Point, NSW 2000",2800000,"$2,800,000",house,3,2,0,,,-1.0,,PBBNFZ,McGrath Millers Point - SYDNEY,,,30 Sep 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-millers+point-134145366,Millers Point,NSW,2000,3 Windmill Street,"3 Windmill Street, Millers Point, NSW 2000",2040000,"$2,040,000",terrace,3,1,0,,,-1.0,,PBBNFZ,McGrath Millers Point - SYDNEY,,,11 Dec 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-millers+point-134143158,Millers Point,NSW,2000,31 Lower Fort Street,"31 Lower Fort Street, Millers Point, NSW 2000",4000000,"$4,000,000",terrace,3,2,0,,,-1.0,,PBBNFZ,McGrath Millers Point - SYDNEY,,,16 Sep 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-millers+point-133179342,Millers Point,NSW,2000,30 Merriman Street,"30 Merriman Street, Millers Point, NSW 2000",3450000,"$3,450,000",terrace,3,1,0,,,-1.0,,PBBNFZ,McGrath Millers Point - SYDNEY,,,22 May 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-millers+point-132107630,Millers Point,NSW,2000,61 Lower Fort Street,"61 Lower Fort Street, Millers Point, NSW 2000",6250000,"$6,250,000",terrace,3,2,0,,,-1.0,,PBBNFZ,McGrath Millers Point - SYDNEY,,,26 Nov 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-millers+point-127685994,Millers Point,NSW,2000,47 Windmill Street,"47 Windmill Street, Millers Point, NSW 2000",2100000,"$2,100,000",house,3,1,0,,,104.0,m²,XMHSYD,McGrath - Double Bay,,,28 Mar 2018,house,,104.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-millers+point-126400506,Millers Point,NSW,2000,26 Argyle Place,"26 Argyle Place, Millers Point, NSW 2000",3561000,"$3,561,000",house,3,1,0,,,-1.0,,XMHSYD,McGrath - Double Bay,,,12 Oct 2017,house,,-1.0
