badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-milperra-105936860,Milperra,NSW,2214,18 Ruthven Ave,"18 Ruthven Ave, Milperra, NSW 2214",400000,"$400,000",house,0,1,0,,,618.0,m²,XNFPAN,PRD - Panania,,,04 Nov 2009,house,,618.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-milperra-105936859,Milperra,NSW,2214,20 Ruthven Ave,"20 Ruthven Ave, Milperra, NSW 2214",395000,"$395,000",house,0,1,0,,,618.0,m²,XNFPAN,PRD - Panania,,,04 Nov 2009,house,,618.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-milperra-105948554,Milperra,NSW,2214,16 Ruthven Ave,"16 Ruthven Ave, Milperra, NSW 2214",405000,"$405,000",residential-other,1,1,0,,,-1.0,,,,,,28 Aug 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-warehouse-nsw-milperra-106602746,Milperra,NSW,2214,2/254 Milperra Road,"2/254 Milperra Road, Milperra, NSW 2214",225000,"$225,000",warehouse,1,1,3,,,-1.0,,ABCBAP,Ray White - Bankstown,,,05 Jul 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-milperra-105532298,Milperra,NSW,2214,16 Ruthven Avenue,"16 Ruthven Avenue, Milperra, NSW 2214",800000,"$800,000",house,1,1,0,,,1.0,m²,XPNPAD,Professionals - Padstow,,,16 Mar 2009,house,,1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-milperra-141947920,Milperra,NSW,2214,4 Menin Place,"4 Menin Place, Milperra, NSW 2214",1200000,"$1,200,000",house,3,2,2,,,-1.0,,XFNPAD,First National Real Estate Daystar - Daystar,,,05 May 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-milperra-141785860,Milperra,NSW,2214,8 Chauvel Avenue,"8 Chauvel Avenue, Milperra, NSW 2214",1120000,"$1,120,000",house,3,1,2,,,556.0,m²,XNFPAN,PRD - Panania,,,17 Apr 2023,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-milperra-141278180,Milperra,NSW,2214,4 Armentieres Avenue,"4 Armentieres Avenue, Milperra, NSW 2214",1150000,"$1,150,000",house,3,1,1,,,562.0,m²,MIVWOV,McGrath - Revesby,,,18 Feb 2023,house,,562.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-milperra-138854087,Milperra,NSW,2214,13 Towner Avenue,"13 Towner Avenue, Milperra, NSW 2214",1352000,"$1,352,000",house,3,2,2,,,560.0,m²,XNFPAN,PRD - Panania,,,09 Apr 2022,house,,560.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-milperra-137775450,Milperra,NSW,2214,9 Raleigh Road,"9 Raleigh Road, Milperra, NSW 2214",1270000,"$1,270,000",house,3,1,1,,,556.0,m²,IORKAI,LJ Hooker - Bankstown,,,27 Nov 2021,house,,556.0
