badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-milsons+point-104832645,Milsons Point,NSW,2061,706/55 Lavender Street,"706/55 Lavender Street, Milsons Point, NSW 2061",,Contact agent,house,1,1,0,75,m²,-1.0,,XRWNEU,The Agency - North,,,02 Oct 2008,house,75,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-milsons+point-141469660,Milsons Point,NSW,2061,22 Alfred Street,"22 Alfred Street, Milsons Point, NSW 2061",3800000,"$3,800,000",terrace,3,3,1,,,-1.0,,ZDQPDH,Milson Real Estate - Milsons Point,,,10 Feb 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-milsons+point-119535035,Milsons Point,NSW,2061,,,3003000,"$3,003,000",terrace,3,4,1,,,-1.0,,ZDQPDH,Milson Real Estate - Milsons Point,,,07 May 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-milsons+point-117910843,Milsons Point,NSW,2061,26A Alfred Street,"26A Alfred Street, Milsons Point, NSW 2061",2850000,"$2,850,000",terrace,3,4,1,300,m²,-1.0,,ZDQPDH,Milson Real Estate - Milsons Point,,,25 Oct 2014,house,300,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-milsons+point-106959476,Milsons Point,NSW,2061,24 Alfred Street,"24 Alfred Street, Milsons Point, NSW 2061",2500000,"$2,500,000",house,3,4,1,270,m²,-1.0,,XRWNEU,The Agency - North,,,07 Feb 2011,house,270,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-milsons+point-137813946,Milsons Point,NSW,2061,24 Alfred Street,"24 Alfred Street, Milsons Point, NSW 2061",,Contact agent,house,3,3,1,,,-1.0,,LQEJRJ,Belle Property - Neutral Bay ,,,26 Nov 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-milsons+point-119707467,Milsons Point,NSW,2061,24 Alfred Street,"24 Alfred Street, Milsons Point, NSW 2061",,Contact agent,house,3,3,1,,,273.0,m²,LQEJRJ,Belle Property - Neutral Bay ,,,12 Jun 2015,house,,273.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-milsons+point-111223607,Milsons Point,NSW,2061,22 Alfred Street,"22 Alfred Street, Milsons Point, NSW 2061",,Contact agent,terrace,3,4,1,,,-1.0,,ZDQPDH,Milson Real Estate - Milsons Point,,,14 Dec 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-milsons+point-112403859,Milsons Point,NSW,2061,22 Alfred St,"22 Alfred St, Milsons Point, NSW 2061",,Contact agent,terrace,3,4,1,,,-1.0,,ZDQPDH,Milson Real Estate - Milsons Point,,,21 Nov 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-milsons+point-116902791,Milsons Point,NSW,2061,15-17 Northcliff Street,"15-17 Northcliff Street, Milsons Point, NSW 2061",,Contact agent,house,4,2,4,,,-1.0,,ABCMOS,Ray White - Lower North Shore Group,,,03 Jun 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-milsons+point-106455093,Milsons Point,NSW,2061,1007/30 Glen Street,"1007/30 Glen Street, Milsons Point, NSW 2061",375000,"$375,000",apartment,0,1,0,,,-1.0,,ABCSYT,Greencliff Agency - Sydney,,,10 Nov 2010,unit apartment,,-1.0
