badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-minto-109207196,Minto,NSW,2566,,,,Contact agent,house,0,3,1,,,-1.0,,DHIING,Dhillon Real Estate - Ingleburn,,,08 Feb 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-minto-126506790,Minto,NSW,2566,1/8 Margaret Street,"1/8 Margaret Street, Minto, NSW 2566",325000,"$325,000",house,1,1,0,,,-1.0,,STACAM,Prudential Real Estate - Campbelltown,,,03 Nov 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-minto-120485477,Minto,NSW,2566,Lot 196 Pendergast Ave,"Lot 196 Pendergast Ave, Minto, NSW 2566",455000,"$455,000",house,1,1,0,,,-1.0,,ZCKPDB,All Property People - Ingleburn - Austral,,,20 Aug 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-minto-118663867,Minto,NSW,2566,2/13 Swaffham,"2/13 Swaffham, Minto, NSW 2566",520000,"$520,000",residential-other,1,1,0,,,-1.0,,GPHGZT,Winners Choice Real Estate  - Norwest,,,23 Mar 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-minto-118408827,Minto,NSW,2566,31 Dalrymple St,"31 Dalrymple St, Minto, NSW 2566",365000,"$365,000",house,1,1,0,,,-1.0,,ZCKPDB,All Property People - Ingleburn - Austral,,,02 Feb 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-minto-118392843,Minto,NSW,2566,Lot 108 Blue St,"Lot 108 Blue St, Minto, NSW 2566",365000,"$365,000",house,1,1,0,,,-1.0,,ZCKPDB,All Property People - Ingleburn - Austral,,,29 Jan 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-minto-115154239,Minto,NSW,2566,,,,Contact agent,house,1,1,1,,,-1.0,,ISDZRN,First National Real Estate Pinnacle,,,24 Apr 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-minto-107324480,Minto,NSW,2566,,,,Contact agent,house,1,1,0,,,384.0,m²,TVLSRQ,Ray White - Macarthur Group,,,,house,,384.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-minto-126158118,Minto,NSW,2566,16 BIMBERI AVENUE,"16 BIMBERI AVENUE, Minto, NSW 2566",,Contact agent,house,1,1,1,,,514.8,m²,EMVTKK,PRD - Ingleburn,,,16 Nov 2017,house,,514.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-minto-120047401,Minto,NSW,2566,Lot 1023 Meharry Place,"Lot 1023 Meharry Place, Minto, NSW 2566",,Contact agent,house,1,1,0,,,311.3,m²,ZCKPDB,All Property People - Ingleburn - Austral,,,23 Jun 2015,house,,311.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-minto-131699826,Minto,NSW,2566,,,,Contact agent,house,1,1,0,,,-1.0,,OBJOFN,Starr Partners - Campbelltown,,,24 Apr 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-minto-112443519,Minto,NSW,2566,,,,Contact agent,house,1,1,0,,,-1.0,,ZCKPDB,All Property People - Ingleburn - Austral,,,17 Jan 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-minto-140451503,Minto,NSW,2566,57/16 Derby Street,"57/16 Derby Street, Minto, NSW 2566",300000,"$300,000",residential-other,2,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,16 Jan 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-minto-139641907,Minto,NSW,2566,10 Phyllis Street,"10 Phyllis Street, Minto, NSW 2566",700000,"$700,000",house,2,2,4,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,19 Jul 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-minto-138743099,Minto,NSW,2566,14/18 Westmoreland Road,"14/18 Westmoreland Road, Minto, NSW 2566",410000,"$410,000",house,2,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,07 Jun 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-minto-139135883,Minto,NSW,2566,1/9-13 Surrey Street,"1/9-13 Surrey Street, Minto, NSW 2566",485000,"$485,000",house,2,1,0,,,-1.0,,LHYAVR,Ray White Macarthur Group - Ingleburn,,,25 May 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-minto-138326870,Minto,NSW,2566,8/18 Westmoreland Road,"8/18 Westmoreland Road, Minto, NSW 2566",330000,"$330,000",house,2,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,18 Feb 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-minto-137636946,Minto,NSW,2566,12/9-13 Surrey street,"12/9-13 Surrey street, Minto, NSW 2566",500000,"$500,000",house,2,1,1,,,-1.0,,EJLJDU,LJ Hooker Ingleburn - INGLEBURN,,,01 Dec 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-minto-137740646,Minto,NSW,2566,20 Kent Street,"20 Kent Street, Minto, NSW 2566",1156500,"$1,156,500",house,2,1,0,,,759.0,m²,TVLSRQ,Ray White - Macarthur Group,,,18 Nov 2021,house,,759.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-minto-137244594,Minto,NSW,2566,1/84 Townson Avenue,"1/84 Townson Avenue, Minto, NSW 2566",453000,"$453,000",house,2,1,1,,,-1.0,,EJLJDU,LJ Hooker Ingleburn - INGLEBURN,,,15 Oct 2021,house,,-1.0
