badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-monterey-106264635,Monterey,NSW,2217,3 O'Connell St,"3 O'Connell St, Monterey, NSW 2217",670000,"$670,000",house,1,1,0,,,-1.0,,HPTSAN,Honer Dodd Realty - Sans Souci,,,30 Mar 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-monterey-140800035,Monterey,NSW,2217,22 Cecil Street,"22 Cecil Street, Monterey, NSW 2217",1200000,"$1,200,000",house,2,1,1,,,240.0,m²,XLJSAO,McGrath - Sans Souci,,,13 Dec 2022,house,,240.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-monterey-136887074,Monterey,NSW,2217,89 Monterey Street,"89 Monterey Street, Monterey, NSW 2217",1950000,"$1,950,000",house,2,1,2,,,468.0,m²,ZJJROL,Realm Property Group - OATLEY,,,10 Aug 2021,house,,468.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-monterey-134712094,Monterey,NSW,2217,25 Solander Street,"25 Solander Street, Monterey, NSW 2217",1660000,"$1,660,000",house,2,1,1,,,677.0,m²,QKUDWB,Century 21 Bayview - Brighton Le Sands | Dolls Point,,,19 Mar 2021,house,,677.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-monterey-132128690,Monterey,NSW,2217,79 Barton Street,"79 Barton Street, Monterey, NSW 2217",1330000,"$1,330,000",house,2,1,2,,,-1.0,,OPAIDV,Laing+Simmons - St George   ,,,02 Nov 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-monterey-129856918,Monterey,NSW,2217,71 Culver Street,"71 Culver Street, Monterey, NSW 2217",1100000,"$1,100,000",house,2,1,1,,,467.0,m²,DJLAMK,Allam Real Estate - Caringbah,,,14 Feb 2019,house,,467.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-monterey-124600758,Monterey,NSW,2217,40 Scarborough Street,"40 Scarborough Street, Monterey, NSW 2217",1675000,"$1,675,000",house,2,1,1,,,464.0,m²,HEETEE,Belle Property - St George,,,25 Feb 2017,house,,464.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-monterey-122278670,Monterey,NSW,2217,38 Monterey Street,"38 Monterey Street, Monterey, NSW 2217",1420000,"$1,420,000",house,2,1,1,,,-1.0,,XLJSAO,McGrath - Sans Souci,,,21 Apr 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-monterey-121993990,Monterey,NSW,2217,8 Scarborough Street,"8 Scarborough Street, Monterey, NSW 2217",1520000,"$1,520,000",house,2,1,2,,,468.0,m²,XNFRAM,PRD -  Ramsgate Beach | Sans Souci,,,21 Mar 2016,house,,468.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-monterey-121983474,Monterey,NSW,2217,83 Culver Street,"83 Culver Street, Monterey, NSW 2217",1262000,"$1,262,000",house,2,1,2,,,-1.0,,QKUDWB,Century 21 Bayview - Brighton Le Sands | Dolls Point,,,19 Mar 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-monterey-121747298,Monterey,NSW,2217,22 Banks Street,"22 Banks Street, Monterey, NSW 2217",1840000,"$1,840,000",house,2,1,2,,,821.0,m²,QKUDWB,Century 21 Bayview - Brighton Le Sands | Dolls Point,,,20 Feb 2016,house,,821.0
