badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-mooney+mooney-105174286,Mooney Mooney,NSW,2083,,,,Contact agent,house,0,1,0,,,16.0,ha,,,,,07 Nov 2008,house,,160000.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-mooney+mooney-137906254,Mooney Mooney,NSW,2083,1111 Mooney Mooney Creek Street,"1111 Mooney Mooney Creek Street, Mooney Mooney, NSW 2083",1450000,"$1,450,000",acreage,1,2,0,,,16.19,ha,XLJTES,LJ Hooker - Terrigal,,,24 Nov 2021,house,,161900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mooney+mooney-132230626,Mooney Mooney,NSW,2083,70 Point Road,"70 Point Road, Mooney Mooney, NSW 2083",560000,"$560,000",house,1,1,0,,,1005.0,m²,RYIZYZ,Belle Property - Hornsby,,,29 Nov 2019,house,,1005.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mooney+mooney-137912958,Mooney Mooney,NSW,2083,1111 Mooney Mooney Creek,"1111 Mooney Mooney Creek, Mooney Mooney, NSW 2083",1450000,"$1,450,000",house,1,2,0,,,16.19,ha,JXEEYT,Riverfront Real Estate - BAR POINT,,,24 Nov 2021,house,,161900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mooney+mooney-135276310,Mooney Mooney,NSW,2083,1111 Mooney Mooney Creek,"1111 Mooney Mooney Creek, Mooney Mooney, NSW 2083",1270000,"$1,270,000",house,1,2,0,,,16.19,ha,JXEEYT,Riverfront Real Estate - BAR POINT,,,25 Mar 2021,house,,161900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mooney+mooney-105970068,Mooney Mooney,NSW,2083,,,,Contact agent,house,1,1,1,65,m²,2287.0,m²,,,,,20 Aug 2010,house,65,2287.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mooney+mooney-140490835,Mooney Mooney,NSW,2083,34 Point Road,"34 Point Road, Mooney Mooney, NSW 2083",1185000,"$1,185,000",house,2,1,2,,,1543.0,m²,BRFPOI,Ray White Macdonald Partners -   ,,,10 Nov 2022,house,,1543.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mooney+mooney-134134966,Mooney Mooney,NSW,2083,41 Point Road,"41 Point Road, Mooney Mooney, NSW 2083",1460000,"$1,460,000",house,2,2,2,,,714.0,m²,RYIZYZ,Belle Property - Hornsby,,,29 Aug 2020,house,,714.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mooney+mooney-138069906,Mooney Mooney,NSW,2083,3 Karool Road,"3 Karool Road, Mooney Mooney, NSW 2083",875000,"$875,000",house,2,1,3,,,1821.0,m²,JXEEYT,Riverfront Real Estate - BAR POINT,,,12 Jan 2022,house,,1821.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mooney+mooney-115188655,Mooney Mooney,NSW,2083,82 Point Road,"82 Point Road, Mooney Mooney, NSW 2083",473000,"$473,000",house,2,1,1,,,-1.0,,KEIHOR,Soames Real Estate - HORNSBY,,,06 Dec 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mooney+mooney-113510823,Mooney Mooney,NSW,2083,44 Walbank Point,"44 Walbank Point, Mooney Mooney, NSW 2083",,Contact agent,house,2,1,0,120,m²,16.19,ha,,,,,25 Jun 2015,house,120,161900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mooney+mooney-115110639,Mooney Mooney,NSW,2083,88 Point Road,"88 Point Road, Mooney Mooney, NSW 2083",,Contact agent,house,2,1,1,,,822.0,m²,,,,,24 Apr 2014,house,,822.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mooney+mooney-114160495,Mooney Mooney,NSW,2083,,,,Contact agent,house,2,1,1,,,-1.0,,,,,,24 Jan 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mooney+mooney-106778596,Mooney Mooney,NSW,2083,,,,Contact agent,house,2,1,1,,,1200.0,m²,,,,,23 Sep 2013,house,,1200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mooney+mooney-112179635,Mooney Mooney,NSW,2083,39 Point Road,"39 Point Road, Mooney Mooney, NSW 2083",565000,"$565,000",house,2,1,0,,,-1.0,,XRWUMI,Ray White - Umina Beach,,,13 May 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mooney+mooney-105450270,Mooney Mooney,NSW,2083,5 Mara Cres,"5 Mara Cres, Mooney Mooney, NSW 2083",680000,"$680,000",house,2,1,2,,,-1.0,,KEKTHO,Soames Real Estate - THORNLEIGH,,,17 Aug 2009,house,,-1.0
