badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-moorebank-139998091,Moorebank,NSW,2170,63 Jack O Sullivan Rd,"63 Jack O Sullivan Rd, Moorebank, NSW 2170",1220000,"$1,220,000",house,0,2,1,,,663.9,m²,YFMSDH,Seth Real Estate - MOOREBANK,,,09 Aug 2022,house,,663.9
Sold,https://www.realestate.com.au/sold/property-other-nsw-moorebank-118683747,Moorebank,NSW,2170,6/43 Heathcoat Road,"6/43 Heathcoat Road, Moorebank, NSW 2170",690000,"$690,000",residential-other,0,2,5,,,-1.0,,KUGYWN,Xingwang Property Real Estate - Hurstville,,,22 May 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-moorebank-113274635,Moorebank,NSW,2170,Lot 4347 Speare Street,"Lot 4347 Speare Street, Moorebank, NSW 2170",355000,"$355,000",residential-other,0,1,0,,,531.5,m²,HZGSID,Professionals Bankstown - Bankstown,,,02 May 2013,house,,531.5
Sold,https://www.realestate.com.au/sold/property-other-nsw-moorebank-106544873,Moorebank,NSW,2170,"Lot 1341, 38 Bradbury Street","Lot 1341, 38 Bradbury Street, Moorebank, NSW 2170",287500,"$287,500",residential-other,0,1,0,,,-1.0,,UDQEIW,Prestige Professionals - MOOREBANK,,,12 Oct 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-moorebank-127995850,Moorebank,NSW,2170,35/96-98 Nuwarra Road,"35/96-98 Nuwarra Road, Moorebank, NSW 2170",515000,"$515,000",house,1,1,1,75,m²,96.0,m²,WPATIQ,Ray White - Liverpool,,,17 Apr 2018,house,75,96.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-moorebank-126274514,Moorebank,NSW,2170,40 Market Street,"40 Market Street, Moorebank, NSW 2170",775000,"$775,000",house,1,1,0,,,751.0,m²,UDQEIW,Prestige Professionals - MOOREBANK,,,18 Oct 2017,house,,751.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-moorebank-135838894,Moorebank,NSW,2170,5 Goldfinch Street,"5 Goldfinch Street, Moorebank, NSW 2170",1027500,"$1,027,500",house,1,1,1,,,-1.0,,UDQEIW,Prestige Professionals - MOOREBANK,,,23 Sep 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-moorebank-135838906,Moorebank,NSW,2170,3 Goldfinch Street,"3 Goldfinch Street, Moorebank, NSW 2170",1012500,"$1,012,500",house,1,1,1,,,-1.0,,UDQEIW,Prestige Professionals - MOOREBANK,,,23 Sep 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-moorebank-117012599,Moorebank,NSW,2170,3/64 Junction road,"3/64 Junction road, Moorebank, NSW 2170",410000,"$410,000",house,1,2,1,,,-1.0,,UDQEIW,Prestige Professionals - MOOREBANK,,,15 Oct 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-moorebank-113272515,Moorebank,NSW,2170,3/12-14 Market St,"3/12-14 Market St, Moorebank, NSW 2170",205000,"$205,000",house,1,1,0,,,-1.0,,,,,,13 Mar 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-moorebank-109762896,Moorebank,NSW,2170,2 Selway Avenue,"2 Selway Avenue, Moorebank, NSW 2170",369000,"$369,000",house,1,1,1,,,-1.0,,MKPZRZ,Real Equity Estate Agents - CHIPPING NORTON,,,18 Apr 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-moorebank-110870799,Moorebank,NSW,2170,Shop 34 Stockton Rd,"Shop 34 Stockton Rd, Moorebank, NSW 2170",,Contact agent,residential-other,1,1,0,,,-1.0,,STALIL,Prudential Real Estate - Liverpool,,,03 Oct 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-moorebank-139861467,Moorebank,NSW,2170,74 Cooper Avenue,"74 Cooper Avenue, Moorebank, NSW 2170",1005000,"$1,005,000",house,2,1,2,,,602.0,m²,UCNRKF,Propti Connect,,,19 Oct 2022,house,,602.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-moorebank-139450555,Moorebank,NSW,2170,2/14 Flanagan Avenue,"2/14 Flanagan Avenue, Moorebank, NSW 2170",780000,"$780,000",house,2,2,1,,,157.0,m²,WPATIQ,Ray White - Liverpool,,,06 Jun 2022,house,,157.0
