badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-mortdale-132972970,Mortdale,NSW,2223,39 Kemp Street,"39 Kemp Street, Mortdale, NSW 2223",832000,"$832,000",house,1,1,0,,,-1.0,,PRNOAT,PRD - Harvey Oatley,,,07 Mar 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mortdale-135739210,Mortdale,NSW,2223,113 Victoria Avenue,"113 Victoria Avenue, Mortdale, NSW 2223",1705000,"$1,705,000",house,1,2,0,,,-1.0,,PASBEV,Paramount Real Estate - Beverly Hills,,,10 Apr 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mortdale-120392537,Mortdale,NSW,2223,54 Boundary Road,"54 Boundary Road, Mortdale, NSW 2223",1400000,"$1,400,000",house,1,2,2,,,-1.0,,XFNLUG,Noonan Real Estate Agency - MORTDALE,,,29 Aug 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mortdale-126240438,Mortdale,NSW,2223,39 Kemp Street,"39 Kemp Street, Mortdale, NSW 2223",726000,"$726,000",house,1,1,0,,,-1.0,,NPWGMX,Noonan Real Estate Agency - MORTDALE,,,16 Sep 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mortdale-107369886,Mortdale,NSW,2223,58 Scott Street,"58 Scott Street, Mortdale, NSW 2223",856000,"$856,000",house,1,1,0,,,-1.0,,XRWOAT,Ray White Georges River - St George,,,14 May 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mortdale-106447390,Mortdale,NSW,2223,36  Boundary  ROAD,"36  Boundary  ROAD, Mortdale, NSW 2223",420000,"$420,000",house,1,1,1,,,-1.0,,ABCPEN,Professionals Sanders Group - PENSHURST,,,03 May 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mortdale-105646471,Mortdale,NSW,2223,14 Depot Road,"14 Depot Road, Mortdale, NSW 2223",,Contact agent,house,1,1,0,,,-1.0,,ZPCACC,Professionals Robert Sharp Real Estate - Beverly Hills,,,07 Aug 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mortdale-141475120,Mortdale,NSW,2223,2/39 Mutual Road,"2/39 Mutual Road, Mortdale, NSW 2223",800000,"$800,000",house,2,1,1,164,m²,-1.0,,XRWOAT,Ray White Georges River - St George,,,01 Mar 2023,house,164,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mortdale-141158256,Mortdale,NSW,2223,68  Walter Street,"68  Walter Street, Mortdale, NSW 2223",1313000,"$1,313,000",house,2,1,2,,,512.0,m²,HEETEE,Belle Property - St George,,,04 Feb 2023,house,,512.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mortdale-140187555,Mortdale,NSW,2223,12 Newman Street,"12 Newman Street, Mortdale, NSW 2223",2091000,"$2,091,000",house,2,1,3,,,809.4,m²,RPKRUK,Ausrealty,,,17 Sep 2022,house,,809.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-mortdale-139971667,Mortdale,NSW,2223,30 Scott Street,"30 Scott Street, Mortdale, NSW 2223",1870000,"$1,870,000",house,2,1,1,,,873.0,m²,XRWOAT,Ray White Georges River - St George,,,02 Sep 2022,house,,873.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mortdale-139008199,Mortdale,NSW,2223,71A Villiers Avenue,"71A Villiers Avenue, Mortdale, NSW 2223",1232500,"$1,232,500",house,2,1,2,,,267.0,m²,PRNOAT,PRD - Harvey Oatley,,,21 Apr 2022,house,,267.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mortdale-138877471,Mortdale,NSW,2223,47 Broughton Street,"47 Broughton Street, Mortdale, NSW 2223",1421000,"$1,421,000",house,2,1,1,,,-1.0,,PRNOAT,PRD - Harvey Oatley,,,14 Apr 2022,house,,-1.0
