badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-mosman-106612025,Mosman,NSW,2088,14A Pindari Avenue,"14A Pindari Avenue, Mosman, NSW 2088",1700000,"$1,700,000",house,0,1,0,,,-1.0,,BEJMOS,Pello - Lower North Shore,,,13 Oct 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mosman-106612027,Mosman,NSW,2088,14A Pindari Avenue,"14A Pindari Avenue, Mosman, NSW 2088",1700000,"$1,700,000",house,0,1,0,,,-1.0,,BEJMOS,Pello - Lower North Shore,,,06 Jul 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mosman-123510026,Mosman,NSW,2088,5 Morella Road,"5 Morella Road, Mosman, NSW 2088",6600000,"$6,600,000",house,0,1,0,,,-1.0,,ABCMOS,Ray White - Lower North Shore Group,,,29 Sep 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mosman-120467657,Mosman,NSW,2088,1 and 2/95 Belmont Road,"1 and 2/95 Belmont Road, Mosman, NSW 2088",,Contact agent,house,0,2,0,,,-1.0,,ZDUSFR,DiJones - Mosman,,,01 Sep 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mosman-110394393,Mosman,NSW,2088,29B Royalist Road,"29B Royalist Road, Mosman, NSW 2088",1915000,"$1,915,000",house,0,3,2,,,-1.0,,PCSWUZ,David Murphy Residential - Mosman,,,22 May 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mosman-119185451,Mosman,NSW,2088,32 Orlando Avenue,"32 Orlando Avenue, Mosman, NSW 2088",2070000,"$2,070,000",house,1,1,0,,,489.0,m²,XRWNEU,The Agency - North,,,14 Mar 2015,house,,489.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-mosman-116706799,Mosman,NSW,2088,7/99 Avenue Road,"7/99 Avenue Road, Mosman, NSW 2088",450000,"$450,000",residential-other,1,1,1,,,-1.0,,PLEMOS,P.Leahy Real Estate - Mosman,,,15 May 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mosman-106141242,Mosman,NSW,2088,51 The Esplanade,"51 The Esplanade, Mosman, NSW 2088",3000000,"$3,000,000",house,1,1,0,,,-1.0,,XRWNEU,The Agency - North,,,12 Dec 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mosman-138374675,Mosman,NSW,2088,1A Glover Street,"1A Glover Street, Mosman, NSW 2088",4115000,"$4,115,000",house,2,2,1,,,581.0,m²,XRWNEU,The Agency - North,,,26 Feb 2022,house,,581.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-mosman-138474547,Mosman,NSW,2088,26 Keston Avenue,"26 Keston Avenue, Mosman, NSW 2088",3800000,"$3,800,000",duplex-semi-detached,2,1,1,,,-1.0,,XRWNEU,The Agency - North,,,15 Feb 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mosman-138299670,Mosman,NSW,2088,51 Hale Road,"51 Hale Road, Mosman, NSW 2088",2700000,"$2,700,000",house,2,1,0,,,-1.0,,OUZQDC,Atlas | Lower North Shore - NEUTRAL BAY,,,11 Feb 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mosman-137578410,Mosman,NSW,2088,7 Wudgong Street,"7 Wudgong Street, Mosman, NSW 2088",2750000,"$2,750,000",house,2,1,1,,,-1.0,,OUZQDC,Atlas | Lower North Shore - NEUTRAL BAY,,,08 Nov 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mosman-136889574,Mosman,NSW,2088,37A Cowles Road,"37A Cowles Road, Mosman, NSW 2088",3065000,"$3,065,000",house,2,1,1,,,272.0,m²,MCFWAR,McConnell Bourn - North Shore,,,21 Aug 2021,house,,272.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mosman-135975730,Mosman,NSW,2088,101 Cowles Road,"101 Cowles Road, Mosman, NSW 2088",2615000,"$2,615,000",house,2,2,2,,,278.0,m²,BVYCOB,Galetto Real Estate - Mosman,,,04 May 2021,house,,278.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mosman-135382514,Mosman,NSW,2088,89 Belmont Road,"89 Belmont Road, Mosman, NSW 2088",2470000,"$2,470,000",house,2,1,1,,,278.0,m²,BVYCOB,Galetto Real Estate - Mosman,,,27 Feb 2021,house,,278.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mosman-134450830,Mosman,NSW,2088,28 Bray Street,"28 Bray Street, Mosman, NSW 2088",1880000,"$1,880,000",house,2,1,1,,,-1.0,,ZERRXB,Vernon Partners - Mosman,,,19 Oct 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-mosman-131214558,Mosman,NSW,2088,41 Central Avenue,"41 Central Avenue, Mosman, NSW 2088",1885000,"$1,885,000",duplex-semi-detached,2,1,1,,,-1.0,,XLSDRU,CobdenHayson - Drummoyne,,,14 Sep 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mosman-128278314,Mosman,NSW,2088,12 Killarney Street,"12 Killarney Street, Mosman, NSW 2088",2270000,"$2,270,000",house,2,1,0,,,448.0,m²,PCSWUZ,David Murphy Residential - Mosman,,,26 May 2018,house,,448.0
