badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-mount+colah-117576295,Mount Colah,NSW,2079,2/7 Eyre Place,"2/7 Eyre Place, Mount Colah, NSW 2079",400000,"$400,000",duplex-semi-detached,1,1,1,,,-1.0,,XRHASQ,Sue Edwards Real Estate - Asquith,,,25 Aug 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+colah-129886114,Mount Colah,NSW,2079,34 Northumberland Avenue,"34 Northumberland Avenue, Mount Colah, NSW 2079",612000,"$612,000",house,1,1,0,,,-1.0,,KEIHOR,Soames Real Estate - HORNSBY,,,08 Dec 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+colah-126659598,Mount Colah,NSW,2079,1A Rupert Street,"1A Rupert Street, Mount Colah, NSW 2079",,Contact agent,house,1,1,2,,,232.0,m²,MWXJCK,buymyplace,,,09 Oct 2018,house,,232.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+colah-115909343,Mount Colah,NSW,2079,2/26 Flora Avenue,"2/26 Flora Avenue, Mount Colah, NSW 2079",275000,"$275,000",house,1,1,1,,,-1.0,,XLSHOR,Heimat - HORNSBY,,,22 Feb 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-mount+colah-140335195,Mount Colah,NSW,2079,8 Willarong Road,"8 Willarong Road, Mount Colah, NSW 2079",868000,"$868,000",duplex-semi-detached,2,2,1,,,-1.0,,TOFZXV,Stone Real Estate - Hornsby,,,23 Sep 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+colah-138424011,Mount Colah,NSW,2079,29 Murralong Road,"29 Murralong Road, Mount Colah, NSW 2079",1175000,"$1,175,000",house,2,1,1,,,935.0,m²,RYIZYZ,Belle Property - Hornsby,,,08 Feb 2022,house,,935.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+colah-136078178,Mount Colah,NSW,2079,3 Ku-Ring-Gai Chase Road,"3 Ku-Ring-Gai Chase Road, Mount Colah, NSW 2079",1200000,"$1,200,000",house,2,1,2,,,630.0,m²,KEIHOR,Soames Real Estate - HORNSBY,,,30 Apr 2021,house,,630.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+colah-132396358,Mount Colah,NSW,2079,24 Allawah Close,"24 Allawah Close, Mount Colah, NSW 2079",877000,"$877,000",house,2,1,1,,,682.0,m²,RYIZYZ,Belle Property - Hornsby,,,30 Nov 2019,house,,682.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+colah-132006178,Mount Colah,NSW,2079,16 Parklands Road,"16 Parklands Road, Mount Colah, NSW 2079",935000,"$935,000",house,2,1,1,,,-1.0,,,,,,25 Sep 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+colah-129821082,Mount Colah,NSW,2079,25 Colah Road,"25 Colah Road, Mount Colah, NSW 2079",1000000,"$1,000,000",house,2,1,1,,,961.0,m²,KEIHOR,Soames Real Estate - HORNSBY,,,26 Nov 2018,house,,961.0
