badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+druitt-111281439,Mount Druitt,NSW,2770,66 Durham Street,"66 Durham Street, Mount Druitt, NSW 2770",292000,"$292,000",house,0,1,0,,,552.0,m²,,,,,18 Mar 2013,house,,552.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+druitt-107331502,Mount Druitt,NSW,2770,4 Mannikin,"4 Mannikin, Mount Druitt, NSW 2770",,Contact agent,house,0,2,1,,,-1.0,,,,,,16 May 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-warehouse-nsw-mount+druitt-107006137,Mount Druitt,NSW,2770,1/105 kurrajong ave,"1/105 kurrajong ave, Mount Druitt, NSW 2770",,Contact agent,warehouse,0,2,4,,,-1.0,,,,,,19 Nov 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+druitt-105624454,Mount Druitt,NSW,2770,,,,Contact agent,house,0,1,0,,,-1.0,,XRHSTM,Raine & Horne - St Marys,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-mount+druitt-119027967,Mount Druitt,NSW,2770,1/12 Mount Druitt Road,"1/12 Mount Druitt Road, Mount Druitt, NSW 2770",610000,"$610,000",residential-other,1,1,0,"1,161.29",m²,-1.0,,,,,,18 Aug 2015,house,"1,161.29",-1.0
Sold,https://www.realestate.com.au/sold/property-warehouse-nsw-mount+druitt-106652582,Mount Druitt,NSW,2770,4/99 Kurrajong Avenue,"4/99 Kurrajong Avenue, Mount Druitt, NSW 2770",264000,"$264,000",warehouse,1,2,0,,,-1.0,,XLSMOU,Laing+Simmons - ROOTY HILL | MOUNT DRUITT,,,28 Jul 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+druitt-127405890,Mount Druitt,NSW,2770,72/5-7 The Avenue,"72/5-7 The Avenue, Mount Druitt, NSW 2770",,Contact agent,house,1,1,1,,,-1.0,,YVKVDM,Laing+Simmons - Quakers Hill,,,15 Jun 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+druitt-112855803,Mount Druitt,NSW,2770,"Shop 2,281 Beames Ave","Shop 2,281 Beames Ave, Mount Druitt, NSW 2770",,Contact agent,house,1,1,0,,,-1.0,,XLSMOU,Laing+Simmons - ROOTY HILL | MOUNT DRUITT,,,05 Jul 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+druitt-109313861,Mount Druitt,NSW,2770,,,360000,"$360,000",house,1,1,1,,,-1.0,,XCEMOU,Stockton Grange - Mount Druitt,,,28 Feb 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+druitt-107267172,Mount Druitt,NSW,2770,,,,Contact agent,house,1,1,1,,,-1.0,,XPNSTM,Professionals - St Marys & Erskine Park,,,25 Jun 2011,house,,-1.0
