badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-mount+hunter-118154487,Mount Hunter,NSW,2570,340 Burragorang Road,"340 Burragorang Road, Mount Hunter, NSW 2570",,Contact agent,residential-other,1,1,0,,,91.46,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,20 Aug 2014,house,,914599.9999999999
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-106387355,Mount Hunter,NSW,2570,,,590000,"$590,000",house,2,1,0,,,14.94,ha,ROKCAA,Harcourts The Property People - CAMPBELLTOWN,,,16 Jun 2010,house,,149400.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-106095531,Mount Hunter,NSW,2570,91 Burragorang Rd,"91 Burragorang Rd, Mount Hunter, NSW 2570",308500,"$308,500",house,2,1,1,,,1012.0,m²,COYNAR,Combined Real Estate - Camden,,,03 Feb 2010,house,,1012.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-106769724,Mount Hunter,NSW,2570,,,270000,"$270,000",house,2,1,2,,,-1.0,,XLJPIC,JSB Property Group,,,14 Oct 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-140942720,Mount Hunter,NSW,2570,2 Dawson Road,"2 Dawson Road, Mount Hunter, NSW 2570",780000,"$780,000",house,3,1,2,,,975.0,m²,VSWJXK,Laing+Simmons - Macarthur | Camden,,,19 Dec 2022,house,,975.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-140705907,Mount Hunter,NSW,2570,13 Peppercorn Avenue,"13 Peppercorn Avenue, Mount Hunter, NSW 2570",900000,"$900,000",house,3,2,2,,,1001.0,m²,PVRHHQ,Century 21 The Paramount Group,,,08 Nov 2022,house,,1001.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-135119206,Mount Hunter,NSW,2570,245 Calf Farm Road,"245 Calf Farm Road, Mount Hunter, NSW 2570",1052000,"$1,052,000",house,3,2,1,,,10.28,ha,YWSDFD,LJ Hooker - Camden | Bringelly,,,02 Mar 2021,house,,102800.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-134534502,Mount Hunter,NSW,2570,95 Calf Farm Road,"95 Calf Farm Road, Mount Hunter, NSW 2570",1050000,"$1,050,000",house,3,1,10,,,2.06,ha,YWSDFD,LJ Hooker - Camden | Bringelly,,,30 Oct 2020,house,,20600.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-mount+hunter-134014074,Mount Hunter,NSW,2570,12 Williamswood Road,"12 Williamswood Road, Mount Hunter, NSW 2570",1370000,"$1,370,000",acreage,3,3,2,,,1.53,ha,PVRHHQ,Century 21 The Paramount Group,,,26 Aug 2020,house,,15300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-132535818,Mount Hunter,NSW,2570,101 Burragorang Road,"101 Burragorang Road, Mount Hunter, NSW 2570",450000,"$450,000",house,3,1,0,,,1060.0,m²,COYNAR,Combined Real Estate - Camden,,,28 Nov 2019,house,,1060.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-131251786,Mount Hunter,NSW,2570,28 Peppercorn Avenue,"28 Peppercorn Avenue, Mount Hunter, NSW 2570",710000,"$710,000",house,3,1,4,,,980.9,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,18 Jun 2019,house,,980.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-128589474,Mount Hunter,NSW,2570,99 Burragorang Road,"99 Burragorang Road, Mount Hunter, NSW 2570",500000,"$500,000",house,3,1,3,,,809.0,m²,COIVYH,One Agency Alexopoulos Property - GLEDSWOOD HILLS,,,30 Nov 2018,house,,809.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-127433206,Mount Hunter,NSW,2570,156 Calf Farm Road,"156 Calf Farm Road, Mount Hunter, NSW 2570",865000,"$865,000",house,3,1,6,,,4047.0,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,18 May 2018,house,,4047.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-125028574,Mount Hunter,NSW,2570,32 Peppercorn Avenue,"32 Peppercorn Avenue, Mount Hunter, NSW 2570",643001,"$643,001",house,3,1,4,,,975.0,m²,NMPGOQ,My Property Consultants - GREGORY HILLS,,,30 Mar 2017,house,,975.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-123535210,Mount Hunter,NSW,2570,,,520000,"$520,000",house,3,1,3,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,16 Jan 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-122507862,Mount Hunter,NSW,2570,85 Burragorang Road,"85 Burragorang Road, Mount Hunter, NSW 2570",589000,"$589,000",house,3,1,1,,,1031.0,m²,COYNAR,Combined Real Estate - Camden,,,04 May 2016,house,,1031.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-119148495,Mount Hunter,NSW,2570,15 Spring Creek Road,"15 Spring Creek Road, Mount Hunter, NSW 2570",475000,"$475,000",house,3,1,2,,,980.0,m²,IEERYA,McLaren Real Estate - Narellan,,,20 Apr 2015,house,,980.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-116857227,Mount Hunter,NSW,2570,3 Peppercorn Avenue,"3 Peppercorn Avenue, Mount Hunter, NSW 2570",420000,"$420,000",house,3,1,3,,,1000.0,m²,,,,,07 May 2014,house,,1000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-116267243,Mount Hunter,NSW,2570,280 Spring Creek Road,"280 Spring Creek Road, Mount Hunter, NSW 2570",747000,"$747,000",house,3,2,2,,,1.62,ha,,,,,24 Mar 2014,house,,16200.000000000002
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-115478667,Mount Hunter,NSW,2570,125 Burragorang Road,"125 Burragorang Road, Mount Hunter, NSW 2570",450000,"$450,000",house,3,2,1,,,-1.0,,ZPCAHP,RESIDE Real Estate - Wollondilly/Macarthur,,,20 Dec 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-115370563,Mount Hunter,NSW,2570,3 Peppercorn Avenue,"3 Peppercorn Avenue, Mount Hunter, NSW 2570",332000,"$332,000",house,3,1,2,,,1002.0,m²,,,,,15 Nov 2013,house,,1002.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-112086695,Mount Hunter,NSW,2570,11 Peppercorn Ave,"11 Peppercorn Ave, Mount Hunter, NSW 2570",415000,"$415,000",house,3,1,4,,,-1.0,,GTENAR,Camden Valley Property - Narellan,,,22 Nov 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-111244307,Mount Hunter,NSW,2570,385 Calf Farm Road,"385 Calf Farm Road, Mount Hunter, NSW 2570",550000,"$550,000",house,3,1,0,,,-1.0,,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,20 Nov 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-107375706,Mount Hunter,NSW,2570,125 Burragorang Road,"125 Burragorang Road, Mount Hunter, NSW 2570",251000,"$251,000",house,3,1,4,,,956.0,m²,XCENAR,Gilbert and Younan - CAMDEN,,,06 Sep 2011,house,,956.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-106358154,Mount Hunter,NSW,2570,134 Calf Farm Rd,"134 Calf Farm Rd, Mount Hunter, NSW 2570",625000,"$625,000",house,3,2,3,,,1.01,ha,COYNAR,Combined Real Estate - Camden,,,07 May 2010,house,,10100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-106172449,Mount Hunter,NSW,2570,107 Burragorang Road,"107 Burragorang Road, Mount Hunter, NSW 2570",400000,"$400,000",house,3,1,4,,,809.0,m²,YWSDFD,LJ Hooker - Camden | Bringelly,,,20 Apr 2010,house,,809.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-105626994,Mount Hunter,NSW,2570,83 Burragorang Road,"83 Burragorang Road, Mount Hunter, NSW 2570",372000,"$372,000",house,3,1,1,,,-1.0,,COYNAR,Combined Real Estate - Camden,,,19 Mar 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-105729711,Mount Hunter,NSW,2570,270 Spring Creek  Rd,"270 Spring Creek  Rd, Mount Hunter, NSW 2570",600000,"$600,000",house,3,1,1,,,2.02,ha,COYNAR,Combined Real Estate - Camden,,,28 Oct 2009,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-107265960,Mount Hunter,NSW,2570,33 Peppercorn Avenue,"33 Peppercorn Avenue, Mount Hunter, NSW 2570",,Contact agent,house,3,1,3,,,984.0,m²,COYNAR,Combined Real Estate - Camden,,,03 Jun 2011,house,,984.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-130947142,Mount Hunter,NSW,2570,2 Peppercorn Ave,"2 Peppercorn Ave, Mount Hunter, NSW 2570",577000,"$577,000",house,3,1,1,,,1017.0,m²,YWSDFD,LJ Hooker - Camden | Bringelly,,,04 Jul 2019,house,,1017.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-125788022,Mount Hunter,NSW,2570,329 Spring Creek Road,"329 Spring Creek Road, Mount Hunter, NSW 2570",,Contact agent,house,3,1,1,,,7272.0,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,28 Aug 2017,house,,7272.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-123509534,Mount Hunter,NSW,2570,26 Peppercorn Avenue,"26 Peppercorn Avenue, Mount Hunter, NSW 2570",645000,"$645,000",house,3,1,2,,,980.9,m²,MWXJCK,buymyplace,,,22 Nov 2016,house,,980.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-118843587,Mount Hunter,NSW,2570,465 Calf Farm Road,"465 Calf Farm Road, Mount Hunter, NSW 2570",845000,"$845,000",house,3,2,2,,,10.12,ha,,,,,27 Apr 2015,house,,101199.99999999999
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-118732611,Mount Hunter,NSW,2570,93 Burragorang Road,"93 Burragorang Road, Mount Hunter, NSW 2570",510000,"$510,000",house,3,1,1,,,1012.0,m²,YWSDFD,LJ Hooker - Camden | Bringelly,,,23 Jan 2015,house,,1012.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-mount+hunter-115620963,Mount Hunter,NSW,2570,,,,Contact agent,acreage,3,1,2,,,120.6,ha,OBJOFN,Starr Partners - Campbelltown,,,03 Apr 2014,house,,1206000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-111530875,Mount Hunter,NSW,2570,89 Burragorang Rd,"89 Burragorang Rd, Mount Hunter, NSW 2570",,Contact agent,house,3,1,1,,,-1.0,,,,,,26 Sep 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-106856663,Mount Hunter,NSW,2570,29 Peppercorn Avenue,"29 Peppercorn Avenue, Mount Hunter, NSW 2570",,Contact agent,house,3,1,2,,,1159.0,m²,,,,,22 Mar 2011,house,,1159.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-107078337,Mount Hunter,NSW,2570,83 Burragorang Road,"83 Burragorang Road, Mount Hunter, NSW 2570",,Contact agent,house,3,1,2,,,1005.0,m²,COYNAR,Combined Real Estate - Camden,,,21 Feb 2011,house,,1005.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-106044314,Mount Hunter,NSW,2570,,,650000,"$650,000",house,3,1,3,,,8.0,ha,ZPCAAN,Inglis Property Macarthur - Camden,,,15 Feb 2010,house,,80000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-105737863,Mount Hunter,NSW,2570,1 Peppercorn Ave,"1 Peppercorn Ave, Mount Hunter, NSW 2570",,Contact agent,house,3,1,4,,,991.0,m²,,,,,17 Jul 2009,house,,991.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-105171423,Mount Hunter,NSW,2570,2 Dawson Road,"2 Dawson Road, Mount Hunter, NSW 2570",,Contact agent,house,3,1,1,,,975.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,06 Apr 2009,house,,975.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-105575595,Mount Hunter,NSW,2570,,,,Contact agent,house,3,1,2,,,998.0,m²,,,,,02 Apr 2009,house,,998.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-106078166,Mount Hunter,NSW,2570,,,,Contact agent,house,3,1,3,,,984.0,m²,,,,,,house,,984.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-114853547,Mount Hunter,NSW,2570,28 Pepercorn Ave,"28 Pepercorn Ave, Mount Hunter, NSW 2570",,Contact agent,house,3,1,2,,,980.9,m²,,,,,,house,,980.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-140190423,Mount Hunter,NSW,2570,215 Spring Creek Road,"215 Spring Creek Road, Mount Hunter, NSW 2570",1895000,"$1,895,000",house,4,2,8,,,2.02,ha,COYNAR,Combined Real Estate - Camden,,,09 Sep 2022,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+hunter-135984094,Mount Hunter,NSW,2570,3 Peppercorn Avenue,"3 Peppercorn Avenue, Mount Hunter, NSW 2570",954000,"$954,000",house,4,1,3,,,-1.0,,NMPGOQ,My Property Consultants - GREGORY HILLS,,,19 Apr 2021,house,,-1.0
