badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+keira-118167223,Mount Keira,NSW,2500,41/1-5 Mount Keira Road,"41/1-5 Mount Keira Road, Mount Keira, NSW 2500",120000,"$120,000",house,1,1,1,,,-1.0,,XRXWOO,Professionals - Wollongong,,,23 Feb 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+keira-137001690,Mount Keira,NSW,2500,147 Koloona Avenue,"147 Koloona Avenue, Mount Keira, NSW 2500",1641000,"$1,641,000",house,2,1,4,,,1.52,ha,NZNCFT,Betschwar & Co - Wollongong ,,,04 Sep 2021,house,,15200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+keira-134846610,Mount Keira,NSW,2500,4 Allen Street,"4 Allen Street, Mount Keira, NSW 2500",809000,"$809,000",house,2,1,1,,,455.0,m²,MZKWOM,MMJ Wollongong - WOLLONGONG,,,20 Nov 2020,house,,455.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+keira-128921706,Mount Keira,NSW,2500,24 Morandoo Avenue,"24 Morandoo Avenue, Mount Keira, NSW 2500",630000,"$630,000",house,2,1,1,,,-1.0,,XHNXYA,One Agency JD Property Agents - FAIRY MEADOW,,,20 Aug 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+keira-123381250,Mount Keira,NSW,2500,212 Mount Keira Road,"212 Mount Keira Road, Mount Keira, NSW 2500",883000,"$883,000",house,2,2,4,,,695.0,m²,NCOFLL,The Agency - Illawarra,,,10 Sep 2016,house,,695.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+keira-123247974,Mount Keira,NSW,2500,164 Mt Keira Road,"164 Mt Keira Road, Mount Keira, NSW 2500",680000,"$680,000",house,2,1,1,,,-1.0,,MZKWOM,MMJ Wollongong - WOLLONGONG,,,24 Aug 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+keira-120905685,Mount Keira,NSW,2500,4 Allen Street,"4 Allen Street, Mount Keira, NSW 2500",580000,"$580,000",house,2,1,1,,,-1.0,,MZKWOM,MMJ Wollongong - WOLLONGONG,,,28 Oct 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+keira-117228407,Mount Keira,NSW,2500,,,400000,"$400,000",house,2,1,2,,,-1.0,,SSZEPU,Elders Real Estate - Wollongong,,,22 Jul 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+keira-111054823,Mount Keira,NSW,2500,426 Gipps Road,"426 Gipps Road, Mount Keira, NSW 2500",,Contact agent,house,2,1,1,,,1309.0,m²,,,,,14 Aug 2012,house,,1309.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+keira-107153469,Mount Keira,NSW,2500,4 Allen Street,"4 Allen Street, Mount Keira, NSW 2500",,Contact agent,house,2,1,1,,,454.8,m²,,,,,05 May 2011,house,,454.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+keira-106889533,Mount Keira,NSW,2500,173 Mount Keira Road,"173 Mount Keira Road, Mount Keira, NSW 2500",382000,"$382,000",house,2,2,1,,,-1.0,,XRWWOL,LJ Hooker - Wollongong ,,,26 Oct 2010,house,,-1.0
