badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+kembla-115895551,Mount Kembla,NSW,2526,241 Cordeaux Road,"241 Cordeaux Road, Mount Kembla, NSW 2526",550000,"$550,000",house,0,2,3,,,-1.0,,WPHCWF,Jackson Residential,,,22 Jan 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+kembla-105585512,Mount Kembla,NSW,2526,203b Cordeaux Road,"203b Cordeaux Road, Mount Kembla, NSW 2526",,Contact agent,house,1,1,0,,,3874.0,m²,XRXWOO,Professionals - Wollongong,,,19 Mar 2009,house,,3874.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+kembla-105368634,Mount Kembla,NSW,2526,258 Cordeaux Rd,"258 Cordeaux Rd, Mount Kembla, NSW 2526",310000,"$310,000",house,1,1,0,,,-1.0,,LJBUNA,Domain Illawarra Real Estate,,,12 Dec 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+kembla-104895083,Mount Kembla,NSW,2526,349 Cordeaux Rd,"349 Cordeaux Rd, Mount Kembla, NSW 2526",275000,"$275,000",house,1,1,1,,,690.0,m²,LJBUNA,Domain Illawarra Real Estate,,,12 Sep 2008,house,,690.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+kembla-140007671,Mount Kembla,NSW,2526,6 Cudgee Crescent,"6 Cudgee Crescent, Mount Kembla, NSW 2526",740000,"$740,000",house,2,1,2,,,1200.0,m²,NCOFLL,The Agency - Illawarra,,,16 Nov 2022,house,,1200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+kembla-136272122,Mount Kembla,NSW,2526,315 Cordeaux Road,"315 Cordeaux Road, Mount Kembla, NSW 2526",766000,"$766,000",house,2,1,1,,,385.0,m²,PFSWOL,Stone Real Estate - Illawarra,,,21 May 2021,house,,385.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-mount+kembla-120123789,Mount Kembla,NSW,2526,12-14 Kirkwood Place,"12-14 Kirkwood Place, Mount Kembla, NSW 2526",603000,"$603,000",acreage,2,1,1,,,4074.0,m²,BGLDAP,Harcourts - Dapto | Albion Park | Shellharbour,,,26 Jul 2015,house,,4074.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+kembla-117498503,Mount Kembla,NSW,2526,349 Cordeaux Road,"349 Cordeaux Road, Mount Kembla, NSW 2526",520000,"$520,000",house,2,1,1,87,m²,689.0,m²,JLIXNB,Ianni & Co. Property - Wollongong,,,29 Jul 2014,house,87,689.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+kembla-113840687,Mount Kembla,NSW,2526,14 Benjamin  Road,"14 Benjamin  Road, Mount Kembla, NSW 2526",428000,"$428,000",house,2,1,0,,,696.0,m²,OCOWOL,McGrath - Wollongong,,,04 Jun 2013,house,,696.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+kembla-113213723,Mount Kembla,NSW,2526,32 Avon  Pde,"32 Avon  Pde, Mount Kembla, NSW 2526",460000,"$460,000",house,2,1,1,,,-1.0,,TXSUAU,Cooper & Cooper Property Management - Wollongong,,,06 Mar 2013,house,,-1.0
