badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+kuring-gai-132001810,Mount Kuring-Gai,NSW,2080,8 Low Street,"8 Low Street, Mount Kuring-Gai, NSW 2080",890000,"$890,000",house,1,1,4,,,701.9,m²,TOFZXV,Stone Real Estate - Hornsby,,,29 Oct 2019,house,,701.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+kuring-gai-106688339,Mount Kuring-Gai,NSW,2080,10 Glenview Road,"10 Glenview Road, Mount Kuring-Gai, NSW 2080",485000,"$485,000",house,1,1,1,,,-1.0,,JPHHOR,John Pye Real Estate - NSW,,,27 Jul 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+kuring-gai-132850962,Mount Kuring-Gai,NSW,2080,26 Harwood Avenue,"26 Harwood Avenue, Mount Kuring-Gai, NSW 2080",1300000,"$1,300,000",house,2,1,2,,,1366.0,m²,TOFZXV,Stone Real Estate - Hornsby,,,05 Mar 2020,house,,1366.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+kuring-gai-132167910,Mount Kuring-Gai,NSW,2080,36 Glenview Road,"36 Glenview Road, Mount Kuring-Gai, NSW 2080",905000,"$905,000",house,2,2,2,,,1132.0,m²,RYIZYZ,Belle Property - Hornsby,,,02 Nov 2019,house,,1132.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+kuring-gai-126035058,Mount Kuring-Gai,NSW,2080,39a Church Street,"39a Church Street, Mount Kuring-Gai, NSW 2080",1000000,"$1,000,000",house,2,1,4,,,813.0,m²,KEIHOR,Soames Real Estate - HORNSBY,,,17 Aug 2017,house,,813.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+kuring-gai-107242976,Mount Kuring-Gai,NSW,2080,3 Crawford Road,"3 Crawford Road, Mount Kuring-Gai, NSW 2080",790000,"$790,000",house,2,1,1,,,-1.0,,KEIHOR,Soames Real Estate - HORNSBY,,,07 Feb 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+kuring-gai-115642895,Mount Kuring-Gai,NSW,2080,25 Harwood Avenue,"25 Harwood Avenue, Mount Kuring-Gai, NSW 2080",647600,"$647,600",house,2,1,1,,,-1.0,,KEIHOR,Soames Real Estate - HORNSBY,,,20 Dec 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+kuring-gai-110946607,Mount Kuring-Gai,NSW,2080,765 Pacific Highway,"765 Pacific Highway, Mount Kuring-Gai, NSW 2080",530000,"$530,000",house,2,1,2,,,878.0,m²,AMPYRL,McGrath - Hornsby,,,03 Aug 2012,house,,878.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+kuring-gai-106859597,Mount Kuring-Gai,NSW,2080,12 Glenview Road,"12 Glenview Road, Mount Kuring-Gai, NSW 2080",485000,"$485,000",house,2,2,0,,,-1.0,,JPHHOR,John Pye Real Estate - NSW,,,24 Dec 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+kuring-gai-114767487,Mount Kuring-Gai,NSW,2080,765 Pacific Highway,"765 Pacific Highway, Mount Kuring-Gai, NSW 2080",515000,"$515,000",house,2,1,1,,,878.0,m²,HIPHOR,Camelle Property - HORNSBY,,,13 Apr 2010,house,,878.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+kuring-gai-136157302,Mount Kuring-Gai,NSW,2080,39a Church Street,"39a Church Street, Mount Kuring-Gai, NSW 2080",1250000,"$1,250,000",house,2,1,4,,,814.0,m²,KEIHOR,Soames Real Estate - HORNSBY,,,17 May 2021,house,,814.0
