badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-119863993,Mount Pritchard,NSW,2170,272A Humphries Rd,"272A Humphries Rd, Mount Pritchard, NSW 2170",575000,"$575,000",house,0,1,0,,,904.0,m²,HMDOGH,Starr Partners - BELLA VISTA,,,06 Aug 2015,house,,904.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-114631487,Mount Pritchard,NSW,2170,,,,Contact agent,house,0,4,2,199.74,m²,-1.0,,,,,,23 Jan 2014,house,199.74,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-139577219,Mount Pritchard,NSW,2170,124 Townview Road,"124 Townview Road, Mount Pritchard, NSW 2170",747000,"$747,000",house,2,1,1,,,575.0,m²,COILIV,Community First Real Estate - Liverpool,,,21 Jun 2022,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-138055090,Mount Pritchard,NSW,2170,7 Evans Place,"7 Evans Place, Mount Pritchard, NSW 2170",760000,"$760,000",house,2,1,1,,,607.0,m²,XCEBOS,Century 21 - The Parks Realty,,,18 Dec 2021,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-137365238,Mount Pritchard,NSW,2170,7 OShannassy Street,"7 OShannassy Street, Mount Pritchard, NSW 2170",785000,"$785,000",house,2,1,2,,,556.0,m²,XNFLIV,PRD Real Estate - Liverpool,,,09 Nov 2021,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-135939110,Mount Pritchard,NSW,2170,102 Townview Road,"102 Townview Road, Mount Pritchard, NSW 2170",715000,"$715,000",house,2,1,1,,,-1.0,,XNFLIV,PRD Real Estate - Liverpool,,,08 May 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-135926498,Mount Pritchard,NSW,2170,32 Oliphant Street,"32 Oliphant Street, Mount Pritchard, NSW 2170",685000,"$685,000",house,2,1,2,,,607.0,m²,XCELIV,Century 21 Combined - Liverpool,,,24 Apr 2021,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-134655018,Mount Pritchard,NSW,2170,5 75 Anderson Avenue,"5 75 Anderson Avenue, Mount Pritchard, NSW 2170",445000,"$445,000",house,2,1,1,,,-1.0,,SOCLIV,Starr Partners - Liverpool,,,11 Jan 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-134111530,Mount Pritchard,NSW,2170,62 Grainger Avenue,"62 Grainger Avenue, Mount Pritchard, NSW 2170",606000,"$606,000",house,2,1,2,,,670.0,m²,XCELIV,Century 21 Combined - Liverpool,,,28 Aug 2020,house,,670.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-132033094,Mount Pritchard,NSW,2170,4/160 Meadows Road,"4/160 Meadows Road, Mount Pritchard, NSW 2170",485000,"$485,000",house,2,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,02 Oct 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-131394838,Mount Pritchard,NSW,2170,125 Townview Road,"125 Townview Road, Mount Pritchard, NSW 2170",5650000,"$5,650,000",house,2,1,1,,,538.0,m²,HPGDKX,BOS Realty - Liverpool,,,05 Jul 2019,house,,538.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-130932266,Mount Pritchard,NSW,2170,35 Benjamin Road,"35 Benjamin Road, Mount Pritchard, NSW 2170",560000,"$560,000",house,2,1,2,,,550.0,m²,OFQLOA,Marvel Realty - FAIRFIELD,,,23 May 2019,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-128837098,Mount Pritchard,NSW,2170,5 Streeton Avenue,"5 Streeton Avenue, Mount Pritchard, NSW 2170",560000,"$560,000",house,2,1,1,,,638.6,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,20 Aug 2018,house,,638.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-122529270,Mount Pritchard,NSW,2170,42 Russell Street,"42 Russell Street, Mount Pritchard, NSW 2170",550000,"$550,000",house,2,1,2,,,-1.0,,HPGDKX,BOS Realty - Liverpool,,,05 Jun 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-122443294,Mount Pritchard,NSW,2170,125 Townview Road,"125 Townview Road, Mount Pritchard, NSW 2170",560000,"$560,000",house,2,1,1,,,537.5,m²,NAXXFT,McGrath Estate Agents - Liverpool,,,11 May 2016,house,,537.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-136430418,Mount Pritchard,NSW,2170,46 Pritchard Street,"46 Pritchard Street, Mount Pritchard, NSW 2170",1330000,"$1,330,000",house,2,1,1,,,-1.0,,DKIUSA,My Choice Real Estate - Cabramatta,,,26 Jun 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-134831382,Mount Pritchard,NSW,2170,7 Evans Place,"7 Evans Place, Mount Pritchard, NSW 2170",602000,"$602,000",house,2,1,1,,,607.0,m²,XRHCAF,Raine & Horne - Cabramatta,,,02 Dec 2020,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-134158422,Mount Pritchard,NSW,2170,17 Antill Road,"17 Antill Road, Mount Pritchard, NSW 2170",588000,"$588,000",house,2,1,1,,,619.0,m²,TITCXQ,Professionals Real Estate - Fairfield,,,21 Sep 2020,house,,619.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-133596146,Mount Pritchard,NSW,2170,60 Grainger Avenue,"60 Grainger Avenue, Mount Pritchard, NSW 2170",605000,"$605,000",house,2,1,1,,,702.0,m²,XRHLIV,Raine & Horne - Liverpool,,,10 Jun 2020,house,,702.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-133117398,Mount Pritchard,NSW,2170,71 Hemphill Avenue,"71 Hemphill Avenue, Mount Pritchard, NSW 2170",623000,"$623,000",house,2,1,1,,,-1.0,,SJVFVL,Laing+Simmons - Cabramatta,,,04 May 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-132162630,Mount Pritchard,NSW,2170,19 Pritchard Street,"19 Pritchard Street, Mount Pritchard, NSW 2170",985000,"$985,000",house,2,1,1,,,1019.0,m²,SJVFVL,Laing+Simmons - Cabramatta,,,17 Dec 2019,house,,1019.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-131344162,Mount Pritchard,NSW,2170,71 Hemphill Avenue,"71 Hemphill Avenue, Mount Pritchard, NSW 2170",593000,"$593,000",house,2,1,0,,,-1.0,,SJVFVL,Laing+Simmons - Cabramatta,,,07 Nov 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-125856310,Mount Pritchard,NSW,2170,,,596000,"$596,000",house,2,1,1,,,575.0,m²,HVAKRF,Century 21 The Plaza - Bonnyrigg,,,28 Jul 2017,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-119975225,Mount Pritchard,NSW,2170,200 Townview Road,"200 Townview Road, Mount Pritchard, NSW 2170",522000,"$522,000",house,2,1,1,,,537.5,m²,XRHLIV,Raine & Horne - Liverpool,,,04 Jul 2015,house,,537.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-119306111,Mount Pritchard,NSW,2170,,,502000,"$502,000",house,2,1,1,,,-1.0,,XRWGRC,Ray White - Green Valley,,,20 Mar 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-118514183,Mount Pritchard,NSW,2170,3/160 Meadows Road,"3/160 Meadows Road, Mount Pritchard, NSW 2170",440000,"$440,000",house,2,1,1,,,-1.0,,CITSDF,Sydney Realty Agents - Green Valley,,,06 Dec 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-117201527,Mount Pritchard,NSW,2170,3 Parkside Place,"3 Parkside Place, Mount Pritchard, NSW 2170",466000,"$466,000",house,2,1,1,,,-1.0,,GDBRQO,Richardson & Wrench Cabramatta - CABRAMATTA,,,25 Jun 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-114328703,Mount Pritchard,NSW,2170,77 Anderson Avenue,"77 Anderson Avenue, Mount Pritchard, NSW 2170",420000,"$420,000",house,2,1,1,,,-1.0,,XCOVXC,Century 21 Gala Real Estate - Cabramatta,,,04 Oct 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-110171533,Mount Pritchard,NSW,2170,96 Townview Road,"96 Townview Road, Mount Pritchard, NSW 2170",265000,"$265,000",house,2,1,0,,,-1.0,,,,,,27 Jun 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-107579427,Mount Pritchard,NSW,2170,65 Anderson Ave,"65 Anderson Ave, Mount Pritchard, NSW 2170",250000,"$250,000",house,2,1,2,,,550.0,m²,XNFPAN,PRD - Panania,,,25 Aug 2011,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-107143293,Mount Pritchard,NSW,2170,,,335000,"$335,000",house,2,1,1,,,607.0,m²,EQMGZA,United Agents Property Group - WEST HOXTON,,,01 Aug 2011,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-107024976,Mount Pritchard,NSW,2170,,,285000,"$285,000",house,2,1,0,,,601.0,m²,XCELIV,Century 21 Combined - Liverpool,,,23 Feb 2011,house,,601.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-mount+pritchard-105727356,Mount Pritchard,NSW,2170,,,310500,"$310,500",house,2,1,1,,,505.0,m²,XCEFAI,Century 21 - Fairfield,,,15 Jul 2009,house,,505.0
